ID,Command,Log File,Result,All Detected Rules
1,/usr/sbin/capsh /--,Capsh_Shell_Invocation_attack1.log,Log Error (Result Not Found),
2,"/usr/sbin/capsh /""--""",Capsh_Shell_Invocation_attack2.log,Log Error (Result Not Found),
3,/usr/sbin/capsh /--/,Capsh_Shell_Invocation_attack3.log,Log Error (Result Not Found),
4,/usr/sbin/capsh /-- --,Capsh_Shell_Invocation_attack4.log,Trigger: Capsh Shell Invocation - Linux,Syslog Clearing or Removal Via System Utilities | Capsh Shell Invocation - Linux
5,/usr/sbin/capsh /-- --login,Capsh_Shell_Invocation_attack5.log,Bypass Target Rule,Syslog Clearing or Removal Via System Utilities
6,/usr/sbin/capsh --/,Capsh_Shell_Invocation_attack6.log,Log Error (Result Not Found),
7,"/usr/sbin/capsh -- ""--""",Capsh_Shell_Invocation_attack7.log,Trigger: Capsh Shell Invocation - Linux,Syslog Clearing or Removal Via System Utilities | Capsh Shell Invocation - Linux
8,/usr/sbin/capsh -- --/,Capsh_Shell_Invocation_attack8.log,Bypass Target Rule,Syslog Clearing or Removal Via System Utilities
9,"/usr/sbin/capsh --""/""",Capsh_Shell_Invocation_attack9.log,Log Error (Result Not Found),
10,/usr/sbin/capsh --/--,Capsh_Shell_Invocation_attack10.log,Log Error (Result Not Found),
11,"/usr/sbin/capsh --""--""",Capsh_Shell_Invocation_attack11.log,Log Error (Result Not Found),
12,/usr/sbin/capsh /--shell,Capsh_Shell_Invocation_attack12.log,Log Error (Result Not Found),
13,/usr/sbin/capsh /--keep=1,Capsh_Shell_Invocation_attack13.log,Log Error (Result Not Found),
14,/usr/sbin/capsh --/shell,Capsh_Shell_Invocation_attack14.log,Log Error (Result Not Found),
15,/usr/sbin/capsh /-- -c,Capsh_Shell_Invocation_attack15.log,Log Error (Result Not Found),
16,/usr/sbin/capsh /-- --help,Capsh_Shell_Invocation_attack16.log,Log Error (Result Not Found),
17,/usr/sbin/capsh /--interactive,Capsh_Shell_Invocation_attack17.log,Log Error (Result Not Found),
18,/usr/sbin/capsh /--login,Capsh_Shell_Invocation_attack18.log,Log Error (Result Not Found),
19,/usr/sbin/capsh -- /--,Capsh_Shell_Invocation_attack19.log,Bypass Target Rule,Syslog Clearing or Removal Via System Utilities
20,"/usr/sbin/capsh --"" --""",Capsh_Shell_Invocation_attack20.log,Trigger: Capsh Shell Invocation - Linux,Syslog Clearing or Removal Via System Utilities | Capsh Shell Invocation - Linux
21,"/usr/sbin/capsh /"" ""--""",Capsh_Shell_Invocation_attack21.log,Log Error (Result Not Found),
22,"/usr/sbin/capsh /"" ""--login""",Capsh_Shell_Invocation_attack22.log,Log Error (Result Not Found),
23,"/usr/sbin/capsh /""--login""",Capsh_Shell_Invocation_attack23.log,Log Error (Result Not Found),
24,/usr/sbin/capsh --/ --,Capsh_Shell_Invocation_attack24.log,Trigger: Capsh Shell Invocation - Linux,Syslog Clearing or Removal Via System Utilities | Capsh Shell Invocation - Linux
25,"/usr/sbin/capsh --/ ""--""",Capsh_Shell_Invocation_attack25.log,Trigger: Capsh Shell Invocation - Linux,Syslog Clearing or Removal Via System Utilities | Capsh Shell Invocation - Linux
26,"/usr/sbin/capsh -- --""/""",Capsh_Shell_Invocation_attack26.log,Bypass Target Rule,Syslog Clearing or Removal Via System Utilities
27,"/usr/sbin/capsh /-- ""--""",Capsh_Shell_Invocation_attack27.log,Trigger: Capsh Shell Invocation - Linux,Syslog Clearing or Removal Via System Utilities | Capsh Shell Invocation - Linux
28,"/usr/sbin/capsh /--""--""",Capsh_Shell_Invocation_attack28.log,Log Error (Result Not Found),
29,"/usr/sbin/capsh --""--login""",Capsh_Shell_Invocation_attack29.log,Log Error (Result Not Found),
30,"/usr/sbin/capsh /""--"" --login",Capsh_Shell_Invocation_attack30.log,Bypass Target Rule,Syslog Clearing or Removal Via System Utilities
31,/usr/sbin/capsh / --,Capsh_Shell_Invocation_attack31.log,Trigger: Capsh Shell Invocation - Linux,Syslog Clearing or Removal Via System Utilities | Capsh Shell Invocation - Linux
32,/usr/sbin/capsh -- /,Capsh_Shell_Invocation_attack32.log,Bypass Target Rule,Syslog Clearing or Removal Via System Utilities
33,/usr/sbin/capsh / -- /,Capsh_Shell_Invocation_attack33.log,Bypass Target Rule,Syslog Clearing or Removal Via System Utilities
34,/usr/sbin/capsh /-- --shell,Capsh_Shell_Invocation_attack34.log,Log Error (Result Not Found),
35,/usr/sbin/capsh -- /--,Capsh_Shell_Invocation_attack35.log,Bypass Target Rule,Syslog Clearing or Removal Via System Utilities
36,"/usr/sbin/capsh --/""--""",Capsh_Shell_Invocation_attack36.log,Log Error (Result Not Found),
37,/usr/sbin/capsh --/ /--,Capsh_Shell_Invocation_attack37.log,Log Error (Result Not Found),
38,"/usr/sbin/capsh --"" /""--""",Capsh_Shell_Invocation_attack38.log,Log Error (Result Not Found),
39,"/usr/sbin/capsh /"" --""",Capsh_Shell_Invocation_attack39.log,Trigger: Capsh Shell Invocation - Linux,Syslog Clearing or Removal Via System Utilities | Capsh Shell Invocation - Linux
40,"/usr/sbin/capsh -- /""--""",Capsh_Shell_Invocation_attack40.log,Bypass Target Rule,Syslog Clearing or Removal Via System Utilities
41,/usr/sbin/capsh -- / --shell,Capsh_Shell_Invocation_attack41.log,Bypass Target Rule,Syslog Clearing or Removal Via System Utilities
42,/usr/sbin/capsh /-- /--,Capsh_Shell_Invocation_attack42.log,Log Error (Result Not Found),
43,/usr/sbin/capsh -- /--login,Capsh_Shell_Invocation_attack43.log,Bypass Target Rule,Syslog Clearing or Removal Via System Utilities
44,/usr/sbin/capsh --/--login,Capsh_Shell_Invocation_attack44.log,Log Error (Result Not Found),
45,/usr/sbin/capsh /-- /--login,Capsh_Shell_Invocation_attack45.log,Log Error (Result Not Found),
46,"/usr/sbin/capsh /""--keep=1""",Capsh_Shell_Invocation_attack46.log,Log Error (Result Not Found),
47,"/usr/sbin/capsh /-- ""--shell""",Capsh_Shell_Invocation_attack47.log,Log Error (Result Not Found),
48,"/usr/sbin/capsh -- ""--/""",Capsh_Shell_Invocation_attack48.log,Bypass Target Rule,Syslog Clearing or Removal Via System Utilities
49,"/usr/sbin/capsh --""--/""",Capsh_Shell_Invocation_attack49.log,Log Error (Result Not Found),
50,"/usr/sbin/capsh /""--/""",Capsh_Shell_Invocation_attack50.log,Log Error (Result Not Found),
51,"/usr/sbin/capsh ""--"" --",Capsh_Shell_Invocation_attack51.log,Trigger: Capsh Shell Invocation - Linux,Syslog Clearing or Removal Via System Utilities | Capsh Shell Invocation - Linux
52,"/usr/sbin/capsh /""-- --""",Capsh_Shell_Invocation_attack52.log,Trigger: Capsh Shell Invocation - Linux,Syslog Clearing or Removal Via System Utilities | Capsh Shell Invocation - Linux
53,"/usr/sbin/capsh -- ""-- --""",Capsh_Shell_Invocation_attack53.log,Trigger: Capsh Shell Invocation - Linux,Syslog Clearing or Removal Via System Utilities | Capsh Shell Invocation - Linux
54,"/usr/sbin/capsh ""-- --""",Capsh_Shell_Invocation_attack54.log,Trigger: Capsh Shell Invocation - Linux,Syslog Clearing or Removal Via System Utilities | Capsh Shell Invocation - Linux
55,"/usr/sbin/capsh ""--""--""",Capsh_Shell_Invocation_attack55.log,Log Error (Result Not Found),
56,"/usr/sbin/capsh /-- /""--""",Capsh_Shell_Invocation_attack56.log,Log Error (Result Not Found),
57,"/usr/sbin/capsh /--""-- --""",Capsh_Shell_Invocation_attack57.log,Trigger: Capsh Shell Invocation - Linux,Syslog Clearing or Removal Via System Utilities | Capsh Shell Invocation - Linux
58,"/usr/sbin/capsh ""--/""",Capsh_Shell_Invocation_attack58.log,Log Error (Result Not Found),
59,"/usr/sbin/capsh --""-- /""",Capsh_Shell_Invocation_attack59.log,Log Error (Result Not Found),
60,"/usr/sbin/capsh /""-- /""",Capsh_Shell_Invocation_attack60.log,Log Error (Result Not Found),
61,/usr/sbin/capsh --login,Capsh_Shell_Invocation_attack61.log,Bypass Target Rule,Syslog Clearing or Removal Via System Utilities
62,/usr/sbin/capsh --shell,Capsh_Shell_Invocation_attack62.log,Log Error (Result Not Found),
63,/usr/sbin/capsh --init,Capsh_Shell_Invocation_attack63.log,Log Error (Result Not Found),
64,/usr/sbin/capsh --user=0,Capsh_Shell_Invocation_attack64.log,Log Error (Result Not Found),
65,/usr/sbin/capsh --gid=0,Capsh_Shell_Invocation_attack65.log,Log Error (Result Not Found),
66,/usr/sbin/capsh --uid=0,Capsh_Shell_Invocation_attack66.log,Log Error (Result Not Found),
67,/usr/sbin/capsh --keep=1,Capsh_Shell_Invocation_attack67.log,Log Error (Result Not Found),
68,/usr/sbin/capsh --caps=cap_sys_admin+ep,Capsh_Shell_Invocation_attack68.log,Log Error (Result Not Found),
69,/usr/sbin/capsh --drop=cap_net_raw,Capsh_Shell_Invocation_attack69.log,Log Error (Result Not Found),
70,/usr/sbin/capsh --print,Capsh_Shell_Invocation_attack70.log,Log Error (Result Not Found),
71,/usr/sbin/capsh --root=/,Capsh_Shell_Invocation_attack71.log,Log Error (Result Not Found),
72,/usr/sbin/capsh --chroot=/,Capsh_Shell_Invocation_attack72.log,Log Error (Result Not Found),
73,/usr/sbin/capsh --secbits=0,Capsh_Shell_Invocation_attack73.log,Log Error (Result Not Found),
74,/usr/sbin/capsh --inh=cap_setuid,Capsh_Shell_Invocation_attack74.log,Log Error (Result Not Found),
75,/usr/sbin/capsh --inh=cap_net_sbind_service,Capsh_Shell_Invocation_attack75.log,Log Error (Result Not Found),
76,/usr/sbin/capsh --addamb=cap_sys_chroot,Capsh_Shell_Invocation_attack76.log,Log Error (Result Not Found),
77,/usr/sbin/capsh --caps=cap_setuid+ep,Capsh_Shell_Invocation_attack77.log,Log Error (Result Not Found),
78,/usr/sbin/capsh --forkexec /sbin/bash,Capsh_Shell_Invocation_attack78.log,Log Error (Result Not Found),
79,/usr/sbin/capsh --exec /sbin/sh,Capsh_Shell_Invocation_attack79.log,Log Error (Result Not Found),
