ID,Command,Log File,Result,All Detected Rules
1,"shred -u /var/""log""/syslog",Clear_Linux_Logs_checklog_attack1.log,Trigger: Clear Linux Logs,File Deletion | Syslog Clearing or Removal Via System Utilities | Clear Linux Logs
2,"shred -u /""var""/log/syslog",Clear_Linux_Logs_checklog_attack2.log,Trigger: Clear Linux Logs,File Deletion | Syslog Clearing or Removal Via System Utilities | Clear Linux Logs
3,"shred -u ""/var""/log/syslog",Clear_Linux_Logs_checklog_attack3.log,Trigger: Clear Linux Logs,File Deletion | Syslog Clearing or Removal Via System Utilities | Clear Linux Logs
4,"shred -u /var/log/""syslog""",Clear_Linux_Logs_checklog_attack4.log,Trigger: Clear Linux Logs,File Deletion | Syslog Clearing or Removal Via System Utilities | Clear Linux Logs
5,"shred -u /var/log/sys""log""",Clear_Linux_Logs_checklog_attack5.log,Trigger: Clear Linux Logs,File Deletion | Syslog Clearing or Removal Via System Utilities | Clear Linux Logs
6,"shred -u /va""r""/log/syslog",Clear_Linux_Logs_checklog_attack6.log,Trigger: Clear Linux Logs,File Deletion | Syslog Clearing or Removal Via System Utilities | Clear Linux Logs
7,"shred -u /var/lo""g""/syslog",Clear_Linux_Logs_checklog_attack7.log,Trigger: Clear Linux Logs,File Deletion | Syslog Clearing or Removal Via System Utilities | Clear Linux Logs
8,"sh""red"" -u /var/log/syslog",Clear_Linux_Logs_checklog_attack8.log,Trigger: Clear Linux Logs,File Deletion | Syslog Clearing or Removal Via System Utilities | Clear Linux Logs
9,"""shred"" -u /var/log/syslog",Clear_Linux_Logs_checklog_attack9.log,Trigger: Clear Linux Logs,File Deletion | Syslog Clearing or Removal Via System Utilities | Clear Linux Logs
10,"/usr/bin/""shred"" -u /var/log/syslog",Clear_Linux_Logs_checklog_attack10.log,Log Error (Result Not Found),
11,"/usr/bin/sh""red"" -u /var/log/syslog",Clear_Linux_Logs_checklog_attack11.log,Log Error (Result Not Found),
12,sh$'red' -u /var/log/syslog,Clear_Linux_Logs_checklog_attack12.log,Log Error (Result Not Found),
13,"shre""d"" -u /var/log/syslog",Clear_Linux_Logs_checklog_attack13.log,Trigger: Clear Linux Logs,File Deletion | Syslog Clearing or Removal Via System Utilities | Clear Linux Logs
14,shre\u0064 -u /var/log/syslog,Clear_Linux_Logs_checklog_attack14.log,Log Error (Result Not Found),
15,sh\u0072ed -u /var/log/syslog,Clear_Linux_Logs_checklog_attack15.log,Log Error (Result Not Found),
16,shred -u /va\u0072/log/syslog,Clear_Linux_Logs_checklog_attack16.log,Log Error (Result Not Found),
17,shred -u /var/log/sys\u006cog,Clear_Linux_Logs_checklog_attack17.log,Log Error (Result Not Found),
18,shred -u /var/log/sy\u0073log,Clear_Linux_Logs_checklog_attack18.log,Log Error (Result Not Found),
19,"shred -u /var/log/sy""sl""og",Clear_Linux_Logs_checklog_attack19.log,Trigger: Clear Linux Logs,File Deletion | Syslog Clearing or Removal Via System Utilities | Clear Linux Logs
20,"shred -u /var/l""og""/syslog",Clear_Linux_Logs_checklog_attack20.log,Trigger: Clear Linux Logs,File Deletion | Syslog Clearing or Removal Via System Utilities | Clear Linux Logs
21,"shred -u /v""ar""/log/syslog",Clear_Linux_Logs_checklog_attack21.log,Trigger: Clear Linux Logs,File Deletion | Syslog Clearing or Removal Via System Utilities | Clear Linux Logs
22,"/bin/shred -u /var/""log""/syslog",Clear_Linux_Logs_checklog_attack22.log,Log Error (Result Not Found),
23,"/bin/""shred"" -u /var/log/syslog",Clear_Linux_Logs_checklog_attack23.log,Log Error (Result Not Found),
24,"sh""re""""d"" -u /var/log/syslog",Clear_Linux_Logs_checklog_attack24.log,Trigger: Clear Linux Logs,File Deletion | Syslog Clearing or Removal Via System Utilities | Clear Linux Logs
25,"s""hr""ed -u /var/log/syslog",Clear_Linux_Logs_checklog_attack25.log,Trigger: Clear Linux Logs,File Deletion | Syslog Clearing or Removal Via System Utilities | Clear Linux Logs
26,"shre""d"" -u ""/var/log/syslog""",Clear_Linux_Logs_checklog_attack26.log,Trigger: Clear Linux Logs,File Deletion | Syslog Clearing or Removal Via System Utilities | Clear Linux Logs
27,shred -u /var/log/syslog#,Clear_Linux_Logs_checklog_attack27.log,Log Error (Result Not Found),
28,shred -u /var/log/syslog\,Clear_Linux_Logs_checklog_attack28.log,Trigger: Clear Linux Logs,File Deletion | Syslog Clearing or Removal Via System Utilities | Clear Linux Logs
29,"shred -u ""/var""/""log""/""syslog""",Clear_Linux_Logs_checklog_attack29.log,Trigger: Clear Linux Logs,File Deletion | Syslog Clearing or Removal Via System Utilities | Clear Linux Logs
30,sh$'\x72'$'ed' -u /var/log/syslog,Clear_Linux_Logs_checklog_attack30.log,Log Error (Result Not Found),
31,"sh""""red -u /var/log/syslog",Clear_Linux_Logs_checklog_attack31.log,Trigger: Clear Linux Logs,File Deletion | Syslog Clearing or Removal Via System Utilities | Clear Linux Logs
32,"sh""+""red -u /var/log/syslog",Clear_Linux_Logs_checklog_attack32.log,Log Error (Result Not Found),
33,"shred -u /var/lo""""g/syslog",Clear_Linux_Logs_checklog_attack33.log,Trigger: Clear Linux Logs,File Deletion | Syslog Clearing or Removal Via System Utilities | Clear Linux Logs
34,"shred -u /va""""r/log/syslog",Clear_Linux_Logs_checklog_attack34.log,Trigger: Clear Linux Logs,File Deletion | Syslog Clearing or Removal Via System Utilities | Clear Linux Logs
35,"shred -u /var/log/sy""""slog",Clear_Linux_Logs_checklog_attack35.log,Trigger: Clear Linux Logs,File Deletion | Syslog Clearing or Removal Via System Utilities | Clear Linux Logs
36,"shred -u /var/log/sys""+""log",Clear_Linux_Logs_checklog_attack36.log,Log Error (Result Not Found),
37,"shred -u ""/var""/""log""/""syslog""",Clear_Linux_Logs_checklog_attack37.log,Trigger: Clear Linux Logs,File Deletion | Syslog Clearing or Removal Via System Utilities | Clear Linux Logs
38,"/usr/""bin""/shred -u /var/log/syslog",Clear_Linux_Logs_checklog_attack38.log,Log Error (Result Not Found),
39,"/usr/bin/shred -u ""/var/log""/syslog",Clear_Linux_Logs_checklog_attack39.log,Log Error (Result Not Found),
40,"/usr/bin/shred -u /var/log/""sys""""log""",Clear_Linux_Logs_checklog_attack40.log,Log Error (Result Not Found),
41,shred -u /va$'r'/log/syslog,Clear_Linux_Logs_checklog_attack41.log,Log Error (Result Not Found),
42,shred -u /var/log/s$'yslog',Clear_Linux_Logs_checklog_attack42.log,Log Error (Result Not Found),
43,shred -u /var/log/$'syslog',Clear_Linux_Logs_checklog_attack43.log,Log Error (Result Not Found),
44,"sh$'red' -u ""$""/var/log/syslog",Clear_Linux_Logs_checklog_attack44.log,Log Error (Result Not Found),
45,sh$'r''ed' -u /var/log/syslog,Clear_Linux_Logs_checklog_attack45.log,Log Error (Result Not Found),
46,"/usr/bin/s""hr""""ed"" -u /var/log/syslog",Clear_Linux_Logs_checklog_attack46.log,Log Error (Result Not Found),
47,"/usr/bin/shre""d"" -u /va""r""/log/syslog",Clear_Linux_Logs_checklog_attack47.log,Log Error (Result Not Found),
48,shred -u /var/l\u006fg/syslog,Clear_Linux_Logs_checklog_attack48.log,Log Error (Result Not Found),
49,shred -u /va\u0072/log/sy\u0073log,Clear_Linux_Logs_checklog_attack49.log,Log Error (Result Not Found),
50,"shred -u ""/va\u0072/log/sy\u0073log""",Clear_Linux_Logs_checklog_attack50.log,Log Error (Result Not Found),
51,"shre\u0064 -u ""/var/log/syslog""",Clear_Linux_Logs_checklog_attack51.log,Log Error (Result Not Found),
52,"""sh""""red"" -u /var/log/syslog",Clear_Linux_Logs_checklog_attack52.log,Trigger: Clear Linux Logs,File Deletion | Syslog Clearing or Removal Via System Utilities | Clear Linux Logs
53,"s""hr""""ed"" -u /var/log/syslog",Clear_Linux_Logs_checklog_attack53.log,Trigger: Clear Linux Logs,File Deletion | Syslog Clearing or Removal Via System Utilities | Clear Linux Logs
54,"shre""""d"" -u /va""""r""/log/syslog",Clear_Linux_Logs_checklog_attack54.log,Log Error (Result Not Found),
55,"sh""""r""""ed"" -u /var/log/syslog",Clear_Linux_Logs_checklog_attack55.log,Log Error (Result Not Found),
56,"shred -u /""var""/""log""/sys""log""",Clear_Linux_Logs_checklog_attack56.log,Trigger: Clear Linux Logs,File Deletion | Syslog Clearing or Removal Via System Utilities | Clear Linux Logs
57,"sh""+""red -u /""var/log""/""syslog""",Clear_Linux_Logs_checklog_attack57.log,Log Error (Result Not Found),
58,"sh""+""re""+""d"" -u /var/log/syslog",Clear_Linux_Logs_checklog_attack58.log,Log Error (Result Not Found),
59,"shred -u ""/var""/log/""syslog""",Clear_Linux_Logs_checklog_attack59.log,Trigger: Clear Linux Logs,File Deletion | Syslog Clearing or Removal Via System Utilities | Clear Linux Logs
60,s$'h'$'red' -u /var/log/syslog,Clear_Linux_Logs_checklog_attack60.log,Log Error (Result Not Found),
61,shred --remove /var/log/syslog,Clear_Linux_Logs_checklog_attack61.log,Log Error (Result Not Found),
62,shred --remove=yes /var/log/syslog,Clear_Linux_Logs_checklog_attack62.log,Log Error (Result Not Found),
63,shred -u --verbose /var/log/syslog,Clear_Linux_Logs_checklog_attack63.log,Log Error (Result Not Found),
64,shred --remove --verbose /var/log/syslog,Clear_Linux_Logs_checklog_attack64.log,Log Error (Result Not Found),
65,shred --force --remove /var/log/syslog,Clear_Linux_Logs_checklog_attack65.log,Log Error (Result Not Found),
66,shred -u /var/log/messages,Clear_Linux_Logs_checklog_attack66.log,Log Error (Result Not Found),
67,shred -u /var/log/kern.log,Clear_Linux_Logs_checklog_attack67.log,Log Error (Result Not Found),
68,shred -u /var/log/auth.log,Clear_Linux_Logs_checklog_attack68.log,Log Error (Result Not Found),
69,shred --remove /var/log/auth.log,Clear_Linux_Logs_checklog_attack69.log,Log Error (Result Not Found),
70,shred -f --remove /var/log/syslog,Clear_Linux_Logs_checklog_attack70.log,Log Error (Result Not Found),
71,shred --force --remove=yes /var/log/syslog,Clear_Linux_Logs_checklog_attack71.log,Log Error (Result Not Found),
72,shred -u --force /var/log/syslog,Clear_Linux_Logs_checklog_attack72.log,Log Error (Result Not Found),
73,shred -u -v /var/log/syslog,Clear_Linux_Logs_checklog_attack73.log,Log Error (Result Not Found),
74,shred --remove --zero /var/log/syslog,Clear_Linux_Logs_checklog_attack74.log,Log Error (Result Not Found),
75,shred --iterations=3 --remove /var/log/syslog,Clear_Linux_Logs_checklog_attack75.log,Log Error (Result Not Found),
76,shred -n 5 --remove /var/log/syslog,Clear_Linux_Logs_checklog_attack76.log,Log Error (Result Not Found),
77,shred --remove --random-source=/dev/urandom /var/log/syslog,Clear_Linux_Logs_checklog_attack77.log,Log Error (Result Not Found),
78,shred --remove=yes --zero /var/log/syslog,Clear_Linux_Logs_checklog_attack78.log,Log Error (Result Not Found),
79,shred -f -u /var/log/syslog,Clear_Linux_Logs_checklog_attack79.log,Log Error (Result Not Found),
80,shred --remove --force /var/log/syslog,Clear_Linux_Logs_checklog_attack80.log,Log Error (Result Not Found),
81,shred --remove /var/log/wtmp,Clear_Linux_Logs_checklog_attack81.log,Log Error (Result Not Found),
82,shred --remove /var/log/btmp,Clear_Linux_Logs_checklog_attack82.log,Log Error (Result Not Found),
83,shred --remove /var/log/lastlog,Clear_Linux_Logs_checklog_attack83.log,Log Error (Result Not Found),
84,shred --remove /var/log/faillog,Clear_Linux_Logs_checklog_attack84.log,Log Error (Result Not Found),
85,shred --remove /var/log/dmesg,Clear_Linux_Logs_checklog_attack85.log,Log Error (Result Not Found),
86,shred --remove /var/log/debug,Clear_Linux_Logs_checklog_attack86.log,Log Error (Result Not Found),
87,shred -u --remove /var/log/syslog,Clear_Linux_Logs_checklog_attack87.log,Log Error (Result Not Found),
88,shred -u --remove=yes /var/log/syslog,Clear_Linux_Logs_checklog_attack88.log,Log Error (Result Not Found),
89,shred --remove /var/log/syslog.1,Clear_Linux_Logs_checklog_attack89.log,Log Error (Result Not Found),
90,shred -f --remove /var/log/syslog.1,Clear_Linux_Logs_checklog_attack90.log,Log Error (Result Not Found),
