ID,Command,Log File,Result,All Detected Rules
1,"crontab -l > /tmp/.discovery_cron && cat /tmp/.""discovery""_cron",Crontab_Enumeration_attack1.log,Bypass Target Rule,Syslog Clearing or Removal Via System Utilities | Execution Of Script Located In Potentially Suspicious Directory
2,"crontab -l > /tmp/.dis""covery""_cron && cat /tmp/.dis""covery""_cron",Crontab_Enumeration_attack2.log,Bypass Target Rule,Syslog Clearing or Removal Via System Utilities | Execution Of Script Located In Potentially Suspicious Directory
3,"crontab -l > /tmp/.discovery""_""cron && cat /tmp/.discovery""_""cron",Crontab_Enumeration_attack3.log,Bypass Target Rule,Syslog Clearing or Removal Via System Utilities | Execution Of Script Located In Potentially Suspicious Directory
4,"crontab -l > /tmp/.disc""overy_cron"" && cat /tmp/.disc""overy_cron""",Crontab_Enumeration_attack4.log,Bypass Target Rule,Syslog Clearing or Removal Via System Utilities | Execution Of Script Located In Potentially Suspicious Directory
5,"crontab -l > /tmp/.d""iscovery_cron"" && cat /tmp/.d""iscovery_cron""",Crontab_Enumeration_attack5.log,Bypass Target Rule,Syslog Clearing or Removal Via System Utilities | Execution Of Script Located In Potentially Suspicious Directory
6,"crontab -l > /tmp/.discov""ery_cron"" && cat /tmp/.discov""ery_cron""",Crontab_Enumeration_attack6.log,Bypass Target Rule,Syslog Clearing or Removal Via System Utilities | Execution Of Script Located In Potentially Suspicious Directory
7,"crontab -l > /tmp/.disco""very_cron"" && cat /tmp/.disco""very_cron""",Crontab_Enumeration_attack7.log,Bypass Target Rule,Syslog Clearing or Removal Via System Utilities | Execution Of Script Located In Potentially Suspicious Directory
8,"crontab -l > /tmp/.""discovery_cron"" && cat /tmp/.""discovery_cron""",Crontab_Enumeration_attack8.log,Bypass Target Rule,Syslog Clearing or Removal Via System Utilities | Execution Of Script Located In Potentially Suspicious Directory
9,"crontab -l > /tmp/.discovery_cr""on"" && cat /tmp/.discovery_cr""on""",Crontab_Enumeration_attack9.log,Bypass Target Rule,Syslog Clearing or Removal Via System Utilities | Execution Of Script Located In Potentially Suspicious Directory
10,"crontab -l > /tmp/.discovery_c""ron"" && cat /tmp/.discovery_c""ron""",Crontab_Enumeration_attack10.log,Bypass Target Rule,Syslog Clearing or Removal Via System Utilities | Execution Of Script Located In Potentially Suspicious Directory
11,"crontab -l > /tmp/.disc""ov""ery_cron && cat /tmp/.disc""ov""ery_cron",Crontab_Enumeration_attack11.log,Bypass Target Rule,Syslog Clearing or Removal Via System Utilities | Execution Of Script Located In Potentially Suspicious Directory
12,"crontab -l > /tmp/.dis""co""very_cron && cat /tmp/.dis""co""very_cron",Crontab_Enumeration_attack12.log,Bypass Target Rule,Syslog Clearing or Removal Via System Utilities | Execution Of Script Located In Potentially Suspicious Directory
13,"crontab -l > /tmp/.di""scovery""cron && cat /tmp/.di""scovery""cron",Crontab_Enumeration_attack13.log,Trigger: Crontab Enumeration,Syslog Clearing or Removal Via System Utilities | Execution Of Script Located In Potentially Suspicious Directory | Crontab Enumeration
14,"crontab -l > /tmp/.discovery_cron && cat /tmp/.dis""covery""_cron",Crontab_Enumeration_attack14.log,Bypass Target Rule,Syslog Clearing or Removal Via System Utilities | Execution Of Script Located In Potentially Suspicious Directory
15,"crontab -l > /tmp/.discov""ery""_cron && cat /tmp/.discov""ery""_cron",Crontab_Enumeration_attack15.log,Bypass Target Rule,Syslog Clearing or Removal Via System Utilities | Execution Of Script Located In Potentially Suspicious Directory
16,"crontab -l > /tmp/.discovery_cron && cat /tmp/.discovery""_""cron",Crontab_Enumeration_attack16.log,Bypass Target Rule,Syslog Clearing or Removal Via System Utilities | Execution Of Script Located In Potentially Suspicious Directory
17,"crontab -l > /tmp/.discov""ery_cron"" && cat /tmp/.discov""ery_cron""",Crontab_Enumeration_attack17.log,Bypass Target Rule,Syslog Clearing or Removal Via System Utilities | Execution Of Script Located In Potentially Suspicious Directory
18,"crontab -l > /tmp/.d""i""scovery_cron && cat /tmp/.d""i""scovery_cron",Crontab_Enumeration_attack18.log,Bypass Target Rule,Syslog Clearing or Removal Via System Utilities | Execution Of Script Located In Potentially Suspicious Directory
19,"crontab -l > /tmp/.discovery_cron && cat /tmp/.dis""covery""cron",Crontab_Enumeration_attack19.log,Bypass Target Rule,Syslog Clearing or Removal Via System Utilities | Execution Of Script Located In Potentially Suspicious Directory
20,"crontab -l > /tmp/.discovery""_""cron && cat /tmp/.discovery""_""cron",Crontab_Enumeration_attack20.log,Bypass Target Rule,Syslog Clearing or Removal Via System Utilities | Execution Of Script Located In Potentially Suspicious Directory
21,"crontab -l > /tmp/.""disc""overy_cron && cat /tmp/.""disc""overy_cron",Crontab_Enumeration_attack21.log,Bypass Target Rule,Syslog Clearing or Removal Via System Utilities | Execution Of Script Located In Potentially Suspicious Directory
22,"crontab -l > /tmp/.d""isc""overy_cron && cat /tmp/.d""isc""overy_cron",Crontab_Enumeration_attack22.log,Bypass Target Rule,Syslog Clearing or Removal Via System Utilities | Execution Of Script Located In Potentially Suspicious Directory
23,"crontab -l > /tmp/.disco""v""ery_cron && cat /tmp/.disco""v""ery_cron",Crontab_Enumeration_attack23.log,Bypass Target Rule,Syslog Clearing or Removal Via System Utilities | Execution Of Script Located In Potentially Suspicious Directory
24,"crontab -l > /tmp/.di""sc""overy_cron && cat /tmp/.di""sc""overy_cron",Crontab_Enumeration_attack24.log,Bypass Target Rule,Syslog Clearing or Removal Via System Utilities | Execution Of Script Located In Potentially Suspicious Directory
25,"crontab -l > /tmp/.dis""co""v""ery_cron && cat /tmp/.dis""co""v""ery_cron",Crontab_Enumeration_attack25.log,Bypass Target Rule,Syslog Clearing or Removal Via System Utilities | Execution Of Script Located In Potentially Suspicious Directory
26,"crontab -l > /tmp/.discov""e""ry_cron && cat /tmp/.discov""e""ry_cron",Crontab_Enumeration_attack26.log,Bypass Target Rule,Syslog Clearing or Removal Via System Utilities | Execution Of Script Located In Potentially Suspicious Directory
27,"crontab -l > /tmp/.discovery_c""r""on && cat /tmp/.discovery_c""r""on",Crontab_Enumeration_attack27.log,Bypass Target Rule,Syslog Clearing or Removal Via System Utilities | Execution Of Script Located In Potentially Suspicious Directory
28,"crontab -l > /tmp/.discovery_""c""ron && cat /tmp/.discovery_""c""ron",Crontab_Enumeration_attack28.log,Bypass Target Rule,Syslog Clearing or Removal Via System Utilities | Execution Of Script Located In Potentially Suspicious Directory
