ID,Command,Log File,Result,All Detected Rules
1,"crontab -l > /tmp/.di""scovery""cron && cat /tmp/.di""scovery""cron",Crontab_Enumeration_checklog_attack1.log,Log Error (Missing Result),
2,"crontab -l > /tmp/.discove""ry""cron && cat /tmp/.discove""ry""cron",Crontab_Enumeration_checklog_attack2.log,Log Error (Missing Result),
3,crontab -l | tee /tmp/.discovery_cron && cat /tmp/.discovery_cron,Crontab_Enumeration_checklog_attack3.log,Log Error (Missing Result),
4,crontab -l | cat > /tmp/.discovery_cron && cat /tmp/.discovery_cron,Crontab_Enumeration_checklog_attack4.log,Log Error (Missing Result),
5,cat /tmp/.discovery_cron; crontab -l | tee /tmp/.discovery_cron,Crontab_Enumeration_checklog_attack5.log,Log Error (Missing Result),
6,crontab -l|tee /tmp/.discovery_cron; cat /tmp/.discovery_cron,Crontab_Enumeration_checklog_attack6.log,Log Error (Missing Result),
7,crontab -l && echo out > /tmp/.discovery_cron; cat /tmp/.discovery_cron,Crontab_Enumeration_checklog_attack7.log,Log Error (Missing Result),
8,crontab -l | cat - > /tmp/.discovery_cron && cat /tmp/.discovery_cron,Crontab_Enumeration_checklog_attack8.log,Log Error (Missing Result),
9,cat /tmp/.discovery_cron && crontab -l | tee /tmp/.discovery_cron,Crontab_Enumeration_checklog_attack9.log,Log Error (Missing Result),
10,crontab -l | tee /tmp/.discovery_cron | cat && cat /tmp/.discovery_cron,Crontab_Enumeration_checklog_attack10.log,Log Error (Missing Result),
11,"crontab -l | grep -v ""^#"" > /tmp/.discovery_cron && cat /tmp/.discovery_cron",Crontab_Enumeration_checklog_attack11.log,Log Error (Missing Result),
12,crontab -l | grep . > /tmp/.discovery_cron && cat /tmp/.discovery_cron,Crontab_Enumeration_checklog_attack12.log,Log Error (Missing Result),
13,crontab -l | awk '{print $0}' > /tmp/.discovery_cron && cat /tmp/.discovery_cron,Crontab_Enumeration_checklog_attack13.log,Log Error (Missing Result),
14,crontab -l | tee /tmp/.discovery_cron | cat,Crontab_Enumeration_checklog_attack14.log,Log Error (Missing Result),
15,crontab -l | tee /tmp/.discovery_cron > /dev/null && cat /tmp/.discovery_cron,Crontab_Enumeration_checklog_attack15.log,Log Error (Missing Result),
16,crontab -l | awk '{print}' > /tmp/.discovery_cron && cat /tmp/.discovery_cron,Crontab_Enumeration_checklog_attack16.log,Log Error (Missing Result),
17,crontab -l | sed '' > /tmp/.discovery_cron && cat /tmp/.discovery_cron,Crontab_Enumeration_checklog_attack17.log,Log Error (Missing Result),
18,crontab -l | cat > /tmp/.discovery_cron && cat /tmp/.discovery_cron,Crontab_Enumeration_checklog_attack18.log,Log Error (Missing Result),
19,crontab -l | base64 -d > /tmp/.discovery_cron && cat /tmp/.discovery_cron,Crontab_Enumeration_checklog_attack19.log,Log Error (Missing Result),
20,crontab -l | xargs -I {} echo {} > /tmp/.discovery_cron && cat /tmp/.discovery_cron,Crontab_Enumeration_checklog_attack20.log,Log Error (Missing Result),
21,"echo ""$(crontab -l)"" > /tmp/.discovery_cron && cat /tmp/.discovery_cron",Crontab_Enumeration_checklog_attack21.log,Log Error (Missing Result),
22,crontab -l | dd of=/tmp/.discovery_cron && cat /tmp/.discovery_cron,Crontab_Enumeration_checklog_attack22.log,Log Error (Missing Result),
23,crontab -l | head -n 1000 > /tmp/.discovery_cron && cat /tmp/.discovery_cron,Crontab_Enumeration_checklog_attack23.log,Log Error (Missing Result),
24,crontab -l | grep '' > /tmp/.discovery_cron && cat /tmp/.discovery_cron,Crontab_Enumeration_checklog_attack24.log,Log Error (Missing Result),
25,crontab -l | tr -d '\r' > /tmp/.discovery_cron && cat /tmp/.discovery_cron,Crontab_Enumeration_checklog_attack25.log,Log Error (Missing Result),
26,crontab -l | tail -n +1 > /tmp/.discovery_cron && cat /tmp/.discovery_cron,Crontab_Enumeration_checklog_attack26.log,Log Error (Missing Result),
27,crontab -l | tee /dev/stdout > /tmp/.discovery_cron,Crontab_Enumeration_checklog_attack27.log,Log Error (Missing Result),
28,crontab -l | gzip > /tmp/discovery.gz && gunzip -c /tmp/discovery.gz,Crontab_Enumeration_checklog_attack28.log,Log Error (Missing Result),
29,crontab -l | tee /tmp/.discovery_cron | tail -n +0,Crontab_Enumeration_checklog_attack29.log,Log Error (Missing Result),
30,crontab -l | sed -e 's/^/ /' | sed -e 's/^ //' > /tmp/.discovery_cron && cat /tmp/.discovery_cron,Crontab_Enumeration_checklog_attack30.log,Log Error (Missing Result),
31,crontab -l | awk '{print $0}' > /tmp/.discovery_cron && cat /tmp/.discovery_cron,Crontab_Enumeration_checklog_attack31.log,Log Error (Missing Result),
,,,,
,,,,
=== SUMMARY REPORT ===,,,,
Total Commands,31,,,
Total Triggered Target,0,,,
Total Bypass Target,0 (0.0%),,,
  > Bypass All (Silent),0,,,
  > Bypass Target Rule (Noisy),0,,,
Errors,31,,,
