ID,Command,Log File,Result,All Detected Rules
1,"echo ""ZWNobyBIZWxsbyBmcm9tIEF0b21pYyBSZWQgVGVhbSAmJiB1bmFtZSAtdgo="" | base64 --decode > /tmp/art.sh && chmod +x /tmp/art.sh && /tmp/art.sh",Decode_Base64_Encoded_Text_attack1.log,Bypass Target Rule,Syslog Clearing or Removal Via System Utilities | Execution Of Script Located In Potentially Suspicious Directory
2,printf '%s\n' ZWNobyBIZWxsbyBmcm9tIEF0b21pYyBSZWQgVGVhbSAmJiB1bmFtZSAtdgo= | base64 -d > /tmp/art.sh && chmod +x /tmp/art.sh && /tmp/art.sh,Decode_Base64_Encoded_Text_attack2.log,Bypass Target Rule,Syslog Clearing or Removal Via System Utilities | Execution Of Script Located In Potentially Suspicious Directory
3,"echo ""ZWNobyBIZWxsbyBmcm9tIEF0b21pYyBSZWQgVGVhbSAmJiB1bmFtZSAtdgo="" | base64 -d | tee /tmp/art.sh >/dev/null && chmod +x /tmp/art.sh && /tmp/art.sh",Decode_Base64_Encoded_Text_attack3.log,Trigger: Decode Base64 Encoded Text,Decode Base64 Encoded Text | Syslog Clearing or Removal Via System Utilities | Execution Of Script Located In Potentially Suspicious Directory
4,echo ZWNobyBIZWxsbyBmcm9tIEF0b21pYyBSZWQgVGVhbSAmJiB1bmFtZSAtdgo= | base64 -d | sh,Decode_Base64_Encoded_Text_attack4.log,Trigger: Decode Base64 Encoded Text,Decode Base64 Encoded Text | System Information Discovery | Syslog Clearing or Removal Via System Utilities | Linux Base64 Encoded Pipe to Shell
5,"base64 -d <<< ""ZWNobyBIZWxsbyBmcm9tIEF0b21pYyBSZWQgVGVhbSAmJiB1bmFtZSAtdgo="" > /tmp/art.sh && chmod +x /tmp/art.sh && /tmp/art.sh",Decode_Base64_Encoded_Text_attack5.log,Bypass Target Rule,Syslog Clearing or Removal Via System Utilities | Execution Of Script Located In Potentially Suspicious Directory
6,echo ZWNobyBIZWxsbyBmcm9tIEF0b21pYyBSZWQgVGVhbSAmJiB1bmFtZSAtdgo= | base64 -d | bash,Decode_Base64_Encoded_Text_attack6.log,Trigger: Decode Base64 Encoded Text,Decode Base64 Encoded Text | System Information Discovery | Syslog Clearing or Removal Via System Utilities | Linux Base64 Encoded Pipe to Shell
7,"(echo ""ZWNobyBIZWxsbyBmcm9tIEF0b21pYyBSZWQgVGVhbSAmJiB1bmFtZSAtdgo="" | base64 -d) > /tmp/art.sh; chmod +x /tmp/art.sh; /tmp/art.sh",Decode_Base64_Encoded_Text_attack7.log,Bypass Target Rule,System Information Discovery | Syslog Clearing or Removal Via System Utilities | Execution Of Script Located In Potentially Suspicious Directory | Chmod Suspicious Directory
8,export CMD=ZWNobyBIZWxsbyBmcm9tIEF0b21pYyBSZWQgVGVhbSAmJiB1bmFtZSAtdgo=; echo $CMD | base64 -d > /tmp/art.sh && chmod +x /tmp/art.sh && /tmp/art.sh,Decode_Base64_Encoded_Text_attack8.log,Bypass Target Rule,Syslog Clearing or Removal Via System Utilities | Execution Of Script Located In Potentially Suspicious Directory
9,"echo ""ZWNobyBIZWxsbyBmcm9tIEF0b21pYyBSZWQgVGVhbSAmJiB1bmFtZSAtdgo="" | openssl enc -base64 -d > /tmp/art.sh && chmod +x /tmp/art.sh && /tmp/art.sh",Decode_Base64_Encoded_Text_attack9.log,Bypass Target Rule,Syslog Clearing or Removal Via System Utilities | Execution Of Script Located In Potentially Suspicious Directory
10,"python3 -c 'import base64;open(""/tmp/art.sh"",""wb"").write(base64.b64decode(""ZWNobyBIZWxsbyBmcm9tIEF0b21pYyBSZWQgVGVhbSAmJiB1bmFtZSAtdgo=""))'; chmod +x /tmp/art.sh; /tmp/art.sh",Decode_Base64_Encoded_Text_attack10.log,Bypass Target Rule,System Information Discovery | Syslog Clearing or Removal Via System Utilities | Execution Of Script Located In Potentially Suspicious Directory | Chmod Suspicious Directory
11,"perl -MMIME::Base64 -e 'print decode_base64(""ZWNobyBIZWxsbyBmcm9tIEF0b21pYyBSZWQgVGVhbSAmJiB1bmFtZSAtdgo="")' > /tmp/art.sh; chmod +x /tmp/art.sh; /tmp/art.sh",Decode_Base64_Encoded_Text_attack11.log,Bypass Target Rule,System Information Discovery | Syslog Clearing or Removal Via System Utilities | Execution Of Script Located In Potentially Suspicious Directory | Chmod Suspicious Directory
12,"echo ""ZWNobyBIZWxsbyBmcm9tIEF0b21pYyBSZWQgVGVhbSAmJiB1bmFtZSAtdgo="" | base64 -d | bash",Decode_Base64_Encoded_Text_attack12.log,Trigger: Decode Base64 Encoded Text,Decode Base64 Encoded Text | System Information Discovery | Syslog Clearing or Removal Via System Utilities | Linux Base64 Encoded Pipe to Shell
13,cat <<< ZWNobyBIZWxsbyBmcm9tIEF0b21pYyBSZWQgVGVhbSAmJiB1bmFtZSAtdgo= | base64 -d | bash,Decode_Base64_Encoded_Text_attack13.log,Bypass Target Rule,Syslog Clearing or Removal Via System Utilities | Linux Base64 Encoded Pipe to Shell
14,"echo ""ZWNobyBIZWxsbyBmcm9tIEF0b21pYyBSZWQgVGVhbSAmJiB1bmFtZSAtdgo="" | base64 --decode | sh",Decode_Base64_Encoded_Text_attack14.log,Trigger: Decode Base64 Encoded Text,Decode Base64 Encoded Text | System Information Discovery | Syslog Clearing or Removal Via System Utilities | Linux Base64 Encoded Pipe to Shell
15,base64 -d <<<ZWNobyBIZWxsbyBmcm9tIEF0b21pYyBSZWQgVGVhbSAmJiB1bmFtZSAtdgo= | bash,Decode_Base64_Encoded_Text_attack15.log,Bypass Target Rule,Syslog Clearing or Removal Via System Utilities | Linux Base64 Encoded Pipe to Shell
16,(echo ZWNobyBIZWxsbyBmcm9tIEF0b21pYyBSZWQgVGVhbSAmJiB1bmFtZSAtdgo= | base64 -d) | bash,Decode_Base64_Encoded_Text_attack16.log,Trigger: Decode Base64 Encoded Text,Decode Base64 Encoded Text | System Information Discovery | Syslog Clearing or Removal Via System Utilities | Linux Base64 Encoded Pipe to Shell
17,printf ZWNobyBIZWxsbyBmcm9tIEF0b21pYyBSZWQgVGVhbSAmJiB1bmFtZSAtdgo= | base64 -d | bash,Decode_Base64_Encoded_Text_attack17.log,Trigger: Decode Base64 Encoded Text,Decode Base64 Encoded Text | System Information Discovery | Syslog Clearing or Removal Via System Utilities | Linux Base64 Encoded Pipe to Shell
18,"export VAR=""ZWNobyBIZWxsbyBmcm9tIEF0b21pYyBSZWQgVGVhbSAmJiB1bmFtZSAtdgo=""; echo $VAR | base64 -d | bash",Decode_Base64_Encoded_Text_attack18.log,Trigger: Decode Base64 Encoded Text,Decode Base64 Encoded Text | System Information Discovery | Syslog Clearing or Removal Via System Utilities | Linux Base64 Encoded Pipe to Shell
19,"base64 --decode <<<""ZWNobyBIZWxsbyBmcm9tIEF0b21pYyBSZWQgVGVhbSAmJiB1bmFtZSAtdgo="" | bash",Decode_Base64_Encoded_Text_attack19.log,Bypass Target Rule,Syslog Clearing or Removal Via System Utilities | Linux Base64 Encoded Pipe to Shell
20,"bash -c ""$(echo ZWNobyBIZWxsbyBmcm9tIEF0b21pYyBSZWQgVGVhbSAmJiB1bmFtZSAtdgo= | base64 -d)""",Decode_Base64_Encoded_Text_attack20.log,Trigger: Decode Base64 Encoded Text,Decode Base64 Encoded Text | System Information Discovery | Syslog Clearing or Removal Via System Utilities
21,"sh -c ""$(echo ZWNobyBIZWxsbyBmcm9tIEF0b21pYyBSZWQgVGVhbSAmJiB1bmFtZSAtdgo= | base64 -d)""",Decode_Base64_Encoded_Text_attack21.log,Trigger: Decode Base64 Encoded Text,Decode Base64 Encoded Text | System Information Discovery | Syslog Clearing or Removal Via System Utilities
22,echo ZWNobyBIZWxsbyBmcm9tIEF0b21pYyBSZWQgVGVhbSAmJiB1bmFtZSAtdgo= | base64 -d | tee /tmp/art.sh | bash,Decode_Base64_Encoded_Text_attack22.log,Trigger: Decode Base64 Encoded Text,System Information Discovery | Syslog Clearing or Removal Via System Utilities | Decode Base64 Encoded Text | Execution Of Script Located In Potentially Suspicious Directory | Linux Base64 Encoded Pipe to Shell
23,echo ZWNobyBIZWxsbyBmcm9tIEF0b21pYyBSZWQgVGVhbSAmJiB1bmFtZSAtdgo= | base64 -d | xargs -I{} bash -c '{}',Decode_Base64_Encoded_Text_attack23.log,Trigger: Decode Base64 Encoded Text,Decode Base64 Encoded Text | System Information Discovery | Syslog Clearing or Removal Via System Utilities
24,perl -MMIME::Base64 -ne 'print decode_base64($_)' <<< ZWNobyBIZWxsbyBmcm9tIEF0b21pYyBSZWQgVGVhbSAmJiB1bmFtZSAtdgo= | bash,Decode_Base64_Encoded_Text_attack24.log,Bypass Target Rule,Syslog Clearing or Removal Via System Utilities | Linux Base64 Encoded Pipe to Shell
25,"python -c 'import base64;print(base64.b64decode(""ZWNobyBIZWxsbyBmcm9tIEF0b21pYyBSZWQgVGVhbSAmJiB1bmFtZSAtdgo="").decode())' | bash",Decode_Base64_Encoded_Text_attack25.log,Bypass Target Rule,Syslog Clearing or Removal Via System Utilities
26,echo ZWNobyBIZWxsbyBmcm9tIEF0b21pYyBSZWQgVGVhbSAmJiB1bmFtZSAtdgo= | base64 -d | bash -s,Decode_Base64_Encoded_Text_attack26.log,Trigger: Decode Base64 Encoded Text,Decode Base64 Encoded Text | System Information Discovery | Syslog Clearing or Removal Via System Utilities | Linux Base64 Encoded Pipe to Shell
27,base64 -d <(echo ZWNobyBIZWxsbyBmcm9tIEF0b21pYyBSZWQgVGVhbSAmJiB1bmFtZSAtdgo=) > /tmp/art.sh && chmod +x /tmp/art.sh && /tmp/art.sh,Decode_Base64_Encoded_Text_attack27.log,Bypass Target Rule,Syslog Clearing or Removal Via System Utilities | Execution Of Script Located In Potentially Suspicious Directory
28,echo ZWNobyBIZWxsbyBmcm9tIEF0b21pYyBSZWQgVGVhbSAmJiB1bmFtZSAtdgo= | tr -d '\n' | base64 -d | bash,Decode_Base64_Encoded_Text_attack28.log,Trigger: Decode Base64 Encoded Text,Decode Base64 Encoded Text | System Information Discovery | Syslog Clearing or Removal Via System Utilities | Linux Base64 Encoded Pipe to Shell
29,echo -n ZWNobyBIZWxsbyBmcm9tIEF0b21pYyBSZWQgVGVhbSAmJiB1bmFtZSAtdgo= | base64 -d | bash,Decode_Base64_Encoded_Text_attack29.log,Trigger: Decode Base64 Encoded Text,Decode Base64 Encoded Text | System Information Discovery | Syslog Clearing or Removal Via System Utilities | Linux Base64 Encoded Pipe to Shell
