ID,Command,Log File,Result,All Detected Rules
1,"sudo sh -c '/sbin/modprobe ""msr"" allow_writes=on'",Linux_Crypto_Mining_Indicators_attack1.log,Bypass Target Rule,Syslog Clearing or Removal Via System Utilities
2,"sudo sh -c '/sbin/modprobe ms""r"" allow_writes=on'",Linux_Crypto_Mining_Indicators_attack2.log,Bypass Target Rule,Syslog Clearing or Removal Via System Utilities
3,"sudo sh -c '/sbin/modprobe m""sr"" allow_writes=on'",Linux_Crypto_Mining_Indicators_attack3.log,Bypass Target Rule,Syslog Clearing or Removal Via System Utilities
4,"sudo sh -c '/sbin/modprobe msr allow_""writes""=on'",Linux_Crypto_Mining_Indicators_attack4.log,Bypass Target Rule,Syslog Clearing or Removal Via System Utilities
5,"sudo sh -c '/sbin/modprobe msr ""allow""_writes=on'",Linux_Crypto_Mining_Indicators_attack5.log,Log Error (Result Not Found),
6,"sudo sh -c '/sbin/modprobe msr allow_writes=""on""'",Linux_Crypto_Mining_Indicators_attack6.log,Bypass Target Rule,Syslog Clearing or Removal Via System Utilities
7,"sudo sh -c '/sbin/modprobe msr allo""w""_writes=on'",Linux_Crypto_Mining_Indicators_attack7.log,Bypass Target Rule,Syslog Clearing or Removal Via System Utilities
8,"sudo sh -c '/sbin/modprobe msr allow_wri""t""es=on'",Linux_Crypto_Mining_Indicators_attack8.log,Bypass Target Rule,Syslog Clearing or Removal Via System Utilities
9,sudo sh -c '/sbin/modprobe msr allo--w_writes=on',Linux_Crypto_Mining_Indicators_attack9.log,Log Error (Result Not Found),
10,"sudo sh -c '/sbin/modprobe ""m""""s""""r"" allow_writes=on'",Linux_Crypto_Mining_Indicators_attack10.log,Bypass Target Rule,Syslog Clearing or Removal Via System Utilities
11,sudo sh -c '/sbin/modprobe $(echo msr) allow_writes=on',Linux_Crypto_Mining_Indicators_attack11.log,Bypass Target Rule,Syslog Clearing or Removal Via System Utilities
12,"sudo sh -c ""/sbin/modprobe 'msr' allow_writes=on""",Linux_Crypto_Mining_Indicators_attack12.log,Bypass Target Rule,Syslog Clearing or Removal Via System Utilities
13,"sudo sh -c '/sbin/modprobe msr al""""low_writes=on'",Linux_Crypto_Mining_Indicators_attack13.log,Bypass Target Rule,Syslog Clearing or Removal Via System Utilities
14,"sudo sh -c '/sbin/modprobe msr allow_writes=o""""n'",Linux_Crypto_Mining_Indicators_attack14.log,Bypass Target Rule,Syslog Clearing or Removal Via System Utilities
15,sudo sh -c '/sbin/modprobe m\sr allow_writes=on',Linux_Crypto_Mining_Indicators_attack15.log,Bypass Target Rule,Syslog Clearing or Removal Via System Utilities
16,sudo sh -c '/sbin/modprobe msr allow=write:s on',Linux_Crypto_Mining_Indicators_attack16.log,Log Error (Result Not Found),
17,sudo sh -c '/sbin/modprobe msr allow_writes==on',Linux_Crypto_Mining_Indicators_attack17.log,Log Error (Result Not Found),
18,sudo sh -c '/sbin/modprobe msr allow_writes=on;#',Linux_Crypto_Mining_Indicators_attack18.log,Trigger: Linux Crypto Mining Indicators,Syslog Clearing or Removal Via System Utilities | Linux Crypto Mining Indicators
19,sudo sh -c '/sbin/modprobe msr allow_writes=on || true',Linux_Crypto_Mining_Indicators_attack19.log,Trigger: Linux Crypto Mining Indicators,Syslog Clearing or Removal Via System Utilities | Linux Crypto Mining Indicators
20,sudo sh -c '/sbin/modprobe msr allow_writes=on # legit',Linux_Crypto_Mining_Indicators_attack20.log,Trigger: Linux Crypto Mining Indicators,Syslog Clearing or Removal Via System Utilities | Linux Crypto Mining Indicators
