ID,Command,Log File,Result,All Detected Rules
1,/usr/bin/awk 1 /etc/group,Local_Groups_Discovery_-_Linux_attack1.log,Bypass Target Rule,Syslog Clearing or Removal Via System Utilities
2,/usr/bin/grep '.' /etc/group,Local_Groups_Discovery_-_Linux_attack2.log,Bypass Target Rule,Syslog Clearing or Removal Via System Utilities
3,/usr/bin/sed -n 'p' /etc/group,Local_Groups_Discovery_-_Linux_attack3.log,Bypass Target Rule,Potential Suspicious Change To Sensitive/Critical Files | Syslog Clearing or Removal Via System Utilities
4,/usr/bin/cat /etc/gr?up,Local_Groups_Discovery_-_Linux_attack4.log,Trigger: Local Groups Discovery - Linux,Local Groups Discovery - Linux | Syslog Clearing or Removal Via System Utilities
5,/usr/bin/cat /etc/*roup,Local_Groups_Discovery_-_Linux_attack5.log,Trigger: Local Groups Discovery - Linux,Local Groups Discovery - Linux | Syslog Clearing or Removal Via System Utilities
6,/usr/bin/cat /etc/g*oup,Local_Groups_Discovery_-_Linux_attack6.log,Trigger: Local Groups Discovery - Linux,Local Groups Discovery - Linux | Syslog Clearing or Removal Via System Utilities
7,/usr/bin/cat /etc/?roup,Local_Groups_Discovery_-_Linux_attack7.log,Trigger: Local Groups Discovery - Linux,Local Groups Discovery - Linux | Syslog Clearing or Removal Via System Utilities
8,/usr/bin/awk '{print}' /etc/group,Local_Groups_Discovery_-_Linux_attack8.log,Bypass Target Rule,Syslog Clearing or Removal Via System Utilities
9,/usr/bin/head -n 100 /etc/group,Local_Groups_Discovery_-_Linux_attack9.log,Trigger: Local Groups Discovery - Linux,Local Groups Discovery - Linux | Syslog Clearing or Removal Via System Utilities
10,/usr/bin/tail -n +1 /etc/group,Local_Groups_Discovery_-_Linux_attack10.log,Trigger: Local Groups Discovery - Linux,Local Groups Discovery - Linux | Syslog Clearing or Removal Via System Utilities
11,/usr/bin/sed '' /etc/group,Local_Groups_Discovery_-_Linux_attack11.log,Bypass Target Rule,Potential Suspicious Change To Sensitive/Critical Files | Syslog Clearing or Removal Via System Utilities
12,/usr/bin/less /etc/group,Local_Groups_Discovery_-_Linux_attack12.log,Trigger: Local Groups Discovery - Linux,Local Groups Discovery - Linux | Syslog Clearing or Removal Via System Utilities
13,/usr/bin/more /etc/group,Local_Groups_Discovery_-_Linux_attack13.log,Trigger: Local Groups Discovery - Linux,Local Groups Discovery - Linux | Syslog Clearing or Removal Via System Utilities
14,/usr/bin/awk NF /etc/group,Local_Groups_Discovery_-_Linux_attack14.log,Bypass Target Rule,Syslog Clearing or Removal Via System Utilities
15,/usr/bin/awk '1' /etc/gro?p,Local_Groups_Discovery_-_Linux_attack15.log,Bypass Target Rule,Syslog Clearing or Removal Via System Utilities
16,/usr/bin/cat /etc/g[r]oup,Local_Groups_Discovery_-_Linux_attack16.log,Trigger: Local Groups Discovery - Linux,Local Groups Discovery - Linux | Syslog Clearing or Removal Via System Utilities
17,/usr/bin/grep -v '^$' /etc/group,Local_Groups_Discovery_-_Linux_attack17.log,Bypass Target Rule,Syslog Clearing or Removal Via System Utilities
18,/usr/bin/awk '!/^$/ {print}' /etc/group,Local_Groups_Discovery_-_Linux_attack18.log,Bypass Target Rule,Syslog Clearing or Removal Via System Utilities
