ID,Command,Log File,Result,All Detected Rules
1,/usr/bin/cat /etc//passwd,Local_System_Accounts_Discovery_-_Linux_attack1.log,Bypass Target Rule,Syslog Clearing or Removal Via System Utilities
2,/usr/bin/cat /etc/./passwd,Local_System_Accounts_Discovery_-_Linux_attack2.log,Bypass Target Rule,Syslog Clearing or Removal Via System Utilities
3,/usr/bin/cat /etc/././passwd,Local_System_Accounts_Discovery_-_Linux_attack3.log,Bypass Target Rule,Syslog Clearing or Removal Via System Utilities
4,/usr/bin/cat /etc/../etc/passwd,Local_System_Accounts_Discovery_-_Linux_attack4.log,Trigger: Local System Accounts Discovery - Linux,Local System Accounts Discovery - Linux | Syslog Clearing or Removal Via System Utilities
5,"/usr/bin/cat /etc/pa""""sswd",Local_System_Accounts_Discovery_-_Linux_attack5.log,Trigger: Local System Accounts Discovery - Linux,Local System Accounts Discovery - Linux | Syslog Clearing or Removal Via System Utilities
6,/usr/bin/cat /etc/pa$'sswd',Local_System_Accounts_Discovery_-_Linux_attack6.log,Bypass Target Rule,Syslog Clearing or Removal Via System Utilities
7,"/usr/bin/cat /etc/pa""""s""""swd",Local_System_Accounts_Discovery_-_Linux_attack7.log,Trigger: Local System Accounts Discovery - Linux,Local System Accounts Discovery - Linux | Syslog Clearing or Removal Via System Utilities
8,/usr/bin/cat '/etc/'passwd,Local_System_Accounts_Discovery_-_Linux_attack8.log,Trigger: Local System Accounts Discovery - Linux,Local System Accounts Discovery - Linux | Syslog Clearing or Removal Via System Utilities
9,"/usr/bin/cat ""/etc""/passwd",Local_System_Accounts_Discovery_-_Linux_attack9.log,Trigger: Local System Accounts Discovery - Linux,Local System Accounts Discovery - Linux | Syslog Clearing or Removal Via System Utilities
10,/usr/bin/cat /et''c/passwd,Local_System_Accounts_Discovery_-_Linux_attack10.log,Trigger: Local System Accounts Discovery - Linux,Local System Accounts Discovery - Linux | Syslog Clearing or Removal Via System Utilities
11,/usr/bin/cat /etc/passwd$IFS,Local_System_Accounts_Discovery_-_Linux_attack11.log,Trigger: Local System Accounts Discovery - Linux,Local System Accounts Discovery - Linux | Syslog Clearing or Removal Via System Utilities
12,/usr/bin/cat /etc//./passwd,Local_System_Accounts_Discovery_-_Linux_attack12.log,Bypass Target Rule,Syslog Clearing or Removal Via System Utilities
13,/usr/bin/cat /etc///passwd,Local_System_Accounts_Discovery_-_Linux_attack13.log,Bypass Target Rule,Syslog Clearing or Removal Via System Utilities
14,"/usr/bin/cat /etc/pa""""ss""""wd",Local_System_Accounts_Discovery_-_Linux_attack14.log,Trigger: Local System Accounts Discovery - Linux,Local System Accounts Discovery - Linux | Syslog Clearing or Removal Via System Utilities
15,"/usr/bin/cat ""/etc/pa""""sswd""",Local_System_Accounts_Discovery_-_Linux_attack15.log,Trigger: Local System Accounts Discovery - Linux,Local System Accounts Discovery - Linux | Syslog Clearing or Removal Via System Utilities
16,"/usr/bin/cat /etc""/""passwd",Local_System_Accounts_Discovery_-_Linux_attack16.log,Trigger: Local System Accounts Discovery - Linux,Local System Accounts Discovery - Linux | Syslog Clearing or Removal Via System Utilities
17,/usr/bin/cat /etc/pa$'ss'wd,Local_System_Accounts_Discovery_-_Linux_attack17.log,Bypass Target Rule,Syslog Clearing or Removal Via System Utilities
18,"/usr/bin/cat /et""""c/passwd",Local_System_Accounts_Discovery_-_Linux_attack18.log,Trigger: Local System Accounts Discovery - Linux,Local System Accounts Discovery - Linux | Syslog Clearing or Removal Via System Utilities
19,"/usr/bin/cat ""/etc//passwd""",Local_System_Accounts_Discovery_-_Linux_attack19.log,Bypass Target Rule,Syslog Clearing or Removal Via System Utilities
20,"/usr/bin/cat /etc/pas""""sw""""d",Local_System_Accounts_Discovery_-_Linux_attack20.log,Trigger: Local System Accounts Discovery - Linux,Local System Accounts Discovery - Linux | Syslog Clearing or Removal Via System Utilities
21,"/usr/bin/cat ""/etc""/""./passwd""",Local_System_Accounts_Discovery_-_Linux_attack21.log,Bypass Target Rule,Syslog Clearing or Removal Via System Utilities
22,/usr/bin/awk 1 /etc/passwd,Local_System_Accounts_Discovery_-_Linux_attack22.log,Bypass Target Rule,Syslog Clearing or Removal Via System Utilities
23,/usr/bin/awk '{print}' /etc/passwd,Local_System_Accounts_Discovery_-_Linux_attack23.log,Bypass Target Rule,Syslog Clearing or Removal Via System Utilities
24,"/usr/bin/grep """" /etc/passwd",Local_System_Accounts_Discovery_-_Linux_attack24.log,Bypass Target Rule,Syslog Clearing or Removal Via System Utilities
25,/usr/bin/grep . /etc/passwd,Local_System_Accounts_Discovery_-_Linux_attack25.log,Bypass Target Rule,Syslog Clearing or Removal Via System Utilities
26,/usr/bin/sed '' /etc/passwd,Local_System_Accounts_Discovery_-_Linux_attack26.log,Bypass Target Rule,Potential Suspicious Change To Sensitive/Critical Files | Syslog Clearing or Removal Via System Utilities
27,/usr/bin/sed -n 'p' /etc/passwd,Local_System_Accounts_Discovery_-_Linux_attack27.log,Bypass Target Rule,Potential Suspicious Change To Sensitive/Critical Files | Syslog Clearing or Removal Via System Utilities
28,/usr/bin/sed -e '' /etc/passwd,Local_System_Accounts_Discovery_-_Linux_attack28.log,Bypass Target Rule,Potential Suspicious Change To Sensitive/Critical Files | Syslog Clearing or Removal Via System Utilities
29,/usr/bin/tac /etc/passwd,Local_System_Accounts_Discovery_-_Linux_attack29.log,Bypass Target Rule,Syslog Clearing or Removal Via System Utilities
30,/usr/bin/less /etc/passwd,Local_System_Accounts_Discovery_-_Linux_attack30.log,Trigger: Local System Accounts Discovery - Linux,Local System Accounts Discovery - Linux | Syslog Clearing or Removal Via System Utilities
31,/usr/bin/head -n 100 /etc/passwd,Local_System_Accounts_Discovery_-_Linux_attack31.log,Trigger: Local System Accounts Discovery - Linux,Local System Accounts Discovery - Linux | Syslog Clearing or Removal Via System Utilities
32,/usr/bin/tail -n +1 /etc/passwd,Local_System_Accounts_Discovery_-_Linux_attack32.log,Trigger: Local System Accounts Discovery - Linux,Local System Accounts Discovery - Linux | Syslog Clearing or Removal Via System Utilities
33,/usr/bin/more /etc/passwd,Local_System_Accounts_Discovery_-_Linux_attack33.log,Trigger: Local System Accounts Discovery - Linux,Local System Accounts Discovery - Linux | Syslog Clearing or Removal Via System Utilities
34,/usr/bin/strings /etc/passwd,Local_System_Accounts_Discovery_-_Linux_attack34.log,Bypass Target Rule,Syslog Clearing or Removal Via System Utilities
35,/usr/bin/cp /etc/passwd /tmp/passwd && /usr/bin/awk 1 /tmp/passwd,Local_System_Accounts_Discovery_-_Linux_attack35.log,Bypass Target Rule,Execution Of Script Located In Potentially Suspicious Directory | Copy Passwd Or Shadow From TMP Path | Syslog Clearing or Removal Via System Utilities
36,/usr/bin/tee /dev/null < /etc/passwd,Local_System_Accounts_Discovery_-_Linux_attack36.log,Bypass Target Rule,Syslog Clearing or Removal Via System Utilities
37,/usr/bin/sort /etc/passwd,Local_System_Accounts_Discovery_-_Linux_attack37.log,Bypass Target Rule,Syslog Clearing or Removal Via System Utilities
38,/usr/bin/uniq /etc/passwd,Local_System_Accounts_Discovery_-_Linux_attack38.log,Bypass Target Rule,Syslog Clearing or Removal Via System Utilities
39,/usr/bin/awk '{print $0}' /etc/passwd,Local_System_Accounts_Discovery_-_Linux_attack39.log,Bypass Target Rule,Syslog Clearing or Removal Via System Utilities
40,/usr/bin/grep -v '^$' /etc/passwd,Local_System_Accounts_Discovery_-_Linux_attack40.log,Bypass Target Rule,Syslog Clearing or Removal Via System Utilities
41,/usr/bin/grep -E '.' /etc/passwd,Local_System_Accounts_Discovery_-_Linux_attack41.log,Bypass Target Rule,Syslog Clearing or Removal Via System Utilities
42,"/usr/bin/sed -n '1,$p' /etc/passwd",Local_System_Accounts_Discovery_-_Linux_attack42.log,Bypass Target Rule,Potential Suspicious Change To Sensitive/Critical Files | Syslog Clearing or Removal Via System Utilities
43,/usr/bin/sed -e 's/^.*$/&/' /etc/passwd,Local_System_Accounts_Discovery_-_Linux_attack43.log,Bypass Target Rule,Potential Suspicious Change To Sensitive/Critical Files | Syslog Clearing or Removal Via System Utilities
44,/usr/bin/tr -s '\n' '\n' < /etc/passwd,Local_System_Accounts_Discovery_-_Linux_attack44.log,Bypass Target Rule,Syslog Clearing or Removal Via System Utilities
45,/usr/bin/less +F /etc/passwd,Local_System_Accounts_Discovery_-_Linux_attack45.log,Trigger: Local System Accounts Discovery - Linux,Local System Accounts Discovery - Linux | Syslog Clearing or Removal Via System Utilities
46,/usr/bin/more < /etc/passwd,Local_System_Accounts_Discovery_-_Linux_attack46.log,Bypass Target Rule,Syslog Clearing or Removal Via System Utilities
47,/usr/bin/xxd -r -p <<< $(xxd -p /etc/passwd),Local_System_Accounts_Discovery_-_Linux_attack47.log,Bypass Target Rule,Syslog Clearing or Removal Via System Utilities
48,/usr/bin/strings < /etc/passwd,Local_System_Accounts_Discovery_-_Linux_attack48.log,Bypass Target Rule,Syslog Clearing or Removal Via System Utilities
49,/usr/bin/tee /tmp/tmpfile < /etc/passwd,Local_System_Accounts_Discovery_-_Linux_attack49.log,Bypass Target Rule,Execution Of Script Located In Potentially Suspicious Directory | Syslog Clearing or Removal Via System Utilities
50,/usr/bin/sort < /etc/passwd,Local_System_Accounts_Discovery_-_Linux_attack50.log,Bypass Target Rule,Syslog Clearing or Removal Via System Utilities
51,/usr/bin/uniq < /etc/passwd,Local_System_Accounts_Discovery_-_Linux_attack51.log,Bypass Target Rule,Syslog Clearing or Removal Via System Utilities
52,/usr/bin/awk 'length > 0' /etc/passwd,Local_System_Accounts_Discovery_-_Linux_attack52.log,Bypass Target Rule,Syslog Clearing or Removal Via System Utilities
53,/usr/bin/paste /etc/passwd,Local_System_Accounts_Discovery_-_Linux_attack53.log,Bypass Target Rule,Syslog Clearing or Removal Via System Utilities
54,/usr/bin/cat /etc//passwd,Local_System_Accounts_Discovery_-_Linux_attack54.log,Bypass Target Rule,Syslog Clearing or Removal Via System Utilities
55,/usr/bin/cat /etc/./passwd,Local_System_Accounts_Discovery_-_Linux_attack55.log,Bypass Target Rule,Syslog Clearing or Removal Via System Utilities
56,/usr/bin/cat /etc/*passwd,Local_System_Accounts_Discovery_-_Linux_attack56.log,Trigger: Local System Accounts Discovery - Linux,Local System Accounts Discovery - Linux | Syslog Clearing or Removal Via System Utilities
57,/usr/bin/cat /etc//./passwd,Local_System_Accounts_Discovery_-_Linux_attack57.log,Bypass Target Rule,Syslog Clearing or Removal Via System Utilities
58,/usr/bin/cat </etc/passwd,Local_System_Accounts_Discovery_-_Linux_attack58.log,Bypass Target Rule,Syslog Clearing or Removal Via System Utilities
59,cat /etc/passwd,Local_System_Accounts_Discovery_-_Linux_attack59.log,Trigger: Local System Accounts Discovery - Linux,Local System Accounts Discovery - Linux | Syslog Clearing or Removal Via System Utilities
60,cat /etc//passwd,Local_System_Accounts_Discovery_-_Linux_attack60.log,Bypass Target Rule,Syslog Clearing or Removal Via System Utilities
61,cat /etc/./passwd,Local_System_Accounts_Discovery_-_Linux_attack61.log,Bypass Target Rule,Syslog Clearing or Removal Via System Utilities
62,cat //etc/passwd,Local_System_Accounts_Discovery_-_Linux_attack62.log,Trigger: Local System Accounts Discovery - Linux,Local System Accounts Discovery - Linux | Syslog Clearing or Removal Via System Utilities
63,cat /etc/pass\wd,Local_System_Accounts_Discovery_-_Linux_attack63.log,Trigger: Local System Accounts Discovery - Linux,Local System Accounts Discovery - Linux | Syslog Clearing or Removal Via System Utilities
64,cat /etc/././passwd,Local_System_Accounts_Discovery_-_Linux_attack64.log,Bypass Target Rule,Syslog Clearing or Removal Via System Utilities
65,cat /etc/.//passwd,Local_System_Accounts_Discovery_-_Linux_attack65.log,Bypass Target Rule,Syslog Clearing or Removal Via System Utilities
66,"cat ""$(echo /etc/passwd)""",Local_System_Accounts_Discovery_-_Linux_attack66.log,Trigger: Local System Accounts Discovery - Linux,Local System Accounts Discovery - Linux | Syslog Clearing or Removal Via System Utilities
67,cat $(echo /etc/passwd),Local_System_Accounts_Discovery_-_Linux_attack67.log,Trigger: Local System Accounts Discovery - Linux,Local System Accounts Discovery - Linux | Syslog Clearing or Removal Via System Utilities
68,cat </etc//passwd,Local_System_Accounts_Discovery_-_Linux_attack68.log,Bypass Target Rule,Syslog Clearing or Removal Via System Utilities
69,cat</etc/passwd,Local_System_Accounts_Discovery_-_Linux_attack69.log,Bypass Target Rule,Syslog Clearing or Removal Via System Utilities
70,cat /etc/pa*wd,Local_System_Accounts_Discovery_-_Linux_attack70.log,Trigger: Local System Accounts Discovery - Linux,Local System Accounts Discovery - Linux | Syslog Clearing or Removal Via System Utilities
71,cat /etc/p??swd,Local_System_Accounts_Discovery_-_Linux_attack71.log,Trigger: Local System Accounts Discovery - Linux,Local System Accounts Discovery - Linux | Syslog Clearing or Removal Via System Utilities
72,cat /etc/passwd|cat,Local_System_Accounts_Discovery_-_Linux_attack72.log,Trigger: Local System Accounts Discovery - Linux,Local System Accounts Discovery - Linux | Syslog Clearing or Removal Via System Utilities
73,cat /etc/passwd | tail -n +1,Local_System_Accounts_Discovery_-_Linux_attack73.log,Trigger: Local System Accounts Discovery - Linux,Local System Accounts Discovery - Linux | Syslog Clearing or Removal Via System Utilities
74,cat /etc/./././passwd,Local_System_Accounts_Discovery_-_Linux_attack74.log,Bypass Target Rule,Syslog Clearing or Removal Via System Utilities
75,cat /e*/p*wd,Local_System_Accounts_Discovery_-_Linux_attack75.log,Trigger: Local System Accounts Discovery - Linux,Local System Accounts Discovery - Linux | Syslog Clearing or Removal Via System Utilities
76,cat /etc/$(echo passwd),Local_System_Accounts_Discovery_-_Linux_attack76.log,Trigger: Local System Accounts Discovery - Linux,Local System Accounts Discovery - Linux | Syslog Clearing or Removal Via System Utilities
77,cat /etc/$(printf 'passw\144'),Local_System_Accounts_Discovery_-_Linux_attack77.log,Trigger: Local System Accounts Discovery - Linux,Local System Accounts Discovery - Linux | Syslog Clearing or Removal Via System Utilities
78,cat /etc/passwd,Local_System_Accounts_Discovery_-_Linux_attack78.log,Trigger: Local System Accounts Discovery - Linux,Local System Accounts Discovery - Linux | Syslog Clearing or Removal Via System Utilities
79,/bin/cat /etc/passwd,Local_System_Accounts_Discovery_-_Linux_attack79.log,Trigger: Local System Accounts Discovery - Linux,Local System Accounts Discovery - Linux | Syslog Clearing or Removal Via System Utilities
80,cat /etc/passwd > /dev/stdout,Local_System_Accounts_Discovery_-_Linux_attack80.log,Trigger: Local System Accounts Discovery - Linux,Local System Accounts Discovery - Linux | Syslog Clearing or Removal Via System Utilities
81,</etc/passwd /usr/bin/cat,Local_System_Accounts_Discovery_-_Linux_attack81.log,Bypass Target Rule,Syslog Clearing or Removal Via System Utilities
82,echo /etc/passwd | xargs /usr/bin/cat,Local_System_Accounts_Discovery_-_Linux_attack82.log,Trigger: Local System Accounts Discovery - Linux,Local System Accounts Discovery - Linux | Syslog Clearing or Removal Via System Utilities
83,"xargs /usr/bin/cat <<< ""/etc/passwd""",Local_System_Accounts_Discovery_-_Linux_attack83.log,Bypass Target Rule,Syslog Clearing or Removal Via System Utilities
84,for i in /etc/passwd; do /usr/bin/cat $i; done,Local_System_Accounts_Discovery_-_Linux_attack84.log,Trigger: Local System Accounts Discovery - Linux,Local System Accounts Discovery - Linux | Syslog Clearing or Removal Via System Utilities
85,FILE=/etc/passwd; /usr/bin/cat $FILE,Local_System_Accounts_Discovery_-_Linux_attack85.log,Trigger: Local System Accounts Discovery - Linux,Local System Accounts Discovery - Linux | Syslog Clearing or Removal Via System Utilities
86,"CMD=""/usr/bin/cat""; $CMD /etc/passwd",Local_System_Accounts_Discovery_-_Linux_attack86.log,Trigger: Local System Accounts Discovery - Linux,Local System Accounts Discovery - Linux | Syslog Clearing or Removal Via System Utilities
87,"ARGS=""/etc/passwd""; /usr/bin/cat $ARGS",Local_System_Accounts_Discovery_-_Linux_attack87.log,Trigger: Local System Accounts Discovery - Linux,Local System Accounts Discovery - Linux | Syslog Clearing or Removal Via System Utilities
88,/usr/bin/cat </etc/passwd,Local_System_Accounts_Discovery_-_Linux_attack88.log,Bypass Target Rule,Syslog Clearing or Removal Via System Utilities
89,/usr/bin/cat $(echo /etc/passwd),Local_System_Accounts_Discovery_-_Linux_attack89.log,Trigger: Local System Accounts Discovery - Linux,Local System Accounts Discovery - Linux | Syslog Clearing or Removal Via System Utilities
90,readlink -f /etc/passwd | xargs /usr/bin/cat,Local_System_Accounts_Discovery_-_Linux_attack90.log,Trigger: Local System Accounts Discovery - Linux,Local System Accounts Discovery - Linux | Syslog Clearing or Removal Via System Utilities
91,"printf ""/etc/passwd\n"" | xargs /usr/bin/cat",Local_System_Accounts_Discovery_-_Linux_attack91.log,Trigger: Local System Accounts Discovery - Linux,Local System Accounts Discovery - Linux | Syslog Clearing or Removal Via System Utilities
92,/usr/bin/cat $(ls /etc/passwd),Local_System_Accounts_Discovery_-_Linux_attack92.log,Trigger: Local System Accounts Discovery - Linux,Local System Accounts Discovery - Linux | Syslog Clearing or Removal Via System Utilities
93,cd /etc && /usr/bin/cat passwd,Local_System_Accounts_Discovery_-_Linux_attack93.log,Bypass Target Rule,Syslog Clearing or Removal Via System Utilities
94,/usr/bin/cat $(cd /etc && pwd)/passwd,Local_System_Accounts_Discovery_-_Linux_attack94.log,Trigger: Local System Accounts Discovery - Linux,Local System Accounts Discovery - Linux | Syslog Clearing or Removal Via System Utilities
95,"eval ""/usr/bin/cat /etc/passwd""",Local_System_Accounts_Discovery_-_Linux_attack95.log,Trigger: Local System Accounts Discovery - Linux,Local System Accounts Discovery - Linux | Syslog Clearing or Removal Via System Utilities
96,"IFS= read -r path <<< ""/etc/passwd""; /usr/bin/cat $path",Local_System_Accounts_Discovery_-_Linux_attack96.log,Bypass Target Rule,Syslog Clearing or Removal Via System Utilities
97,bash -c '/usr/bin/cat /etc/passwd',Local_System_Accounts_Discovery_-_Linux_attack97.log,Trigger: Local System Accounts Discovery - Linux,Local System Accounts Discovery - Linux | Syslog Clearing or Removal Via System Utilities
98,command cat /etc/passwd,Local_System_Accounts_Discovery_-_Linux_attack98.log,Trigger: Local System Accounts Discovery - Linux,Local System Accounts Discovery - Linux | Syslog Clearing or Removal Via System Utilities
99,env PATH=/usr/bin:$PATH cat /etc/passwd,Local_System_Accounts_Discovery_-_Linux_attack99.log,Trigger: Local System Accounts Discovery - Linux,Local System Accounts Discovery - Linux | Syslog Clearing or Removal Via System Utilities
100,$(which cat) /etc/passwd,Local_System_Accounts_Discovery_-_Linux_attack100.log,Trigger: Local System Accounts Discovery - Linux,Local System Accounts Discovery - Linux | Syslog Clearing or Removal Via System Utilities
101,nice /usr/bin/cat /etc/passwd,Local_System_Accounts_Discovery_-_Linux_attack101.log,Trigger: Local System Accounts Discovery - Linux,Local System Accounts Discovery - Linux | Syslog Clearing or Removal Via System Utilities
102,cat < /etc/passwd,Local_System_Accounts_Discovery_-_Linux_attack102.log,Bypass Target Rule,Syslog Clearing or Removal Via System Utilities
103,exec cat /etc/passwd,Local_System_Accounts_Discovery_-_Linux_attack103.log,Trigger: Local System Accounts Discovery - Linux,Local System Accounts Discovery - Linux | Syslog Clearing or Removal Via System Utilities
104,{ cat /etc/passwd; },Local_System_Accounts_Discovery_-_Linux_attack104.log,Trigger: Local System Accounts Discovery - Linux,Local System Accounts Discovery - Linux | Syslog Clearing or Removal Via System Utilities
