ID,Command,Log File,Result,All Detected Rules
1,"sudo mkdir -p /var/opt/microsoft/scx/tmp && cd /var/opt/microsoft/scx/tmp && sudo /bin/./sh -c ""id""",OMIGOD_SCX_RunAsProvider_ExecuteShellCommand_attack1.log,Bypass Target Rule,Local System Accounts Discovery - Linux | Syslog Clearing or Removal Via System Utilities
2,"sudo mkdir -p /var/opt/microsoft/scx/tmp && cd /var/opt/microsoft/scx/tmp && sudo /bin//sh -c ""id""",OMIGOD_SCX_RunAsProvider_ExecuteShellCommand_attack2.log,Bypass Target Rule,Local System Accounts Discovery - Linux | Syslog Clearing or Removal Via System Utilities
3,"sudo mkdir -p /var/opt/microsoft/scx/tmp && cd /var/opt/microsoft/scx/tmp && sudo /bin/s\h -c ""id""",OMIGOD_SCX_RunAsProvider_ExecuteShellCommand_attack3.log,Trigger: OMIGOD SCX RunAsProvider ExecuteShellCommand,Local System Accounts Discovery - Linux | OMIGOD SCX RunAsProvider ExecuteShellCommand | Syslog Clearing or Removal Via System Utilities
4,"sudo mkdir -p /var/opt/microsoft/scx/tmp && cd /var/opt/microsoft/scx/tmp && sudo /bin/s''h -c ""id""",OMIGOD_SCX_RunAsProvider_ExecuteShellCommand_attack4.log,Trigger: OMIGOD SCX RunAsProvider ExecuteShellCommand,Local System Accounts Discovery - Linux | OMIGOD SCX RunAsProvider ExecuteShellCommand | Syslog Clearing or Removal Via System Utilities
5,"sudo mkdir -p /var/opt/microsoft/scx/tmp && cd /var/opt/microsoft/scx/tmp && sudo /bin/sh$EMPTY -c ""id""",OMIGOD_SCX_RunAsProvider_ExecuteShellCommand_attack5.log,Trigger: OMIGOD SCX RunAsProvider ExecuteShellCommand,Local System Accounts Discovery - Linux | OMIGOD SCX RunAsProvider ExecuteShellCommand | Syslog Clearing or Removal Via System Utilities
6,"sudo mkdir -p /var/opt/microsoft/scx/tmp && cd /var/opt/microsoft/scx/tmp && sudo '/bin/sh' -c ""id""",OMIGOD_SCX_RunAsProvider_ExecuteShellCommand_attack6.log,Trigger: OMIGOD SCX RunAsProvider ExecuteShellCommand,Local System Accounts Discovery - Linux | OMIGOD SCX RunAsProvider ExecuteShellCommand | Syslog Clearing or Removal Via System Utilities
7,"sudo mkdir -p /var/opt/microsoft/scx/tmp && cd /var/opt/microsoft/scx/tmp && sudo /bi''n/sh -c ""id""",OMIGOD_SCX_RunAsProvider_ExecuteShellCommand_attack7.log,Trigger: OMIGOD SCX RunAsProvider ExecuteShellCommand,Local System Accounts Discovery - Linux | OMIGOD SCX RunAsProvider ExecuteShellCommand | Syslog Clearing or Removal Via System Utilities
8,sudo mkdir -p /var/opt/microsoft/scx/tmp && cd /var/opt/microsoft/scx/tmp && sudo /bin/sh -c 'i''d',OMIGOD_SCX_RunAsProvider_ExecuteShellCommand_attack8.log,Trigger: OMIGOD SCX RunAsProvider ExecuteShellCommand,Local System Accounts Discovery - Linux | OMIGOD SCX RunAsProvider ExecuteShellCommand | Syslog Clearing or Removal Via System Utilities
9,"sudo mkdir -p /var/opt/microsoft/scx/tmp && cd /var/opt/microsoft/scx/tmp && sudo /bin/sh -c ""i""""d""",OMIGOD_SCX_RunAsProvider_ExecuteShellCommand_attack9.log,Trigger: OMIGOD SCX RunAsProvider ExecuteShellCommand,Local System Accounts Discovery - Linux | OMIGOD SCX RunAsProvider ExecuteShellCommand | Syslog Clearing or Removal Via System Utilities
10,"sudo mkdir -p /var/opt/microsoft/scx/tmp && cd /var/opt/microsoft/scx/tmp && sudo /b''in/sh -c ""id""",OMIGOD_SCX_RunAsProvider_ExecuteShellCommand_attack10.log,Trigger: OMIGOD SCX RunAsProvider ExecuteShellCommand,Local System Accounts Discovery - Linux | OMIGOD SCX RunAsProvider ExecuteShellCommand | Syslog Clearing or Removal Via System Utilities
11,"sudo mkdir -p /var/opt/microsoft/scx/tmp && cd /var/opt/microsoft/scx/tmp && sudo //bin/sh -c ""id""",OMIGOD_SCX_RunAsProvider_ExecuteShellCommand_attack11.log,Trigger: OMIGOD SCX RunAsProvider ExecuteShellCommand,Local System Accounts Discovery - Linux | OMIGOD SCX RunAsProvider ExecuteShellCommand | Syslog Clearing or Removal Via System Utilities
12,"sudo mkdir -p /var/opt/microsoft/scx/tmp && cd /var/opt/microsoft/scx/tmp && sudo /bin/sh -c ""id; #""",OMIGOD_SCX_RunAsProvider_ExecuteShellCommand_attack12.log,Trigger: OMIGOD SCX RunAsProvider ExecuteShellCommand,Local System Accounts Discovery - Linux | OMIGOD SCX RunAsProvider ExecuteShellCommand | Syslog Clearing or Removal Via System Utilities
13,"sudo mkdir -p /var/opt/microsoft/scx/tmp && cd /var/opt/microsoft/scx/tmp && sudo /bin/sh -c ""id || true""",OMIGOD_SCX_RunAsProvider_ExecuteShellCommand_attack13.log,Trigger: OMIGOD SCX RunAsProvider ExecuteShellCommand,Local System Accounts Discovery - Linux | OMIGOD SCX RunAsProvider ExecuteShellCommand | Syslog Clearing or Removal Via System Utilities
14,"sudo mkdir -p /var/opt/microsoft/scx/tmp && cd /var/opt/microsoft/scx/tmp && sudo /bin/sh -c "":; id""",OMIGOD_SCX_RunAsProvider_ExecuteShellCommand_attack14.log,Trigger: OMIGOD SCX RunAsProvider ExecuteShellCommand,Local System Accounts Discovery - Linux | OMIGOD SCX RunAsProvider ExecuteShellCommand | Syslog Clearing or Removal Via System Utilities
15,"sudo mkdir -p /var/opt/microsoft/scx/tmp && cd /var/opt/microsoft/scx/tmp && sudo /bin/sh -c ""e''cho id | sh""",OMIGOD_SCX_RunAsProvider_ExecuteShellCommand_attack15.log,Trigger: OMIGOD SCX RunAsProvider ExecuteShellCommand,Local System Accounts Discovery - Linux | OMIGOD SCX RunAsProvider ExecuteShellCommand | Syslog Clearing or Removal Via System Utilities
