ID,Command,Log File,Result,All Detected Rules
1,uname -a | grep x86_64 -i,OS_Architecture_Discovery_Via_Grep_attack1.log,Bypass Target Rule,Syslog Clearing or Removal Via System Utilities | System Information Discovery
2,uname -a | grep x86_64 --color=auto,OS_Architecture_Discovery_Via_Grep_attack2.log,Bypass Target Rule,Syslog Clearing or Removal Via System Utilities | System Information Discovery
3,uname -a | grep x86_64 #,OS_Architecture_Discovery_Via_Grep_attack3.log,Trigger: OS Architecture Discovery Via Grep,Syslog Clearing or Removal Via System Utilities | OS Architecture Discovery Via Grep | System Information Discovery
4,uname -a | grep x86_64 --,OS_Architecture_Discovery_Via_Grep_attack4.log,Bypass Target Rule,Syslog Clearing or Removal Via System Utilities | System Information Discovery
5,uname -a | grep x86_64 -A 0,OS_Architecture_Discovery_Via_Grep_attack5.log,Bypass Target Rule,Syslog Clearing or Removal Via System Utilities | System Information Discovery
6,uname -a | grep x86_64 -B 0,OS_Architecture_Discovery_Via_Grep_attack6.log,Bypass Target Rule,Syslog Clearing or Removal Via System Utilities | System Information Discovery
7,uname -a | grep x86_64 -C 0,OS_Architecture_Discovery_Via_Grep_attack7.log,Bypass Target Rule,Syslog Clearing or Removal Via System Utilities | System Information Discovery
8,uname -a | grep x86_64 -E,OS_Architecture_Discovery_Via_Grep_attack8.log,Bypass Target Rule,Syslog Clearing or Removal Via System Utilities | System Information Discovery
9,uname -a | grep x86_64 -F,OS_Architecture_Discovery_Via_Grep_attack9.log,Bypass Target Rule,Syslog Clearing or Removal Via System Utilities | System Information Discovery
10,uname -a | grep x86_64 -G,OS_Architecture_Discovery_Via_Grep_attack10.log,Bypass Target Rule,Syslog Clearing or Removal Via System Utilities | System Information Discovery
11,uname -a | grep x86_64 --line-buffered,OS_Architecture_Discovery_Via_Grep_attack11.log,Bypass Target Rule,Syslog Clearing or Removal Via System Utilities | System Information Discovery
12,uname -a | grep x86_64 -Z,OS_Architecture_Discovery_Via_Grep_attack12.log,Bypass Target Rule,Syslog Clearing or Removal Via System Utilities | System Information Discovery
13,uname -a | grep x86_64 --null,OS_Architecture_Discovery_Via_Grep_attack13.log,Bypass Target Rule,Syslog Clearing or Removal Via System Utilities | System Information Discovery
14,uname -a | grep x86_64 --devices=skip,OS_Architecture_Discovery_Via_Grep_attack14.log,Bypass Target Rule,Syslog Clearing or Removal Via System Utilities | System Information Discovery
15,uname -a | grep x86_64 -a,OS_Architecture_Discovery_Via_Grep_attack15.log,Bypass Target Rule,Syslog Clearing or Removal Via System Utilities | System Information Discovery
16,uname -a | grep x86_64 | cat,OS_Architecture_Discovery_Via_Grep_attack16.log,Trigger: OS Architecture Discovery Via Grep,Syslog Clearing or Removal Via System Utilities | OS Architecture Discovery Via Grep | System Information Discovery
17,uname -a | grep x86_64 || true,OS_Architecture_Discovery_Via_Grep_attack17.log,Trigger: OS Architecture Discovery Via Grep,Syslog Clearing or Removal Via System Utilities | OS Architecture Discovery Via Grep | System Information Discovery
18,uname -a | grep x86_64 --label=x,OS_Architecture_Discovery_Via_Grep_attack18.log,Bypass Target Rule,Syslog Clearing or Removal Via System Utilities | System Information Discovery
19,uname -a | grep x86_64 | tee,OS_Architecture_Discovery_Via_Grep_attack19.log,Trigger: OS Architecture Discovery Via Grep,Syslog Clearing or Removal Via System Utilities | OS Architecture Discovery Via Grep | System Information Discovery
20,uname -a | grep x86_64 | head,OS_Architecture_Discovery_Via_Grep_attack20.log,Trigger: OS Architecture Discovery Via Grep,Syslog Clearing or Removal Via System Utilities | OS Architecture Discovery Via Grep | System Information Discovery
21,uname -a | grep x86_64 | tail,OS_Architecture_Discovery_Via_Grep_attack21.log,Trigger: OS Architecture Discovery Via Grep,Syslog Clearing or Removal Via System Utilities | OS Architecture Discovery Via Grep | System Information Discovery
22,uname -a | grep x86_64 | sed '',OS_Architecture_Discovery_Via_Grep_attack22.log,Trigger: OS Architecture Discovery Via Grep,Syslog Clearing or Removal Via System Utilities | OS Architecture Discovery Via Grep | System Information Discovery
23,uname -a | grep x86_64 | xargs,OS_Architecture_Discovery_Via_Grep_attack23.log,Trigger: OS Architecture Discovery Via Grep,Syslog Clearing or Removal Via System Utilities | OS Architecture Discovery Via Grep | System Information Discovery
24,uname -a | grep x86_64 | grep .,OS_Architecture_Discovery_Via_Grep_attack24.log,Trigger: OS Architecture Discovery Via Grep,Syslog Clearing or Removal Via System Utilities | OS Architecture Discovery Via Grep | System Information Discovery
25,uname -a | grep x86_64 | grep -v z,OS_Architecture_Discovery_Via_Grep_attack25.log,Trigger: OS Architecture Discovery Via Grep,Syslog Clearing or Removal Via System Utilities | OS Architecture Discovery Via Grep | System Information Discovery
26,uname -a | grep x86_64 | grep '[a-z]',OS_Architecture_Discovery_Via_Grep_attack26.log,Trigger: OS Architecture Discovery Via Grep,Syslog Clearing or Removal Via System Utilities | OS Architecture Discovery Via Grep | System Information Discovery
27,uname -a | grep x86_64 | cat -,OS_Architecture_Discovery_Via_Grep_attack27.log,Trigger: OS Architecture Discovery Via Grep,Syslog Clearing or Removal Via System Utilities | OS Architecture Discovery Via Grep | System Information Discovery
28,uname -a | grep x86_64 | tr -d '\n',OS_Architecture_Discovery_Via_Grep_attack28.log,Trigger: OS Architecture Discovery Via Grep,Syslog Clearing or Removal Via System Utilities | OS Architecture Discovery Via Grep | System Information Discovery
29,uname -a | grep x86_64 | sort,OS_Architecture_Discovery_Via_Grep_attack29.log,Trigger: OS Architecture Discovery Via Grep,Syslog Clearing or Removal Via System Utilities | OS Architecture Discovery Via Grep | System Information Discovery
30,uname -a | grep x86_64 | uniq,OS_Architecture_Discovery_Via_Grep_attack30.log,Trigger: OS Architecture Discovery Via Grep,Syslog Clearing or Removal Via System Utilities | OS Architecture Discovery Via Grep | System Information Discovery
31,uname -a | grep x86_64 | less,OS_Architecture_Discovery_Via_Grep_attack31.log,Trigger: OS Architecture Discovery Via Grep,Syslog Clearing or Removal Via System Utilities | OS Architecture Discovery Via Grep | System Information Discovery
32,uname -a | grep x86_64 | more,OS_Architecture_Discovery_Via_Grep_attack32.log,Trigger: OS Architecture Discovery Via Grep,Syslog Clearing or Removal Via System Utilities | OS Architecture Discovery Via Grep | System Information Discovery
33,uname -a | grep x86_64 | tee /dev/null,OS_Architecture_Discovery_Via_Grep_attack33.log,Trigger: OS Architecture Discovery Via Grep,Syslog Clearing or Removal Via System Utilities | OS Architecture Discovery Via Grep | System Information Discovery
34,"uname -a | grep ""x86.64""",OS_Architecture_Discovery_Via_Grep_attack34.log,Bypass Target Rule,Syslog Clearing or Removal Via System Utilities | System Information Discovery
35,"uname -a | grep ""[x]86_64""",OS_Architecture_Discovery_Via_Grep_attack35.log,Bypass Target Rule,Syslog Clearing or Removal Via System Utilities | System Information Discovery
36,"uname -a | grep ""x.6_64""",OS_Architecture_Discovery_Via_Grep_attack36.log,Bypass Target Rule,Syslog Clearing or Removal Via System Utilities | System Information Discovery
37,"uname -a | grep ""x86[_]64""",OS_Architecture_Discovery_Via_Grep_attack37.log,Bypass Target Rule,Syslog Clearing or Removal Via System Utilities | System Information Discovery
38,"uname -a | grep ""x86_6[4]""",OS_Architecture_Discovery_Via_Grep_attack38.log,Bypass Target Rule,Syslog Clearing or Removal Via System Utilities | System Information Discovery
39,"uname -a | grep ""[xX]86_64""",OS_Architecture_Discovery_Via_Grep_attack39.log,Bypass Target Rule,Syslog Clearing or Removal Via System Utilities | System Information Discovery
40,"uname -a | grep ""[xX]86[_]64""",OS_Architecture_Discovery_Via_Grep_attack40.log,Bypass Target Rule,Syslog Clearing or Removal Via System Utilities | System Information Discovery
41,"uname -a | grep ""[x]86[_]64""",OS_Architecture_Discovery_Via_Grep_attack41.log,Bypass Target Rule,Syslog Clearing or Removal Via System Utilities | System Information Discovery
42,"uname -a | grep ""x86[^0-9]64""",OS_Architecture_Discovery_Via_Grep_attack42.log,Bypass Target Rule,Syslog Clearing or Removal Via System Utilities | System Information Discovery
43,"uname -a | grep ""x8[6]_64""",OS_Architecture_Discovery_Via_Grep_attack43.log,Bypass Target Rule,Syslog Clearing or Removal Via System Utilities | System Information Discovery
44,"uname -a | grep ""x86_6.""",OS_Architecture_Discovery_Via_Grep_attack44.log,Bypass Target Rule,Syslog Clearing or Removal Via System Utilities | System Information Discovery
45,"uname -a | grep ""[x]8[6]_6[4]""",OS_Architecture_Discovery_Via_Grep_attack45.log,Bypass Target Rule,Syslog Clearing or Removal Via System Utilities | System Information Discovery
46,"uname -a | grep ""x86[_]6[4]""",OS_Architecture_Discovery_Via_Grep_attack46.log,Bypass Target Rule,Syslog Clearing or Removal Via System Utilities | System Information Discovery
