ID,Command,Log File,Result,All Detected Rules
1,crontab -r,Remove_Scheduled_Cron_Task_checklog_attack1.log,Log Error (Result Not Found),
2,"crontab -""-""r",Remove_Scheduled_Cron_Task_checklog_attack2.log,Log Error (Result Not Found),
3,crontab -r --,Remove_Scheduled_Cron_Task_checklog_attack3.log,Log Error (Result Not Found),
4,crontab -r#,Remove_Scheduled_Cron_Task_checklog_attack4.log,Log Error (Result Not Found),
5,crontab --remove -r,Remove_Scheduled_Cron_Task_checklog_attack5.log,Log Error (Result Not Found),
6,crontab -r --force,Remove_Scheduled_Cron_Task_checklog_attack6.log,Log Error (Result Not Found),
7,"crontab --""-""r",Remove_Scheduled_Cron_Task_checklog_attack7.log,Log Error (Result Not Found),
8,crontab /-r,Remove_Scheduled_Cron_Task_checklog_attack8.log,Log Error (Result Not Found),
9,crontab -r --dummy,Remove_Scheduled_Cron_Task_checklog_attack9.log,Log Error (Result Not Found),
10,crontab --action=-r,Remove_Scheduled_Cron_Task_checklog_attack10.log,Log Error (Result Not Found),
11,crontab - -r,Remove_Scheduled_Cron_Task_checklog_attack11.log,Log Error (Result Not Found),
12,crontab -- --r,Remove_Scheduled_Cron_Task_checklog_attack12.log,Log Error (Result Not Found),
13,crontab -r --option=1,Remove_Scheduled_Cron_Task_checklog_attack13.log,Trigger: Remove Scheduled Cron Task/Job,Remove Scheduled Cron Task/Job | Syslog Clearing or Removal Via System Utilities
14,crontab --remove_current -r,Remove_Scheduled_Cron_Task_checklog_attack14.log,Log Error (Result Not Found),
15,crontab -/r,Remove_Scheduled_Cron_Task_checklog_attack15.log,Log Error (Result Not Found),
16,crontab -r --comment,Remove_Scheduled_Cron_Task_checklog_attack16.log,Log Error (Result Not Found),
17,crontab -r --foo=bar,Remove_Scheduled_Cron_Task_checklog_attack17.log,Log Error (Result Not Found),
18,crontab -r --ignore,Remove_Scheduled_Cron_Task_checklog_attack18.log,Trigger: Remove Scheduled Cron Task/Job,Remove Scheduled Cron Task/Job | Syslog Clearing or Removal Via System Utilities
19,crontab -r --exec,Remove_Scheduled_Cron_Task_checklog_attack19.log,Log Error (Result Not Found),
20,crontab --delete -r,Remove_Scheduled_Cron_Task_checklog_attack20.log,Log Error (Result Not Found),
21,crontab --quiet -r,Remove_Scheduled_Cron_Task_checklog_attack21.log,Log Error (Result Not Found),
22,crontab -r --verbose,Remove_Scheduled_Cron_Task_checklog_attack22.log,Log Error (Result Not Found),
23,crontab -r --test,Remove_Scheduled_Cron_Task_checklog_attack23.log,Log Error (Result Not Found),
24,crontab -r --dry-run,Remove_Scheduled_Cron_Task_checklog_attack24.log,Trigger: Remove Scheduled Cron Task/Job,Remove Scheduled Cron Task/Job | Syslog Clearing or Removal Via System Utilities
25,crontab -r --none,Remove_Scheduled_Cron_Task_checklog_attack25.log,Log Error (Result Not Found),
26,crontab -r --log,Remove_Scheduled_Cron_Task_checklog_attack26.log,Log Error (Result Not Found),
27,crontab --run -r,Remove_Scheduled_Cron_Task_checklog_attack27.log,Log Error (Result Not Found),
28,crontab -r --break,Remove_Scheduled_Cron_Task_checklog_attack28.log,Log Error (Result Not Found),
29,crontab --confirm -r,Remove_Scheduled_Cron_Task_checklog_attack29.log,Log Error (Result Not Found),
30,crontab -r --silent,Remove_Scheduled_Cron_Task_checklog_attack30.log,Log Error (Result Not Found),
