ID,Command,Log File,Result,All Detected Rules
1,flock -u / /bin/'sh',Shel_Execution_via_Flock_attack1.log,Bypass Target Rule,Shell Execution via Flock - Linux | Syslog Clearing or Removal Via System Utilities
2,"flock -u / /bin/s""h""",Shel_Execution_via_Flock_attack2.log,Bypass Target Rule,Shell Execution via Flock - Linux | Syslog Clearing or Removal Via System Utilities
3,flock -u / /b'in'/sh,Shel_Execution_via_Flock_attack3.log,Bypass Target Rule,Shell Execution via Flock - Linux | Syslog Clearing or Removal Via System Utilities
4,flock -u / /bin//sh,Shel_Execution_via_Flock_attack4.log,Bypass Target Rule,Syslog Clearing or Removal Via System Utilities
5,flock -u / //bin/sh,Shel_Execution_via_Flock_attack5.log,Bypass Target Rule,Shell Execution via Flock - Linux | Syslog Clearing or Removal Via System Utilities
6,"flock -u / /b""i""n/sh",Shel_Execution_via_Flock_attack6.log,Bypass Target Rule,Shell Execution via Flock - Linux | Syslog Clearing or Removal Via System Utilities
7,flock -u / /bin/s'h',Shel_Execution_via_Flock_attack7.log,Bypass Target Rule,Shell Execution via Flock - Linux | Syslog Clearing or Removal Via System Utilities
8,"flock -u / ""/bin/sh""",Shel_Execution_via_Flock_attack8.log,Bypass Target Rule,Shell Execution via Flock - Linux | Syslog Clearing or Removal Via System Utilities
9,flock -u / '/bin/sh',Shel_Execution_via_Flock_attack9.log,Bypass Target Rule,Shell Execution via Flock - Linux | Syslog Clearing or Removal Via System Utilities
10,"flock -u / /bin/s""h""",Shel_Execution_via_Flock_attack10.log,Bypass Target Rule,Shell Execution via Flock - Linux | Syslog Clearing or Removal Via System Utilities
11,flock -u / /bi'n'/sh,Shel_Execution_via_Flock_attack11.log,Bypass Target Rule,Shell Execution via Flock - Linux | Syslog Clearing or Removal Via System Utilities
12,"flock -u / /b""i""n//sh",Shel_Execution_via_Flock_attack12.log,Bypass Target Rule,Syslog Clearing or Removal Via System Utilities
13,flock -u / //b'in'/sh,Shel_Execution_via_Flock_attack13.log,Bypass Target Rule,Shell Execution via Flock - Linux | Syslog Clearing or Removal Via System Utilities
14,flock -u / /b\in/sh,Shel_Execution_via_Flock_attack14.log,Bypass Target Rule,Shell Execution via Flock - Linux | Syslog Clearing or Removal Via System Utilities
15,flock -u / /bin\sh,Shel_Execution_via_Flock_attack15.log,Bypass Target Rule,Syslog Clearing or Removal Via System Utilities
16,flock -u / /bin/s\h,Shel_Execution_via_Flock_attack16.log,Bypass Target Rule,Shell Execution via Flock - Linux | Syslog Clearing or Removal Via System Utilities
17,flock -u / /bin/sh\,Shel_Execution_via_Flock_attack17.log,Bypass Target Rule,Shell Execution via Flock - Linux | Syslog Clearing or Removal Via System Utilities
18,flock -u / /bin/sh/,Shel_Execution_via_Flock_attack18.log,Bypass Target Rule,Shell Execution via Flock - Linux | Syslog Clearing or Removal Via System Utilities
19,flock -u / /bin/sh/.,Shel_Execution_via_Flock_attack19.log,Bypass Target Rule,Shell Execution via Flock - Linux | Syslog Clearing or Removal Via System Utilities
20,flock -u / /bin/.sh,Shel_Execution_via_Flock_attack20.log,Bypass Target Rule,Syslog Clearing or Removal Via System Utilities
21,flock -u / /bi\n/sh,Shel_Execution_via_Flock_attack21.log,Bypass Target Rule,Shell Execution via Flock - Linux | Syslog Clearing or Removal Via System Utilities
22,flock -u / /b\i\n/s\h,Shel_Execution_via_Flock_attack22.log,Bypass Target Rule,Shell Execution via Flock - Linux | Syslog Clearing or Removal Via System Utilities
23,flock -u / /bin/'s''h',Shel_Execution_via_Flock_attack23.log,Bypass Target Rule,Shell Execution via Flock - Linux | Syslog Clearing or Removal Via System Utilities
24,"flock -u / /bin/s""""h",Shel_Execution_via_Flock_attack24.log,Bypass Target Rule,Shell Execution via Flock - Linux | Syslog Clearing or Removal Via System Utilities
25,"flock -u / /bi""n""/s""h""",Shel_Execution_via_Flock_attack25.log,Bypass Target Rule,Shell Execution via Flock - Linux | Syslog Clearing or Removal Via System Utilities
26,"flock -u / /bin/s""h",Shel_Execution_via_Flock_attack26.log,Bypass Target Rule,Syslog Clearing or Removal Via System Utilities
27,flock -u / /b'in'//sh,Shel_Execution_via_Flock_attack27.log,Bypass Target Rule,Syslog Clearing or Removal Via System Utilities
28,flock -u / //bin//sh,Shel_Execution_via_Flock_attack28.log,Bypass Target Rule,Syslog Clearing or Removal Via System Utilities
29,flock -u / /bin////sh,Shel_Execution_via_Flock_attack29.log,Bypass Target Rule,Syslog Clearing or Removal Via System Utilities
30,flock -u / /b'i'n/s'h',Shel_Execution_via_Flock_attack30.log,Bypass Target Rule,Shell Execution via Flock - Linux | Syslog Clearing or Removal Via System Utilities
31,"flock -u / /b""""in/sh",Shel_Execution_via_Flock_attack31.log,Bypass Target Rule,Shell Execution via Flock - Linux | Syslog Clearing or Removal Via System Utilities
32,flock -u / /bi'n'/'sh',Shel_Execution_via_Flock_attack32.log,Bypass Target Rule,Shell Execution via Flock - Linux | Syslog Clearing or Removal Via System Utilities
33,"flock -u / /bin/s""h""'",Shel_Execution_via_Flock_attack33.log,Bypass Target Rule,Syslog Clearing or Removal Via System Utilities
34,"flock -u / /bin/'s""h""'",Shel_Execution_via_Flock_attack34.log,Bypass Target Rule,Syslog Clearing or Removal Via System Utilities
35,"flock -u / /""bin""/""sh""",Shel_Execution_via_Flock_attack35.log,Bypass Target Rule,Shell Execution via Flock - Linux | Syslog Clearing or Removal Via System Utilities
36,flock -u / /b'in//sh,Shel_Execution_via_Flock_attack36.log,Bypass Target Rule,Syslog Clearing or Removal Via System Utilities
37,"flock -u / /b""in/""sh""",Shel_Execution_via_Flock_attack37.log,Bypass Target Rule,Syslog Clearing or Removal Via System Utilities
38,"flock -u / /bin///""sh""",Shel_Execution_via_Flock_attack38.log,Bypass Target Rule,Syslog Clearing or Removal Via System Utilities
