ID,Command,Log File,Result,All Detected Rules
1,find . -exec /bin/'sh' \; -quit,Shell_Execution_via_Find_attack1.log,Trigger: Shell Execution via Find - Linux,Shell Execution via Find - Linux | Syslog Clearing or Removal Via System Utilities | File and Directory Discovery - Linux
2,find . -exec /bin/s'h' \; -quit,Shell_Execution_via_Find_attack2.log,Trigger: Shell Execution via Find - Linux,Shell Execution via Find - Linux | Syslog Clearing or Removal Via System Utilities | File and Directory Discovery - Linux
3,find . -exec /'bin'/sh \; -quit,Shell_Execution_via_Find_attack3.log,Trigger: Shell Execution via Find - Linux,Shell Execution via Find - Linux | Syslog Clearing or Removal Via System Utilities | File and Directory Discovery - Linux
4,find . -exec /bi'n'/sh \; -quit,Shell_Execution_via_Find_attack4.log,Trigger: Shell Execution via Find - Linux,Shell Execution via Find - Linux | Syslog Clearing or Removal Via System Utilities | File and Directory Discovery - Linux
5,find . -exec /b'in'/'sh' \; -quit,Shell_Execution_via_Find_attack5.log,Trigger: Shell Execution via Find - Linux,Shell Execution via Find - Linux | Syslog Clearing or Removal Via System Utilities | File and Directory Discovery - Linux
6,find . -exec /bin/s''h \; -quit,Shell_Execution_via_Find_attack6.log,Trigger: Shell Execution via Find - Linux,Shell Execution via Find - Linux | Syslog Clearing or Removal Via System Utilities | File and Directory Discovery - Linux
7,find . -exec /bin//sh \; -quit,Shell_Execution_via_Find_attack7.log,Bypass Target Rule,Syslog Clearing or Removal Via System Utilities | File and Directory Discovery - Linux
8,find . -exec //bin/sh \; -quit,Shell_Execution_via_Find_attack8.log,Trigger: Shell Execution via Find - Linux,Shell Execution via Find - Linux | Syslog Clearing or Removal Via System Utilities | File and Directory Discovery - Linux
9,find . -exec //bin//sh \; -quit,Shell_Execution_via_Find_attack9.log,Bypass Target Rule,Syslog Clearing or Removal Via System Utilities | File and Directory Discovery - Linux
10,find . -exec /bin/sh \; -qu'it',Shell_Execution_via_Find_attack10.log,Trigger: Shell Execution via Find - Linux,Shell Execution via Find - Linux | Syslog Clearing or Removal Via System Utilities | File and Directory Discovery - Linux
11,find . -exec /bin/sh \; -q'u'it,Shell_Execution_via_Find_attack11.log,Trigger: Shell Execution via Find - Linux,Shell Execution via Find - Linux | Syslog Clearing or Removal Via System Utilities | File and Directory Discovery - Linux
12,find . -exec /bin/sh \; -qu''it,Shell_Execution_via_Find_attack12.log,Trigger: Shell Execution via Find - Linux,Shell Execution via Find - Linux | Syslog Clearing or Removal Via System Utilities | File and Directory Discovery - Linux
13,find . -exec /b''in/sh \; -quit,Shell_Execution_via_Find_attack13.log,Trigger: Shell Execution via Find - Linux,Shell Execution via Find - Linux | Syslog Clearing or Removal Via System Utilities | File and Directory Discovery - Linux
14,find . -exec /b'i'n/sh \; -quit,Shell_Execution_via_Find_attack14.log,Trigger: Shell Execution via Find - Linux,Shell Execution via Find - Linux | Syslog Clearing or Removal Via System Utilities | File and Directory Discovery - Linux
15,find . -exec /bi'n//sh \; -quit,Shell_Execution_via_Find_attack15.log,Bypass Target Rule,Syslog Clearing or Removal Via System Utilities
