ID,Command,Log File,Result,All Detected Rules
1,"sudo /usr/sbin/ufw ""dis""able",Ufw_Force_Stop_Using_Ufw-Init_attack1.log,Trigger: Ufw Force Stop Using Ufw-Init,Ufw Force Stop Using Ufw-Init | Syslog Clearing or Removal Via System Utilities
2,sudo /usr/sbin/ufw d\isable,Ufw_Force_Stop_Using_Ufw-Init_attack2.log,Trigger: Ufw Force Stop Using Ufw-Init,Ufw Force Stop Using Ufw-Init | Syslog Clearing or Removal Via System Utilities
3,sudo /usr/sbin/ufw dis\able,Ufw_Force_Stop_Using_Ufw-Init_attack3.log,Trigger: Ufw Force Stop Using Ufw-Init,Ufw Force Stop Using Ufw-Init | Syslog Clearing or Removal Via System Utilities
4,"sudo /usr/sbin/ufw disa""ble""",Ufw_Force_Stop_Using_Ufw-Init_attack4.log,Trigger: Ufw Force Stop Using Ufw-Init,Ufw Force Stop Using Ufw-Init | Syslog Clearing or Removal Via System Utilities
5,"sudo /usr/sbin/ufw ""disa""ble",Ufw_Force_Stop_Using_Ufw-Init_attack5.log,Trigger: Ufw Force Stop Using Ufw-Init,Ufw Force Stop Using Ufw-Init | Syslog Clearing or Removal Via System Utilities
6,"sudo /usr/sbin/""u""fw disable",Ufw_Force_Stop_Using_Ufw-Init_attack6.log,Trigger: Ufw Force Stop Using Ufw-Init,Ufw Force Stop Using Ufw-Init | Syslog Clearing or Removal Via System Utilities
7,"sudo /usr/sbin/u""f""w disable",Ufw_Force_Stop_Using_Ufw-Init_attack7.log,Trigger: Ufw Force Stop Using Ufw-Init,Ufw Force Stop Using Ufw-Init | Syslog Clearing or Removal Via System Utilities
8,"sudo /usr/sbin/uf""w"" disable",Ufw_Force_Stop_Using_Ufw-Init_attack8.log,Trigger: Ufw Force Stop Using Ufw-Init,Ufw Force Stop Using Ufw-Init | Syslog Clearing or Removal Via System Utilities
9,"sudo /usr/sbin/ufw dis""""able",Ufw_Force_Stop_Using_Ufw-Init_attack9.log,Trigger: Ufw Force Stop Using Ufw-Init,Ufw Force Stop Using Ufw-Init | Syslog Clearing or Removal Via System Utilities
10,"sudo /usr/sbin/ufw ""disab""le",Ufw_Force_Stop_Using_Ufw-Init_attack10.log,Trigger: Ufw Force Stop Using Ufw-Init,Ufw Force Stop Using Ufw-Init | Syslog Clearing or Removal Via System Utilities
11,sudo /usr/sbin/ufw disab\le,Ufw_Force_Stop_Using_Ufw-Init_attack11.log,Trigger: Ufw Force Stop Using Ufw-Init,Ufw Force Stop Using Ufw-Init | Syslog Clearing or Removal Via System Utilities
12,"sudo /usr/sbin/ufw di""sab""le",Ufw_Force_Stop_Using_Ufw-Init_attack12.log,Trigger: Ufw Force Stop Using Ufw-Init,Ufw Force Stop Using Ufw-Init | Syslog Clearing or Removal Via System Utilities
13,sudo /usr/sbin/./ufw disable,Ufw_Force_Stop_Using_Ufw-Init_attack13.log,Trigger: Ufw Force Stop Using Ufw-Init,Ufw Force Stop Using Ufw-Init | Syslog Clearing or Removal Via System Utilities
14,sudo /usr/sbin/ufw dis\ab\le,Ufw_Force_Stop_Using_Ufw-Init_attack14.log,Trigger: Ufw Force Stop Using Ufw-Init,Ufw Force Stop Using Ufw-Init | Syslog Clearing or Removal Via System Utilities
15,"sudo /usr/sbin/ufw ""d""""i""""s""""a""""b""""l""""e""",Ufw_Force_Stop_Using_Ufw-Init_attack15.log,Trigger: Ufw Force Stop Using Ufw-Init,Ufw Force Stop Using Ufw-Init | Syslog Clearing or Removal Via System Utilities
