ID,Command,Log File,Result,All Detected Rules
4,/usr/sbin/capsh /-- --,Capsh_Shell_Invocation_attack4.log,Trigger: Capsh Shell Invocation - Linux,Capsh Shell Invocation - Linux | Syslog Clearing or Removal Via System Utilities
5,/usr/sbin/capsh /-- --login,Capsh_Shell_Invocation_attack5.log,Bypass Target Rule,Syslog Clearing or Removal Via System Utilities
7,"/usr/sbin/capsh -- ""--""",Capsh_Shell_Invocation_attack7.log,Trigger: Capsh Shell Invocation - Linux,Capsh Shell Invocation - Linux | Syslog Clearing or Removal Via System Utilities
8,/usr/sbin/capsh -- --/,Capsh_Shell_Invocation_attack8.log,Bypass Target Rule,Syslog Clearing or Removal Via System Utilities
19,/usr/sbin/capsh -- /--,Capsh_Shell_Invocation_attack19.log,Bypass Target Rule,Syslog Clearing or Removal Via System Utilities
20,"/usr/sbin/capsh --"" --""",Capsh_Shell_Invocation_attack20.log,Trigger: Capsh Shell Invocation - Linux,Capsh Shell Invocation - Linux | Syslog Clearing or Removal Via System Utilities
24,/usr/sbin/capsh --/ --,Capsh_Shell_Invocation_attack24.log,Trigger: Capsh Shell Invocation - Linux,Capsh Shell Invocation - Linux | Syslog Clearing or Removal Via System Utilities
25,"/usr/sbin/capsh --/ ""--""",Capsh_Shell_Invocation_attack25.log,Trigger: Capsh Shell Invocation - Linux,Capsh Shell Invocation - Linux | Syslog Clearing or Removal Via System Utilities
26,"/usr/sbin/capsh -- --""/""",Capsh_Shell_Invocation_attack26.log,Bypass Target Rule,Syslog Clearing or Removal Via System Utilities
27,"/usr/sbin/capsh /-- ""--""",Capsh_Shell_Invocation_attack27.log,Trigger: Capsh Shell Invocation - Linux,Capsh Shell Invocation - Linux | Syslog Clearing or Removal Via System Utilities
30,"/usr/sbin/capsh /""--"" --login",Capsh_Shell_Invocation_attack30.log,Bypass Target Rule,Syslog Clearing or Removal Via System Utilities
31,/usr/sbin/capsh / --,Capsh_Shell_Invocation_attack31.log,Trigger: Capsh Shell Invocation - Linux,Capsh Shell Invocation - Linux | Syslog Clearing or Removal Via System Utilities
32,/usr/sbin/capsh -- /,Capsh_Shell_Invocation_attack32.log,Bypass Target Rule,Syslog Clearing or Removal Via System Utilities
33,/usr/sbin/capsh / -- /,Capsh_Shell_Invocation_attack33.log,Bypass Target Rule,Syslog Clearing or Removal Via System Utilities
35,/usr/sbin/capsh -- /--,Capsh_Shell_Invocation_attack35.log,Bypass Target Rule,Syslog Clearing or Removal Via System Utilities
39,"/usr/sbin/capsh /"" --""",Capsh_Shell_Invocation_attack39.log,Trigger: Capsh Shell Invocation - Linux,Capsh Shell Invocation - Linux | Syslog Clearing or Removal Via System Utilities
40,"/usr/sbin/capsh -- /""--""",Capsh_Shell_Invocation_attack40.log,Bypass Target Rule,Syslog Clearing or Removal Via System Utilities
41,/usr/sbin/capsh -- / --shell,Capsh_Shell_Invocation_attack41.log,Bypass Target Rule,Syslog Clearing or Removal Via System Utilities
43,/usr/sbin/capsh -- /--login,Capsh_Shell_Invocation_attack43.log,Bypass Target Rule,Syslog Clearing or Removal Via System Utilities
48,"/usr/sbin/capsh -- ""--/""",Capsh_Shell_Invocation_attack48.log,Bypass Target Rule,Syslog Clearing or Removal Via System Utilities
51,"/usr/sbin/capsh ""--"" --",Capsh_Shell_Invocation_attack51.log,Trigger: Capsh Shell Invocation - Linux,Capsh Shell Invocation - Linux | Syslog Clearing or Removal Via System Utilities
52,"/usr/sbin/capsh /""-- --""",Capsh_Shell_Invocation_attack52.log,Trigger: Capsh Shell Invocation - Linux,Capsh Shell Invocation - Linux | Syslog Clearing or Removal Via System Utilities
53,"/usr/sbin/capsh -- ""-- --""",Capsh_Shell_Invocation_attack53.log,Trigger: Capsh Shell Invocation - Linux,Capsh Shell Invocation - Linux | Syslog Clearing or Removal Via System Utilities
54,"/usr/sbin/capsh ""-- --""",Capsh_Shell_Invocation_attack54.log,Trigger: Capsh Shell Invocation - Linux,Capsh Shell Invocation - Linux | Syslog Clearing or Removal Via System Utilities
57,"/usr/sbin/capsh /--""-- --""",Capsh_Shell_Invocation_attack57.log,Trigger: Capsh Shell Invocation - Linux,Capsh Shell Invocation - Linux | Syslog Clearing or Removal Via System Utilities
