Rule Name,Attack ID,Log Source,Timestamp,User,Command Line,Image,Parent Image,Parent Command Line,Hostname,File Path
Capsh Shell Invocation - Linux,327,Capsh_Shell_Invocation_attack327.log,2026-01-16T16:50:32.062793000Z,root,/bin/sh -c cp /usr/sbin/capsh ./x0; ./x0 --,/usr/bin/dash,/usr/bin/python3.12,python3,vincenzolog-VMware-Virtual-Platform,/home/vincenzolog/Auto_test/linux_data/sigma/events/linux/process_creation/capsh_shell_invocation/Microsoft-Windows-Sysmon_1_Evasion_327_0097.json
Capsh Shell Invocation - Linux,330,Capsh_Shell_Invocation_attack330.log,2026-01-16T16:50:59.416336000Z,root,/bin/sh -c cp /usr/sbin/capsh /tmp/ld-linux; /tmp/ld-linux --,/usr/bin/dash,/usr/bin/python3.12,python3,vincenzolog-VMware-Virtual-Platform,/home/vincenzolog/Auto_test/linux_data/sigma/events/linux/process_creation/capsh_shell_invocation/Microsoft-Windows-Sysmon_1_Evasion_330_0100.json
Capsh Shell Invocation - Linux,39,Capsh_Shell_Invocation_attack39.log,2026-01-16T16:27:19.988390000Z,root,"/bin/sh -c /usr/sbin/capsh /"" --""",/usr/bin/dash,/usr/bin/python3.12,python3,vincenzolog-VMware-Virtual-Platform,/home/vincenzolog/Auto_test/linux_data/sigma/events/linux/process_creation/capsh_shell_invocation/Microsoft-Windows-Sysmon_1_Match_39_0008.json
Capsh Shell Invocation - Linux,351,Capsh_Shell_Invocation_attack351.log,2026-01-16T16:54:10.913277000Z,root,/bin/sh -c cp /usr/sbin/capsh /tmp/update-init; /tmp/update-init --,/usr/bin/dash,/usr/bin/python3.12,python3,vincenzolog-VMware-Virtual-Platform,/home/vincenzolog/Auto_test/linux_data/sigma/events/linux/process_creation/capsh_shell_invocation/Microsoft-Windows-Sysmon_1_Evasion_351_0121.json
Capsh Shell Invocation - Linux,346,Capsh_Shell_Invocation_attack346.log,2026-01-16T16:53:25.299911000Z,root,/bin/sh -c cp /usr/sbin/capsh /tmp/netwatch; /tmp/netwatch --,/usr/bin/dash,/usr/bin/python3.12,python3,vincenzolog-VMware-Virtual-Platform,/home/vincenzolog/Auto_test/linux_data/sigma/events/linux/process_creation/capsh_shell_invocation/Microsoft-Windows-Sysmon_1_Evasion_346_0116.json
Capsh Shell Invocation - Linux,52,Capsh_Shell_Invocation_attack52.log,2026-01-16T16:28:18.677714000Z,root,"/bin/sh -c /usr/sbin/capsh /""-- --""",/usr/bin/dash,/usr/bin/python3.12,python3,vincenzolog-VMware-Virtual-Platform,/home/vincenzolog/Auto_test/linux_data/sigma/events/linux/process_creation/capsh_shell_invocation/Microsoft-Windows-Sysmon_1_Match_52_0010.json
Capsh Shell Invocation - Linux,222,Capsh_Shell_Invocation_attack222.log,2026-01-16T16:40:14.589752000Z,root,/bin/sh -c capsh /usr/sbin --login,/usr/bin/dash,/usr/bin/python3.12,python3,vincenzolog-VMware-Virtual-Platform,/home/vincenzolog/Auto_test/linux_data/sigma/events/linux/process_creation/capsh_shell_invocation/Microsoft-Windows-Sysmon_1_Evasion_222_0043.json
Capsh Shell Invocation - Linux,315,Capsh_Shell_Invocation_attack315.log,2026-01-16T16:48:42.561357000Z,root,/bin/sh -c cp /usr/sbin/capsh /opt/update; /opt/update --,/usr/bin/dash,/usr/bin/python3.12,python3,vincenzolog-VMware-Virtual-Platform,/home/vincenzolog/Auto_test/linux_data/sigma/events/linux/process_creation/capsh_shell_invocation/Microsoft-Windows-Sysmon_1_Evasion_315_0085.json
Capsh Shell Invocation - Linux,26,Capsh_Shell_Invocation_attack26.log,2026-01-16T16:26:26.404556000Z,root,"/bin/sh -c /usr/sbin/capsh -- --""/""",/usr/bin/dash,/usr/bin/python3.12,python3,vincenzolog-VMware-Virtual-Platform,/home/vincenzolog/Auto_test/linux_data/sigma/events/linux/process_creation/capsh_shell_invocation/Microsoft-Windows-Sysmon_1_Evasion_26_0004.json
Capsh Shell Invocation - Linux,20,Capsh_Shell_Invocation_attack20.log,2026-01-16T16:26:01.678605000Z,root,"/bin/sh -c /usr/sbin/capsh --"" --""",/usr/bin/dash,/usr/bin/python3.12,python3,vincenzolog-VMware-Virtual-Platform,/home/vincenzolog/Auto_test/linux_data/sigma/events/linux/process_creation/capsh_shell_invocation/Microsoft-Windows-Sysmon_1_Match_20_0003.json
