ID,Command,Log File,Result,All Detected Rules
1,"shred -u /var/""log""/syslog",Clear_Linux_Logs_attack1.log,Trigger: Clear Linux Logs,File Deletion | Syslog Clearing or Removal Via System Utilities | Clear Linux Logs
2,"shred -u /""var""/log/syslog",Clear_Linux_Logs_attack2.log,Trigger: Clear Linux Logs,File Deletion | Syslog Clearing or Removal Via System Utilities | Clear Linux Logs
3,"shred -u ""/var""/log/syslog",Clear_Linux_Logs_attack3.log,Trigger: Clear Linux Logs,File Deletion | Syslog Clearing or Removal Via System Utilities | Clear Linux Logs
4,"shred -u /var/log/""syslog""",Clear_Linux_Logs_attack4.log,Trigger: Clear Linux Logs,File Deletion | Syslog Clearing or Removal Via System Utilities | Clear Linux Logs
5,"shred -u /var/log/sys""log""",Clear_Linux_Logs_attack5.log,Trigger: Clear Linux Logs,File Deletion | Syslog Clearing or Removal Via System Utilities | Clear Linux Logs
6,"shred -u /va""r""/log/syslog",Clear_Linux_Logs_attack6.log,Trigger: Clear Linux Logs,File Deletion | Syslog Clearing or Removal Via System Utilities | Clear Linux Logs
7,"shred -u /var/lo""g""/syslog",Clear_Linux_Logs_attack7.log,Trigger: Clear Linux Logs,File Deletion | Syslog Clearing or Removal Via System Utilities | Clear Linux Logs
8,"sh""red"" -u /var/log/syslog",Clear_Linux_Logs_attack8.log,Trigger: Clear Linux Logs,File Deletion | Syslog Clearing or Removal Via System Utilities | Clear Linux Logs
9,"""shred"" -u /var/log/syslog",Clear_Linux_Logs_attack9.log,Trigger: Clear Linux Logs,File Deletion | Syslog Clearing or Removal Via System Utilities | Clear Linux Logs
10,"/usr/bin/""shred"" -u /var/log/syslog",Clear_Linux_Logs_attack10.log,Trigger: Clear Linux Logs,File Deletion | Syslog Clearing or Removal Via System Utilities | Clear Linux Logs
11,"/usr/bin/sh""red"" -u /var/log/syslog",Clear_Linux_Logs_attack11.log,Trigger: Clear Linux Logs,File Deletion | Syslog Clearing or Removal Via System Utilities | Clear Linux Logs
12,sh$'red' -u /var/log/syslog,Clear_Linux_Logs_attack12.log,Bypass Target Rule,Syslog Clearing or Removal Via System Utilities
13,"shre""d"" -u /var/log/syslog",Clear_Linux_Logs_attack13.log,Trigger: Clear Linux Logs,File Deletion | Syslog Clearing or Removal Via System Utilities | Clear Linux Logs
14,shre\u0064 -u /var/log/syslog,Clear_Linux_Logs_attack14.log,Bypass Target Rule,Syslog Clearing or Removal Via System Utilities
15,sh\u0072ed -u /var/log/syslog,Clear_Linux_Logs_attack15.log,Bypass Target Rule,Syslog Clearing or Removal Via System Utilities
17,shred -u /var/log/sys\u006cog,Clear_Linux_Logs_attack17.log,Trigger: Clear Linux Logs,File Deletion | Syslog Clearing or Removal Via System Utilities | Clear Linux Logs
18,shred -u /var/log/sy\u0073log,Clear_Linux_Logs_attack18.log,Trigger: Clear Linux Logs,File Deletion | Syslog Clearing or Removal Via System Utilities | Clear Linux Logs
19,"shred -u /var/log/sy""sl""og",Clear_Linux_Logs_attack19.log,Trigger: Clear Linux Logs,File Deletion | Syslog Clearing or Removal Via System Utilities | Clear Linux Logs
20,"shred -u /var/l""og""/syslog",Clear_Linux_Logs_attack20.log,Trigger: Clear Linux Logs,File Deletion | Syslog Clearing or Removal Via System Utilities | Clear Linux Logs
21,"shred -u /v""ar""/log/syslog",Clear_Linux_Logs_attack21.log,Trigger: Clear Linux Logs,File Deletion | Syslog Clearing or Removal Via System Utilities | Clear Linux Logs
22,"/bin/shred -u /var/""log""/syslog",Clear_Linux_Logs_attack22.log,Trigger: Clear Linux Logs,File Deletion | Syslog Clearing or Removal Via System Utilities | Clear Linux Logs
23,"/bin/""shred"" -u /var/log/syslog",Clear_Linux_Logs_attack23.log,Trigger: Clear Linux Logs,File Deletion | Syslog Clearing or Removal Via System Utilities | Clear Linux Logs
24,"sh""re""""d"" -u /var/log/syslog",Clear_Linux_Logs_attack24.log,Trigger: Clear Linux Logs,File Deletion | Syslog Clearing or Removal Via System Utilities | Clear Linux Logs
25,"s""hr""ed -u /var/log/syslog",Clear_Linux_Logs_attack25.log,Trigger: Clear Linux Logs,File Deletion | Syslog Clearing or Removal Via System Utilities | Clear Linux Logs
26,"shre""d"" -u ""/var/log/syslog""",Clear_Linux_Logs_attack26.log,Trigger: Clear Linux Logs,File Deletion | Syslog Clearing or Removal Via System Utilities | Clear Linux Logs
27,shred -u /var/log/syslog#,Clear_Linux_Logs_attack27.log,Trigger: Clear Linux Logs,File Deletion | Syslog Clearing or Removal Via System Utilities | Clear Linux Logs
28,shred -u /var/log/syslog\,Clear_Linux_Logs_attack28.log,Trigger: Clear Linux Logs,File Deletion | Syslog Clearing or Removal Via System Utilities | Clear Linux Logs
29,"shred -u ""/var""/""log""/""syslog""",Clear_Linux_Logs_attack29.log,Trigger: Clear Linux Logs,File Deletion | Syslog Clearing or Removal Via System Utilities | Clear Linux Logs
30,sh$'\x72'$'ed' -u /var/log/syslog,Clear_Linux_Logs_attack30.log,Bypass Target Rule,Syslog Clearing or Removal Via System Utilities
31,"sh""""red -u /var/log/syslog",Clear_Linux_Logs_attack31.log,Trigger: Clear Linux Logs,File Deletion | Syslog Clearing or Removal Via System Utilities | Clear Linux Logs
32,"sh""+""red -u /var/log/syslog",Clear_Linux_Logs_attack32.log,Bypass Target Rule,Syslog Clearing or Removal Via System Utilities
33,"shred -u /var/lo""""g/syslog",Clear_Linux_Logs_attack33.log,Trigger: Clear Linux Logs,File Deletion | Syslog Clearing or Removal Via System Utilities | Clear Linux Logs
34,"shred -u /va""""r/log/syslog",Clear_Linux_Logs_attack34.log,Trigger: Clear Linux Logs,File Deletion | Syslog Clearing or Removal Via System Utilities | Clear Linux Logs
35,"shred -u /var/log/sy""""slog",Clear_Linux_Logs_attack35.log,Trigger: Clear Linux Logs,File Deletion | Syslog Clearing or Removal Via System Utilities | Clear Linux Logs
36,"shred -u /var/log/sys""+""log",Clear_Linux_Logs_attack36.log,Trigger: Clear Linux Logs,File Deletion | Syslog Clearing or Removal Via System Utilities | Clear Linux Logs
37,"shred -u ""/var""/""log""/""syslog""",Clear_Linux_Logs_attack37.log,Trigger: Clear Linux Logs,File Deletion | Syslog Clearing or Removal Via System Utilities | Clear Linux Logs
38,"/usr/""bin""/shred -u /var/log/syslog",Clear_Linux_Logs_attack38.log,Trigger: Clear Linux Logs,File Deletion | Syslog Clearing or Removal Via System Utilities | Clear Linux Logs
