ID,Command,Log File,Result,All Detected Rules
1,"f''ind /etc -maxdepth 2 -name ""*.conf"" 2>/dev/null",File_and_Directory_Discovery_attack1.log,Trigger: File and Directory Discovery - Linux,File and Directory Discovery - Linux | Syslog Clearing or Removal Via System Utilities
2,"f""""ind /etc -maxdepth 2 -name ""*.conf"" 2>/dev/null",File_and_Directory_Discovery_attack2.log,Trigger: File and Directory Discovery - Linux,File and Directory Discovery - Linux | Syslog Clearing or Removal Via System Utilities
3,"fi''nd /etc -maxdepth 2 -name ""*.conf"" 2>/dev/null",File_and_Directory_Discovery_attack3.log,Trigger: File and Directory Discovery - Linux,File and Directory Discovery - Linux | Syslog Clearing or Removal Via System Utilities
4,"fi""""nd /etc -maxdepth 2 -name ""*.conf"" 2>/dev/null",File_and_Directory_Discovery_attack4.log,Trigger: File and Directory Discovery - Linux,File and Directory Discovery - Linux | Syslog Clearing or Removal Via System Utilities
5,"fin''d /etc -maxdepth 2 -name ""*.conf"" 2>/dev/null",File_and_Directory_Discovery_attack5.log,Trigger: File and Directory Discovery - Linux,File and Directory Discovery - Linux | Syslog Clearing or Removal Via System Utilities
6,"fin""""d /etc -maxdepth 2 -name ""*.conf"" 2>/dev/null",File_and_Directory_Discovery_attack6.log,Trigger: File and Directory Discovery - Linux,File and Directory Discovery - Linux | Syslog Clearing or Removal Via System Utilities
7,"f\i\n\d /etc -maxdepth 2 -name ""*.conf"" 2>/dev/null",File_and_Directory_Discovery_attack7.log,Trigger: File and Directory Discovery - Linux,File and Directory Discovery - Linux | Syslog Clearing or Removal Via System Utilities
8,"\f\i\nd /etc -maxdepth 2 -name ""*.conf"" 2>/dev/null",File_and_Directory_Discovery_attack8.log,Trigger: File and Directory Discovery - Linux,File and Directory Discovery - Linux | Syslog Clearing or Removal Via System Utilities
9,"""f""ind /etc -maxdepth 2 -name ""*.conf"" 2>/dev/null",File_and_Directory_Discovery_attack9.log,Trigger: File and Directory Discovery - Linux,File and Directory Discovery - Linux | Syslog Clearing or Removal Via System Utilities
10,"f""i""nd /etc -maxdepth 2 -name ""*.conf"" 2>/dev/null",File_and_Directory_Discovery_attack10.log,Trigger: File and Directory Discovery - Linux,File and Directory Discovery - Linux | Syslog Clearing or Removal Via System Utilities
11,"f'i'nd /etc -maxdepth 2 -name ""*.conf"" 2>/dev/null",File_and_Directory_Discovery_attack11.log,Trigger: File and Directory Discovery - Linux,File and Directory Discovery - Linux | Syslog Clearing or Removal Via System Utilities
12,"f""in""d /etc -maxdepth 2 -name ""*.conf"" 2>/dev/null",File_and_Directory_Discovery_attack12.log,Trigger: File and Directory Discovery - Linux,File and Directory Discovery - Linux | Syslog Clearing or Removal Via System Utilities
13,"fi""n""d /etc -maxdepth 2 -name ""*.conf"" 2>/dev/null",File_and_Directory_Discovery_attack13.log,Trigger: File and Directory Discovery - Linux,File and Directory Discovery - Linux | Syslog Clearing or Removal Via System Utilities
14,"f\i''n\d /etc -maxdepth 2 -name ""*.conf"" 2>/dev/null",File_and_Directory_Discovery_attack14.log,Trigger: File and Directory Discovery - Linux,File and Directory Discovery - Linux | Syslog Clearing or Removal Via System Utilities
15,"\fi\nd /etc -maxdepth 2 -name ""*.conf"" 2>/dev/null",File_and_Directory_Discovery_attack15.log,Trigger: File and Directory Discovery - Linux,File and Directory Discovery - Linux | Syslog Clearing or Removal Via System Utilities
16,"fi\nd /etc -maxdepth 2 -name ""*.conf"" 2>/dev/null",File_and_Directory_Discovery_attack16.log,Trigger: File and Directory Discovery - Linux,File and Directory Discovery - Linux | Syslog Clearing or Removal Via System Utilities
17,"f\ind /etc -maxdepth 2 -name ""*.conf"" 2>/dev/null",File_and_Directory_Discovery_attack17.log,Trigger: File and Directory Discovery - Linux,File and Directory Discovery - Linux | Syslog Clearing or Removal Via System Utilities
18,"f'i''n'd /etc -maxdepth 2 -name ""*.conf"" 2>/dev/null",File_and_Directory_Discovery_attack18.log,Trigger: File and Directory Discovery - Linux,File and Directory Discovery - Linux | Syslog Clearing or Removal Via System Utilities
19,"f""i""""n""""d"" /etc -maxdepth 2 -name ""*.conf"" 2>/dev/null",File_and_Directory_Discovery_attack19.log,Trigger: File and Directory Discovery - Linux,File and Directory Discovery - Linux | Syslog Clearing or Removal Via System Utilities
20,"fi'n'd /etc -maxdepth 2 -name ""*.conf"" 2>/dev/null",File_and_Directory_Discovery_attack20.log,Trigger: File and Directory Discovery - Linux,File and Directory Discovery - Linux | Syslog Clearing or Removal Via System Utilities
21,"cmd=""find""; $cmd /etc -maxdepth 2 -name ""*.conf"" 2>/dev/null",File_and_Directory_Discovery_attack21.log,Trigger: File and Directory Discovery - Linux,File and Directory Discovery - Linux | Syslog Clearing or Removal Via System Utilities
22,"a=""fi""; b=""nd""; $a$b /etc -maxdepth 2 -name ""*.conf"" 2>/dev/null",File_and_Directory_Discovery_attack22.log,Trigger: File and Directory Discovery - Linux,File and Directory Discovery - Linux | Syslog Clearing or Removal Via System Utilities
23,"f=""f""; g=""ind""; $f$g /etc -maxdepth 2 -name ""*.conf"" 2>/dev/null",File_and_Directory_Discovery_attack23.log,Trigger: File and Directory Discovery - Linux,File and Directory Discovery - Linux | Syslog Clearing or Removal Via System Utilities
24,"_cmd=find; $_cmd /etc -maxdepth 2 -name ""*.conf"" 2>/dev/null",File_and_Directory_Discovery_attack24.log,Trigger: File and Directory Discovery - Linux,File and Directory Discovery - Linux | Syslog Clearing or Removal Via System Utilities
25,"__=""find""; $__ /etc -maxdepth 2 -name ""*.conf"" 2>/dev/null",File_and_Directory_Discovery_attack25.log,Trigger: File and Directory Discovery - Linux,File and Directory Discovery - Linux | Syslog Clearing or Removal Via System Utilities
26,"FIND_CMD=""find""; $FIND_CMD /etc -maxdepth 2 -name ""*.conf"" 2>/dev/null",File_and_Directory_Discovery_attack26.log,Trigger: File and Directory Discovery - Linux,File and Directory Discovery - Linux | Syslog Clearing or Removal Via System Utilities
27,"eval_cmd=""fi""""nd""; $eval_cmd /etc -maxdepth 2 -name ""*.conf"" 2>/dev/null",File_and_Directory_Discovery_attack27.log,Trigger: File and Directory Discovery - Linux,File and Directory Discovery - Linux | Syslog Clearing or Removal Via System Utilities
