ID,Command,Log File,Result,All Detected Rules
1,"/bin/bash -c ""systemctl 'stop' kesl && systemctl disable kesl""",Kaspersky_Endpoint_Security_Stopped_Via_CommandLine_attack1.log,Trigger: Kaspersky Endpoint Security Stopped Via CommandLine - Linux,Disable Or Stop Services | Kaspersky Endpoint Security Stopped Via CommandLine - Linux | Syslog Clearing or Removal Via System Utilities
2,"/bin/bash -c ""systemctl stop 'kesl' && systemctl disable kesl""",Kaspersky_Endpoint_Security_Stopped_Via_CommandLine_attack2.log,Trigger: Kaspersky Endpoint Security Stopped Via CommandLine - Linux,Disable Or Stop Services | Kaspersky Endpoint Security Stopped Via CommandLine - Linux | Syslog Clearing or Removal Via System Utilities
3,"/bin/bash -c ""systemctl stop ke''sl && systemctl disable kesl""",Kaspersky_Endpoint_Security_Stopped_Via_CommandLine_attack3.log,Trigger: Kaspersky Endpoint Security Stopped Via CommandLine - Linux,Disable Or Stop Services | Kaspersky Endpoint Security Stopped Via CommandLine - Linux | Syslog Clearing or Removal Via System Utilities
4,"/bin/bash -c ""systemctl st'op' kesl && systemctl disable kesl""",Kaspersky_Endpoint_Security_Stopped_Via_CommandLine_attack4.log,Trigger: Kaspersky Endpoint Security Stopped Via CommandLine - Linux,Disable Or Stop Services | Kaspersky Endpoint Security Stopped Via CommandLine - Linux | Syslog Clearing or Removal Via System Utilities
5,"/bin/bash -c ""systemctl stop k""e""sl && systemctl disable kesl""",Kaspersky_Endpoint_Security_Stopped_Via_CommandLine_attack5.log,Trigger: Kaspersky Endpoint Security Stopped Via CommandLine - Linux,Disable Or Stop Services | Kaspersky Endpoint Security Stopped Via CommandLine - Linux | Syslog Clearing or Removal Via System Utilities
8,"/bin/bash -c ""systemctl stop kesl ; systemctl disable kesl""",Kaspersky_Endpoint_Security_Stopped_Via_CommandLine_attack8.log,Trigger: Kaspersky Endpoint Security Stopped Via CommandLine - Linux,Disable Or Stop Services | Kaspersky Endpoint Security Stopped Via CommandLine - Linux | Syslog Clearing or Removal Via System Utilities
9,"/bin/bash -c ""systemctl stop kesl && systemctl 'disable' kesl""",Kaspersky_Endpoint_Security_Stopped_Via_CommandLine_attack9.log,Trigger: Kaspersky Endpoint Security Stopped Via CommandLine - Linux,Disable Or Stop Services | Kaspersky Endpoint Security Stopped Via CommandLine - Linux | Syslog Clearing or Removal Via System Utilities
10,"/bin/bash -c ""systemctl stop kesl && systemctl dis""able"" kesl""",Kaspersky_Endpoint_Security_Stopped_Via_CommandLine_attack10.log,Trigger: Kaspersky Endpoint Security Stopped Via CommandLine - Linux,Disable Or Stop Services | Kaspersky Endpoint Security Stopped Via CommandLine - Linux | Syslog Clearing or Removal Via System Utilities
11,"/bin/bash -c ""systemctl stop kesl && systemctl di''sable kesl""",Kaspersky_Endpoint_Security_Stopped_Via_CommandLine_attack11.log,Trigger: Kaspersky Endpoint Security Stopped Via CommandLine - Linux,Disable Or Stop Services | Kaspersky Endpoint Security Stopped Via CommandLine - Linux | Syslog Clearing or Removal Via System Utilities
12,"/bin/bash -c ""systemctl stop kesl && systemctl disable ke''sl""",Kaspersky_Endpoint_Security_Stopped_Via_CommandLine_attack12.log,Trigger: Kaspersky Endpoint Security Stopped Via CommandLine - Linux,Disable Or Stop Services | Kaspersky Endpoint Security Stopped Via CommandLine - Linux | Syslog Clearing or Removal Via System Utilities
13,"/bin/bash -c ""systemctl st""op"" kesl && systemctl disable kesl""",Kaspersky_Endpoint_Security_Stopped_Via_CommandLine_attack13.log,Trigger: Kaspersky Endpoint Security Stopped Via CommandLine - Linux,Disable Or Stop Services | Kaspersky Endpoint Security Stopped Via CommandLine - Linux | Syslog Clearing or Removal Via System Utilities
19,"/bin/bash -c ""systemctl stop kesl && systemctl disable kesl ;""",Kaspersky_Endpoint_Security_Stopped_Via_CommandLine_attack19.log,Trigger: Kaspersky Endpoint Security Stopped Via CommandLine - Linux,Disable Or Stop Services | Kaspersky Endpoint Security Stopped Via CommandLine - Linux | Syslog Clearing or Removal Via System Utilities
20,"/bin/bash -c ""systemctl stop kesl && systemctl dis$'a'ble kesl""",Kaspersky_Endpoint_Security_Stopped_Via_CommandLine_attack20.log,Trigger: Kaspersky Endpoint Security Stopped Via CommandLine - Linux,Disable Or Stop Services | Kaspersky Endpoint Security Stopped Via CommandLine - Linux | Syslog Clearing or Removal Via System Utilities
21,"/bin/bash -c ""systemctl stop ke$'s'l && systemctl disable kesl""",Kaspersky_Endpoint_Security_Stopped_Via_CommandLine_attack21.log,Trigger: Kaspersky Endpoint Security Stopped Via CommandLine - Linux,Disable Or Stop Services | Kaspersky Endpoint Security Stopped Via CommandLine - Linux | Syslog Clearing or Removal Via System Utilities
22,"/bin/bash -c ""systemctl s$'t'op kesl && systemctl disable kesl""",Kaspersky_Endpoint_Security_Stopped_Via_CommandLine_attack22.log,Trigger: Kaspersky Endpoint Security Stopped Via CommandLine - Linux,Disable Or Stop Services | Kaspersky Endpoint Security Stopped Via CommandLine - Linux | Syslog Clearing or Removal Via System Utilities
23,"/bin/bash -c ""systemctl stop kesl && systemctl d$'i'sable kesl""",Kaspersky_Endpoint_Security_Stopped_Via_CommandLine_attack23.log,Trigger: Kaspersky Endpoint Security Stopped Via CommandLine - Linux,Disable Or Stop Services | Kaspersky Endpoint Security Stopped Via CommandLine - Linux | Syslog Clearing or Removal Via System Utilities
24,"/bin/bash -c ""systemctl stop kesl && systemctl disable k$'e'sl""",Kaspersky_Endpoint_Security_Stopped_Via_CommandLine_attack24.log,Trigger: Kaspersky Endpoint Security Stopped Via CommandLine - Linux,Disable Or Stop Services | Kaspersky Endpoint Security Stopped Via CommandLine - Linux | Syslog Clearing or Removal Via System Utilities
25,"/bin/bash -c ""systemctl stop kesl && systemctl disable ke$'s'l""",Kaspersky_Endpoint_Security_Stopped_Via_CommandLine_attack25.log,Trigger: Kaspersky Endpoint Security Stopped Via CommandLine - Linux,Disable Or Stop Services | Kaspersky Endpoint Security Stopped Via CommandLine - Linux | Syslog Clearing or Removal Via System Utilities
26,"/bin/bash -c ""systemctl stop kesl && systemctl disable k""es""l""",Kaspersky_Endpoint_Security_Stopped_Via_CommandLine_attack26.log,Trigger: Kaspersky Endpoint Security Stopped Via CommandLine - Linux,Disable Or Stop Services | Kaspersky Endpoint Security Stopped Via CommandLine - Linux | Syslog Clearing or Removal Via System Utilities
27,"/bin/bash -c ""systemctl stop k""es""l && systemctl disable kesl""",Kaspersky_Endpoint_Security_Stopped_Via_CommandLine_attack27.log,Trigger: Kaspersky Endpoint Security Stopped Via CommandLine - Linux,Disable Or Stop Services | Kaspersky Endpoint Security Stopped Via CommandLine - Linux | Syslog Clearing or Removal Via System Utilities
28,"/bin/bash -c ""systemctl stop kesl && systemctl dis""ab""le kesl""",Kaspersky_Endpoint_Security_Stopped_Via_CommandLine_attack28.log,Trigger: Kaspersky Endpoint Security Stopped Via CommandLine - Linux,Disable Or Stop Services | Kaspersky Endpoint Security Stopped Via CommandLine - Linux | Syslog Clearing or Removal Via System Utilities
29,"/bin/bash -c ""systemctl stop kesl && systemctl di""sa""ble kesl""",Kaspersky_Endpoint_Security_Stopped_Via_CommandLine_attack29.log,Trigger: Kaspersky Endpoint Security Stopped Via CommandLine - Linux,Disable Or Stop Services | Kaspersky Endpoint Security Stopped Via CommandLine - Linux | Syslog Clearing or Removal Via System Utilities
30,"/bin/bash -c ""systemctl stop kesl && systemctl disa""bl""e kesl""",Kaspersky_Endpoint_Security_Stopped_Via_CommandLine_attack30.log,Trigger: Kaspersky Endpoint Security Stopped Via CommandLine - Linux,Disable Or Stop Services | Kaspersky Endpoint Security Stopped Via CommandLine - Linux | Syslog Clearing or Removal Via System Utilities
31,"/bin/bash -c ""systemctl stop kesl && systemctl disable ke""sl""""",Kaspersky_Endpoint_Security_Stopped_Via_CommandLine_attack31.log,Trigger: Kaspersky Endpoint Security Stopped Via CommandLine - Linux,Disable Or Stop Services | Kaspersky Endpoint Security Stopped Via CommandLine - Linux | Syslog Clearing or Removal Via System Utilities
32,"/bin/bash -c ""systemctl stop kesl && systemctl disable k""e""sl""",Kaspersky_Endpoint_Security_Stopped_Via_CommandLine_attack32.log,Trigger: Kaspersky Endpoint Security Stopped Via CommandLine - Linux,Disable Or Stop Services | Kaspersky Endpoint Security Stopped Via CommandLine - Linux | Syslog Clearing or Removal Via System Utilities
33,"/bin/bash -c ""systemctl stop kesl && systemctl disable k'e'sl""",Kaspersky_Endpoint_Security_Stopped_Via_CommandLine_attack33.log,Trigger: Kaspersky Endpoint Security Stopped Via CommandLine - Linux,Disable Or Stop Services | Kaspersky Endpoint Security Stopped Via CommandLine - Linux | Syslog Clearing or Removal Via System Utilities
34,"/bin/bash -c ""systemctl stop kesl && systemctl disable k""""esl""",Kaspersky_Endpoint_Security_Stopped_Via_CommandLine_attack34.log,Trigger: Kaspersky Endpoint Security Stopped Via CommandLine - Linux,Disable Or Stop Services | Kaspersky Endpoint Security Stopped Via CommandLine - Linux | Syslog Clearing or Removal Via System Utilities
35,"/bin/bash -c ""systemctl stop kesl && systemctl disable kes""""l""",Kaspersky_Endpoint_Security_Stopped_Via_CommandLine_attack35.log,Trigger: Kaspersky Endpoint Security Stopped Via CommandLine - Linux,Disable Or Stop Services | Kaspersky Endpoint Security Stopped Via CommandLine - Linux | Syslog Clearing or Removal Via System Utilities
36,"/bin/bash -c ""systemctl stop kesl && systemctl disable ke''sl""",Kaspersky_Endpoint_Security_Stopped_Via_CommandLine_attack36.log,Trigger: Kaspersky Endpoint Security Stopped Via CommandLine - Linux,Disable Or Stop Services | Kaspersky Endpoint Security Stopped Via CommandLine - Linux | Syslog Clearing or Removal Via System Utilities
37,"/bin/bash -c ""systemctl stop kesl && systemctl disable k''esl""",Kaspersky_Endpoint_Security_Stopped_Via_CommandLine_attack37.log,Trigger: Kaspersky Endpoint Security Stopped Via CommandLine - Linux,Disable Or Stop Services | Kaspersky Endpoint Security Stopped Via CommandLine - Linux | Syslog Clearing or Removal Via System Utilities
38,"/bin/bash -c ""systemctl stop kesl && systemctl disable kesl''""",Kaspersky_Endpoint_Security_Stopped_Via_CommandLine_attack38.log,Trigger: Kaspersky Endpoint Security Stopped Via CommandLine - Linux,Disable Or Stop Services | Kaspersky Endpoint Security Stopped Via CommandLine - Linux | Syslog Clearing or Removal Via System Utilities
