ID,Command,Log File,Result,All Detected Rules
1,uname -a | grep x86_64 -i,OS_Architecture_Discovery_Via_Grep_attack1.log,Bypass Target Rule,System Information Discovery | Syslog Clearing or Removal Via System Utilities
2,uname -a | grep x86_64 --color=auto,OS_Architecture_Discovery_Via_Grep_attack2.log,Bypass Target Rule,System Information Discovery | Syslog Clearing or Removal Via System Utilities
3,uname -a | grep x86_64 #,OS_Architecture_Discovery_Via_Grep_attack3.log,Trigger: OS Architecture Discovery Via Grep,System Information Discovery | OS Architecture Discovery Via Grep | Syslog Clearing or Removal Via System Utilities
4,uname -a | grep x86_64 --,OS_Architecture_Discovery_Via_Grep_attack4.log,Bypass Target Rule,System Information Discovery | Syslog Clearing or Removal Via System Utilities
5,uname -a | grep x86_64 -A 0,OS_Architecture_Discovery_Via_Grep_attack5.log,Bypass Target Rule,System Information Discovery | Syslog Clearing or Removal Via System Utilities
6,uname -a | grep x86_64 -B 0,OS_Architecture_Discovery_Via_Grep_attack6.log,Bypass Target Rule,System Information Discovery | Syslog Clearing or Removal Via System Utilities
7,uname -a | grep x86_64 -C 0,OS_Architecture_Discovery_Via_Grep_attack7.log,Bypass Target Rule,System Information Discovery | Syslog Clearing or Removal Via System Utilities
8,uname -a | grep x86_64 -E,OS_Architecture_Discovery_Via_Grep_attack8.log,Bypass Target Rule,System Information Discovery | Syslog Clearing or Removal Via System Utilities
9,uname -a | grep x86_64 -F,OS_Architecture_Discovery_Via_Grep_attack9.log,Bypass Target Rule,System Information Discovery | Syslog Clearing or Removal Via System Utilities
10,uname -a | grep x86_64 -G,OS_Architecture_Discovery_Via_Grep_attack10.log,Bypass Target Rule,System Information Discovery | Syslog Clearing or Removal Via System Utilities
11,uname -a | grep x86_64 --line-buffered,OS_Architecture_Discovery_Via_Grep_attack11.log,Bypass Target Rule,System Information Discovery | Syslog Clearing or Removal Via System Utilities
12,uname -a | grep x86_64 -Z,OS_Architecture_Discovery_Via_Grep_attack12.log,Bypass Target Rule,System Information Discovery | Syslog Clearing or Removal Via System Utilities
13,uname -a | grep x86_64 --null,OS_Architecture_Discovery_Via_Grep_attack13.log,Bypass Target Rule,System Information Discovery | Syslog Clearing or Removal Via System Utilities
14,uname -a | grep x86_64 --devices=skip,OS_Architecture_Discovery_Via_Grep_attack14.log,Bypass Target Rule,System Information Discovery | Syslog Clearing or Removal Via System Utilities
15,uname -a | grep x86_64 -a,OS_Architecture_Discovery_Via_Grep_attack15.log,Bypass Target Rule,System Information Discovery | Syslog Clearing or Removal Via System Utilities
16,uname -a | grep x86_64 | cat,OS_Architecture_Discovery_Via_Grep_attack16.log,Trigger: OS Architecture Discovery Via Grep,System Information Discovery | OS Architecture Discovery Via Grep | Syslog Clearing or Removal Via System Utilities
17,uname -a | grep x86_64 || true,OS_Architecture_Discovery_Via_Grep_attack17.log,Trigger: OS Architecture Discovery Via Grep,System Information Discovery | OS Architecture Discovery Via Grep | Syslog Clearing or Removal Via System Utilities
18,uname -a | grep x86_64 --label=x,OS_Architecture_Discovery_Via_Grep_attack18.log,Bypass Target Rule,System Information Discovery | Syslog Clearing or Removal Via System Utilities
19,uname -a | grep x86_64 | tee,OS_Architecture_Discovery_Via_Grep_attack19.log,Trigger: OS Architecture Discovery Via Grep,System Information Discovery | OS Architecture Discovery Via Grep | Syslog Clearing or Removal Via System Utilities
20,uname -a | grep x86_64 | head,OS_Architecture_Discovery_Via_Grep_attack20.log,Trigger: OS Architecture Discovery Via Grep,System Information Discovery | OS Architecture Discovery Via Grep | Syslog Clearing or Removal Via System Utilities
21,uname -a | grep x86_64 | tail,OS_Architecture_Discovery_Via_Grep_attack21.log,Trigger: OS Architecture Discovery Via Grep,System Information Discovery | OS Architecture Discovery Via Grep | Syslog Clearing or Removal Via System Utilities
22,uname -a | grep x86_64 | sed '',OS_Architecture_Discovery_Via_Grep_attack22.log,Trigger: OS Architecture Discovery Via Grep,System Information Discovery | OS Architecture Discovery Via Grep | Syslog Clearing or Removal Via System Utilities
23,uname -a | grep x86_64 | xargs,OS_Architecture_Discovery_Via_Grep_attack23.log,Trigger: OS Architecture Discovery Via Grep,System Information Discovery | OS Architecture Discovery Via Grep | Syslog Clearing or Removal Via System Utilities
24,uname -a | grep x86_64 | grep .,OS_Architecture_Discovery_Via_Grep_attack24.log,Trigger: OS Architecture Discovery Via Grep,System Information Discovery | OS Architecture Discovery Via Grep | Syslog Clearing or Removal Via System Utilities
25,uname -a | grep x86_64 | grep -v z,OS_Architecture_Discovery_Via_Grep_attack25.log,Trigger: OS Architecture Discovery Via Grep,System Information Discovery | OS Architecture Discovery Via Grep | Syslog Clearing or Removal Via System Utilities
26,uname -a | grep x86_64 | grep '[a-z]',OS_Architecture_Discovery_Via_Grep_attack26.log,Trigger: OS Architecture Discovery Via Grep,System Information Discovery | OS Architecture Discovery Via Grep | Syslog Clearing or Removal Via System Utilities
27,uname -a | grep x86_64 | cat -,OS_Architecture_Discovery_Via_Grep_attack27.log,Trigger: OS Architecture Discovery Via Grep,System Information Discovery | OS Architecture Discovery Via Grep | Syslog Clearing or Removal Via System Utilities
28,uname -a | grep x86_64 | tr -d '\n',OS_Architecture_Discovery_Via_Grep_attack28.log,Trigger: OS Architecture Discovery Via Grep,System Information Discovery | OS Architecture Discovery Via Grep | Syslog Clearing or Removal Via System Utilities
