ID,Command,Log File,Result,All Detected Rules
1,crontab -r,Remove_Scheduled_Cron_Task_attack1.log,Trigger: Remove Scheduled Cron Task/Job,Remove Scheduled Cron Task/Job | Syslog Clearing or Removal Via System Utilities
2,"crontab -""-""r",Remove_Scheduled_Cron_Task_attack2.log,Bypass Target Rule,Syslog Clearing or Removal Via System Utilities
3,crontab -r --,Remove_Scheduled_Cron_Task_attack3.log,Trigger: Remove Scheduled Cron Task/Job,Remove Scheduled Cron Task/Job | Syslog Clearing or Removal Via System Utilities
4,crontab -r#,Remove_Scheduled_Cron_Task_attack4.log,Trigger: Remove Scheduled Cron Task/Job,Remove Scheduled Cron Task/Job | Syslog Clearing or Removal Via System Utilities
5,crontab --remove -r,Remove_Scheduled_Cron_Task_attack5.log,Trigger: Remove Scheduled Cron Task/Job,Remove Scheduled Cron Task/Job | Syslog Clearing or Removal Via System Utilities
6,crontab -r --force,Remove_Scheduled_Cron_Task_attack6.log,Trigger: Remove Scheduled Cron Task/Job,Remove Scheduled Cron Task/Job | Syslog Clearing or Removal Via System Utilities
7,"crontab --""-""r",Remove_Scheduled_Cron_Task_attack7.log,Bypass Target Rule,Syslog Clearing or Removal Via System Utilities
8,crontab /-r,Remove_Scheduled_Cron_Task_attack8.log,Bypass Target Rule,Syslog Clearing or Removal Via System Utilities
9,crontab -r --dummy,Remove_Scheduled_Cron_Task_attack9.log,Trigger: Remove Scheduled Cron Task/Job,Remove Scheduled Cron Task/Job | Syslog Clearing or Removal Via System Utilities
10,crontab --action=-r,Remove_Scheduled_Cron_Task_attack10.log,Bypass Target Rule,Syslog Clearing or Removal Via System Utilities
11,crontab - -r,Remove_Scheduled_Cron_Task_attack11.log,Trigger: Remove Scheduled Cron Task/Job,Remove Scheduled Cron Task/Job | Syslog Clearing or Removal Via System Utilities
12,crontab -- --r,Remove_Scheduled_Cron_Task_attack12.log,Bypass Target Rule,Syslog Clearing or Removal Via System Utilities
13,crontab -r --option=1,Remove_Scheduled_Cron_Task_attack13.log,Trigger: Remove Scheduled Cron Task/Job,Remove Scheduled Cron Task/Job | Syslog Clearing or Removal Via System Utilities
14,crontab --remove_current -r,Remove_Scheduled_Cron_Task_attack14.log,Trigger: Remove Scheduled Cron Task/Job,Remove Scheduled Cron Task/Job | Syslog Clearing or Removal Via System Utilities
15,crontab -/r,Remove_Scheduled_Cron_Task_attack15.log,Bypass Target Rule,Syslog Clearing or Removal Via System Utilities
16,crontab -r --comment,Remove_Scheduled_Cron_Task_attack16.log,Trigger: Remove Scheduled Cron Task/Job,Remove Scheduled Cron Task/Job | Syslog Clearing or Removal Via System Utilities
17,crontab -r --foo=bar,Remove_Scheduled_Cron_Task_attack17.log,Trigger: Remove Scheduled Cron Task/Job,Remove Scheduled Cron Task/Job | Syslog Clearing or Removal Via System Utilities
18,crontab -r --ignore,Remove_Scheduled_Cron_Task_attack18.log,Trigger: Remove Scheduled Cron Task/Job,Remove Scheduled Cron Task/Job | Syslog Clearing or Removal Via System Utilities
19,crontab -r --exec,Remove_Scheduled_Cron_Task_attack19.log,Trigger: Remove Scheduled Cron Task/Job,Remove Scheduled Cron Task/Job | Syslog Clearing or Removal Via System Utilities
20,crontab --delete -r,Remove_Scheduled_Cron_Task_attack20.log,Trigger: Remove Scheduled Cron Task/Job,Remove Scheduled Cron Task/Job | Syslog Clearing or Removal Via System Utilities
21,crontab --quiet -r,Remove_Scheduled_Cron_Task_attack21.log,Trigger: Remove Scheduled Cron Task/Job,Remove Scheduled Cron Task/Job | Syslog Clearing or Removal Via System Utilities
22,crontab -r --verbose,Remove_Scheduled_Cron_Task_attack22.log,Trigger: Remove Scheduled Cron Task/Job,Remove Scheduled Cron Task/Job | Syslog Clearing or Removal Via System Utilities
23,crontab -r --test,Remove_Scheduled_Cron_Task_attack23.log,Trigger: Remove Scheduled Cron Task/Job,Remove Scheduled Cron Task/Job | Syslog Clearing or Removal Via System Utilities
24,crontab -r --dry-run,Remove_Scheduled_Cron_Task_attack24.log,Trigger: Remove Scheduled Cron Task/Job,Remove Scheduled Cron Task/Job | Syslog Clearing or Removal Via System Utilities
25,crontab -r --none,Remove_Scheduled_Cron_Task_attack25.log,Trigger: Remove Scheduled Cron Task/Job,Remove Scheduled Cron Task/Job | Syslog Clearing or Removal Via System Utilities
26,crontab -r --log,Remove_Scheduled_Cron_Task_attack26.log,Trigger: Remove Scheduled Cron Task/Job,Remove Scheduled Cron Task/Job | Syslog Clearing or Removal Via System Utilities
27,crontab --run -r,Remove_Scheduled_Cron_Task_attack27.log,Trigger: Remove Scheduled Cron Task/Job,Remove Scheduled Cron Task/Job | Syslog Clearing or Removal Via System Utilities
28,crontab -r --break,Remove_Scheduled_Cron_Task_attack28.log,Trigger: Remove Scheduled Cron Task/Job,Remove Scheduled Cron Task/Job | Syslog Clearing or Removal Via System Utilities
29,crontab --confirm -r,Remove_Scheduled_Cron_Task_attack29.log,Trigger: Remove Scheduled Cron Task/Job,Remove Scheduled Cron Task/Job | Syslog Clearing or Removal Via System Utilities
30,crontab -r --silent,Remove_Scheduled_Cron_Task_attack30.log,Trigger: Remove Scheduled Cron Task/Job,Remove Scheduled Cron Task/Job | Syslog Clearing or Removal Via System Utilities
31,crontab --fake-flag -r,Remove_Scheduled_Cron_Task_attack31.log,Trigger: Remove Scheduled Cron Task/Job,Remove Scheduled Cron Task/Job | Syslog Clearing or Removal Via System Utilities
32,crontab -r --no-preserve-root,Remove_Scheduled_Cron_Task_attack32.log,Trigger: Remove Scheduled Cron Task/Job,Remove Scheduled Cron Task/Job | Syslog Clearing or Removal Via System Utilities
33,crontab -r --trace,Remove_Scheduled_Cron_Task_attack33.log,Trigger: Remove Scheduled Cron Task/Job,Remove Scheduled Cron Task/Job | Syslog Clearing or Removal Via System Utilities
34,crontab -r --simulate,Remove_Scheduled_Cron_Task_attack34.log,Trigger: Remove Scheduled Cron Task/Job,Remove Scheduled Cron Task/Job | Syslog Clearing or Removal Via System Utilities
35,crontab -r --null,Remove_Scheduled_Cron_Task_attack35.log,Trigger: Remove Scheduled Cron Task/Job,Remove Scheduled Cron Task/Job | Syslog Clearing or Removal Via System Utilities
36,crontab -r --hidden,Remove_Scheduled_Cron_Task_attack36.log,Trigger: Remove Scheduled Cron Task/Job,Remove Scheduled Cron Task/Job | Syslog Clearing or Removal Via System Utilities
37,crontab -r --skip-checks,Remove_Scheduled_Cron_Task_attack37.log,Trigger: Remove Scheduled Cron Task/Job,Remove Scheduled Cron Task/Job | Syslog Clearing or Removal Via System Utilities
38,crontab -r --now,Remove_Scheduled_Cron_Task_attack38.log,Trigger: Remove Scheduled Cron Task/Job,Remove Scheduled Cron Task/Job | Syslog Clearing or Removal Via System Utilities
39,crontab -r --backup,Remove_Scheduled_Cron_Task_attack39.log,Trigger: Remove Scheduled Cron Task/Job,Remove Scheduled Cron Task/Job | Syslog Clearing or Removal Via System Utilities
40,crontab -r --temp,Remove_Scheduled_Cron_Task_attack40.log,Trigger: Remove Scheduled Cron Task/Job,Remove Scheduled Cron Task/Job | Syslog Clearing or Removal Via System Utilities
41,crontab -r --list,Remove_Scheduled_Cron_Task_attack41.log,Trigger: Remove Scheduled Cron Task/Job,Remove Scheduled Cron Task/Job | Syslog Clearing or Removal Via System Utilities
42,crontab -r --system,Remove_Scheduled_Cron_Task_attack42.log,Trigger: Remove Scheduled Cron Task/Job,Remove Scheduled Cron Task/Job | Syslog Clearing or Removal Via System Utilities
43,crontab --bypass -r,Remove_Scheduled_Cron_Task_attack43.log,Trigger: Remove Scheduled Cron Task/Job,Remove Scheduled Cron Task/Job | Syslog Clearing or Removal Via System Utilities
44,crontab -r --secure,Remove_Scheduled_Cron_Task_attack44.log,Trigger: Remove Scheduled Cron Task/Job,Remove Scheduled Cron Task/Job | Syslog Clearing or Removal Via System Utilities
45,crontab -r --logoff,Remove_Scheduled_Cron_Task_attack45.log,Trigger: Remove Scheduled Cron Task/Job,Remove Scheduled Cron Task/Job | Syslog Clearing or Removal Via System Utilities
46,crontab -r --clean,Remove_Scheduled_Cron_Task_attack46.log,Trigger: Remove Scheduled Cron Task/Job,Remove Scheduled Cron Task/Job | Syslog Clearing or Removal Via System Utilities
47,crontab -r --metadata,Remove_Scheduled_Cron_Task_attack47.log,Trigger: Remove Scheduled Cron Task/Job,Remove Scheduled Cron Task/Job | Syslog Clearing or Removal Via System Utilities
48,crontab -r --audit,Remove_Scheduled_Cron_Task_attack48.log,Trigger: Remove Scheduled Cron Task/Job,Remove Scheduled Cron Task/Job | Syslog Clearing or Removal Via System Utilities
49,crontab -r --session,Remove_Scheduled_Cron_Task_attack49.log,Trigger: Remove Scheduled Cron Task/Job,Remove Scheduled Cron Task/Job | Syslog Clearing or Removal Via System Utilities
50,crontab -r --revoke,Remove_Scheduled_Cron_Task_attack50.log,Trigger: Remove Scheduled Cron Task/Job,Remove Scheduled Cron Task/Job | Syslog Clearing or Removal Via System Utilities
51,crontab --inject -r,Remove_Scheduled_Cron_Task_attack51.log,Trigger: Remove Scheduled Cron Task/Job,Remove Scheduled Cron Task/Job | Syslog Clearing or Removal Via System Utilities
52,crontab -r --snapshot,Remove_Scheduled_Cron_Task_attack52.log,Trigger: Remove Scheduled Cron Task/Job,Remove Scheduled Cron Task/Job | Syslog Clearing or Removal Via System Utilities
53,crontab -r --hook,Remove_Scheduled_Cron_Task_attack53.log,Trigger: Remove Scheduled Cron Task/Job,Remove Scheduled Cron Task/Job | Syslog Clearing or Removal Via System Utilities
54,crontab -r --info,Remove_Scheduled_Cron_Task_attack54.log,Trigger: Remove Scheduled Cron Task/Job,Remove Scheduled Cron Task/Job | Syslog Clearing or Removal Via System Utilities
55,crontab -r --file=/dev/null,Remove_Scheduled_Cron_Task_attack55.log,Trigger: Remove Scheduled Cron Task/Job,Remove Scheduled Cron Task/Job | Syslog Clearing or Removal Via System Utilities
56,crontab -r --uid=0,Remove_Scheduled_Cron_Task_attack56.log,Trigger: Remove Scheduled Cron Task/Job,Remove Scheduled Cron Task/Job | Syslog Clearing or Removal Via System Utilities
57,crontab -r --gid=0,Remove_Scheduled_Cron_Task_attack57.log,Trigger: Remove Scheduled Cron Task/Job,Remove Scheduled Cron Task/Job | Syslog Clearing or Removal Via System Utilities
58,crontab -r --config=/tmp/null,Remove_Scheduled_Cron_Task_attack58.log,Trigger: Remove Scheduled Cron Task/Job,Scheduled Cron Task/Job - Linux | Execution Of Script Located In Potentially Suspicious Directory | Remove Scheduled Cron Task/Job | Syslog Clearing or Removal Via System Utilities
59,crontab -r --env=PROD,Remove_Scheduled_Cron_Task_attack59.log,Trigger: Remove Scheduled Cron Task/Job,Remove Scheduled Cron Task/Job | Syslog Clearing or Removal Via System Utilities
60,crontab -r --debug,Remove_Scheduled_Cron_Task_attack60.log,Trigger: Remove Scheduled Cron Task/Job,Remove Scheduled Cron Task/Job | Syslog Clearing or Removal Via System Utilities
61,crontab --remove,Remove_Scheduled_Cron_Task_attack61.log,Bypass Target Rule,Syslog Clearing or Removal Via System Utilities
62,crontab -remove,Remove_Scheduled_Cron_Task_attack62.log,Trigger: Remove Scheduled Cron Task/Job,Remove Scheduled Cron Task/Job | Syslog Clearing or Removal Via System Utilities
63,crontab --rm,Remove_Scheduled_Cron_Task_attack63.log,Bypass Target Rule,Syslog Clearing or Removal Via System Utilities
64,crontab /r,Remove_Scheduled_Cron_Task_attack64.log,Bypass Target Rule,Syslog Clearing or Removal Via System Utilities
65,crontab -r,Remove_Scheduled_Cron_Task_attack65.log,Trigger: Remove Scheduled Cron Task/Job,Remove Scheduled Cron Task/Job | Syslog Clearing or Removal Via System Utilities
