ID,Command,Log File,Result,All Detected Rules
1,[Command ID 1],Shell_Execution_via_Flock_attack1.log,Trigger: Shell Execution via Flock - Linux,Shell Execution via Flock - Linux | Syslog Clearing or Removal Via System Utilities
2,[Command ID 2],Shell_Execution_via_Flock_attack2.log,Trigger: Shell Execution via Flock - Linux,Shell Execution via Flock - Linux | Syslog Clearing or Removal Via System Utilities
3,[Command ID 3],Shell_Execution_via_Flock_attack3.log,Trigger: Shell Execution via Flock - Linux,Shell Execution via Flock - Linux | Syslog Clearing or Removal Via System Utilities
4,[Command ID 4],Shell_Execution_via_Flock_attack4.log,Bypass Target Rule,Syslog Clearing or Removal Via System Utilities
5,[Command ID 5],Shell_Execution_via_Flock_attack5.log,Trigger: Shell Execution via Flock - Linux,Shell Execution via Flock - Linux | Syslog Clearing or Removal Via System Utilities
6,[Command ID 6],Shell_Execution_via_Flock_attack6.log,Trigger: Shell Execution via Flock - Linux,Shell Execution via Flock - Linux | Syslog Clearing or Removal Via System Utilities
7,[Command ID 7],Shell_Execution_via_Flock_attack7.log,Trigger: Shell Execution via Flock - Linux,Shell Execution via Flock - Linux | Syslog Clearing or Removal Via System Utilities
8,[Command ID 8],Shell_Execution_via_Flock_attack8.log,Trigger: Shell Execution via Flock - Linux,Shell Execution via Flock - Linux | Syslog Clearing or Removal Via System Utilities
9,[Command ID 9],Shell_Execution_via_Flock_attack9.log,Trigger: Shell Execution via Flock - Linux,Shell Execution via Flock - Linux | Syslog Clearing or Removal Via System Utilities
10,[Command ID 10],Shell_Execution_via_Flock_attack10.log,Trigger: Shell Execution via Flock - Linux,Shell Execution via Flock - Linux | Syslog Clearing or Removal Via System Utilities
11,[Command ID 11],Shell_Execution_via_Flock_attack11.log,Trigger: Shell Execution via Flock - Linux,Shell Execution via Flock - Linux | Syslog Clearing or Removal Via System Utilities
12,[Command ID 12],Shell_Execution_via_Flock_attack12.log,Bypass Target Rule,Syslog Clearing or Removal Via System Utilities
13,[Command ID 13],Shell_Execution_via_Flock_attack13.log,Trigger: Shell Execution via Flock - Linux,Shell Execution via Flock - Linux | Syslog Clearing or Removal Via System Utilities
14,[Command ID 14],Shell_Execution_via_Flock_attack14.log,Trigger: Shell Execution via Flock - Linux,Shell Execution via Flock - Linux | Syslog Clearing or Removal Via System Utilities
16,[Command ID 16],Shell_Execution_via_Flock_attack16.log,Trigger: Shell Execution via Flock - Linux,Shell Execution via Flock - Linux | Syslog Clearing or Removal Via System Utilities
17,[Command ID 17],Shell_Execution_via_Flock_attack17.log,Trigger: Shell Execution via Flock - Linux,Shell Execution via Flock - Linux | Syslog Clearing or Removal Via System Utilities
18,[Command ID 18],Shell_Execution_via_Flock_attack18.log,Trigger: Shell Execution via Flock - Linux,Shell Execution via Flock - Linux | Syslog Clearing or Removal Via System Utilities
19,[Command ID 19],Shell_Execution_via_Flock_attack19.log,Trigger: Shell Execution via Flock - Linux,Shell Execution via Flock - Linux | Syslog Clearing or Removal Via System Utilities
20,[Command ID 20],Shell_Execution_via_Flock_attack20.log,Bypass Target Rule,Syslog Clearing or Removal Via System Utilities
21,[Command ID 21],Shell_Execution_via_Flock_attack21.log,Trigger: Shell Execution via Flock - Linux,Shell Execution via Flock - Linux | Syslog Clearing or Removal Via System Utilities
