ID,Command,Log File,Result,All Detected Rules
4,/usr/sbin/capsh /-- --,Capsh_Shell_Invocation_attack4.log,Trigger: Capsh Shell Invocation - Linux (Enhanced),Capsh Shell Invocation - Linux (Enhanced)
5,/usr/sbin/capsh /-- --login,Capsh_Shell_Invocation_attack5.log,Trigger: Capsh Shell Invocation - Linux (Enhanced),Capsh Shell Invocation - Linux (Enhanced)
7,"/usr/sbin/capsh -- ""--""",Capsh_Shell_Invocation_attack7.log,Trigger: Capsh Shell Invocation - Linux (Enhanced),Capsh Shell Invocation - Linux (Enhanced)
8,/usr/sbin/capsh -- --/,Capsh_Shell_Invocation_attack8.log,Trigger: Capsh Shell Invocation - Linux (Enhanced),Capsh Shell Invocation - Linux (Enhanced)
19,/usr/sbin/capsh -- /--,Capsh_Shell_Invocation_attack19.log,Trigger: Capsh Shell Invocation - Linux (Enhanced),Capsh Shell Invocation - Linux (Enhanced)
20,"/usr/sbin/capsh --"" --""",Capsh_Shell_Invocation_attack20.log,Trigger: Capsh Shell Invocation - Linux (Enhanced),Capsh Shell Invocation - Linux (Enhanced)
24,/usr/sbin/capsh --/ --,Capsh_Shell_Invocation_attack24.log,Trigger: Capsh Shell Invocation - Linux (Enhanced),Capsh Shell Invocation - Linux (Enhanced)
25,"/usr/sbin/capsh --/ ""--""",Capsh_Shell_Invocation_attack25.log,Trigger: Capsh Shell Invocation - Linux (Enhanced),Capsh Shell Invocation - Linux (Enhanced)
26,"/usr/sbin/capsh -- --""/""",Capsh_Shell_Invocation_attack26.log,Trigger: Capsh Shell Invocation - Linux (Enhanced),Capsh Shell Invocation - Linux (Enhanced)
27,"/usr/sbin/capsh /-- ""--""",Capsh_Shell_Invocation_attack27.log,Trigger: Capsh Shell Invocation - Linux (Enhanced),Capsh Shell Invocation - Linux (Enhanced)
30,"/usr/sbin/capsh /""--"" --login",Capsh_Shell_Invocation_attack30.log,Trigger: Capsh Shell Invocation - Linux (Enhanced),Capsh Shell Invocation - Linux (Enhanced)
31,/usr/sbin/capsh / --,Capsh_Shell_Invocation_attack31.log,Trigger: Capsh Shell Invocation - Linux (Enhanced),Capsh Shell Invocation - Linux (Enhanced)
32,/usr/sbin/capsh -- /,Capsh_Shell_Invocation_attack32.log,Trigger: Capsh Shell Invocation - Linux (Enhanced),Capsh Shell Invocation - Linux (Enhanced)
33,/usr/sbin/capsh / -- /,Capsh_Shell_Invocation_attack33.log,Trigger: Capsh Shell Invocation - Linux (Enhanced),Capsh Shell Invocation - Linux (Enhanced)
35,/usr/sbin/capsh -- /--,Capsh_Shell_Invocation_attack35.log,Trigger: Capsh Shell Invocation - Linux (Enhanced),Capsh Shell Invocation - Linux (Enhanced)
39,"/usr/sbin/capsh /"" --""",Capsh_Shell_Invocation_attack39.log,Trigger: Capsh Shell Invocation - Linux (Enhanced),Capsh Shell Invocation - Linux (Enhanced)
40,"/usr/sbin/capsh -- /""--""",Capsh_Shell_Invocation_attack40.log,Trigger: Capsh Shell Invocation - Linux (Enhanced),Capsh Shell Invocation - Linux (Enhanced)
41,/usr/sbin/capsh -- / --shell,Capsh_Shell_Invocation_attack41.log,Trigger: Capsh Shell Invocation - Linux (Enhanced),Capsh Shell Invocation - Linux (Enhanced)
43,/usr/sbin/capsh -- /--login,Capsh_Shell_Invocation_attack43.log,Trigger: Capsh Shell Invocation - Linux (Enhanced),Capsh Shell Invocation - Linux (Enhanced)
48,"/usr/sbin/capsh -- ""--/""",Capsh_Shell_Invocation_attack48.log,Trigger: Capsh Shell Invocation - Linux (Enhanced),Capsh Shell Invocation - Linux (Enhanced)
51,"/usr/sbin/capsh ""--"" --",Capsh_Shell_Invocation_attack51.log,Trigger: Capsh Shell Invocation - Linux (Enhanced),Capsh Shell Invocation - Linux (Enhanced)
52,"/usr/sbin/capsh /""-- --""",Capsh_Shell_Invocation_attack52.log,Trigger: Capsh Shell Invocation - Linux (Enhanced),Capsh Shell Invocation - Linux (Enhanced)
53,"/usr/sbin/capsh -- ""-- --""",Capsh_Shell_Invocation_attack53.log,Trigger: Capsh Shell Invocation - Linux (Enhanced),Capsh Shell Invocation - Linux (Enhanced)
54,"/usr/sbin/capsh ""-- --""",Capsh_Shell_Invocation_attack54.log,Trigger: Capsh Shell Invocation - Linux (Enhanced),Capsh Shell Invocation - Linux (Enhanced)
57,"/usr/sbin/capsh /--""-- --""",Capsh_Shell_Invocation_attack57.log,Trigger: Capsh Shell Invocation - Linux (Enhanced),Capsh Shell Invocation - Linux (Enhanced)
61,/usr/sbin/capsh --login,Capsh_Shell_Invocation_attack61.log,Trigger: Capsh Shell Invocation - Linux (Enhanced),Capsh Shell Invocation - Linux (Enhanced)
81,/usr/sbin/capsh -- -c /sbin/sh,Capsh_Shell_Invocation_attack81.log,Trigger: Capsh Shell Invocation - Linux (Enhanced),Capsh Shell Invocation - Linux (Enhanced)
82,/usr/sbin/capsh -- -c /sbin/bash,Capsh_Shell_Invocation_attack82.log,Trigger: Capsh Shell Invocation - Linux (Enhanced),Capsh Shell Invocation - Linux (Enhanced)
83,/usr/sbin/capsh -- -c 'sh -i',Capsh_Shell_Invocation_attack83.log,Trigger: Capsh Shell Invocation - Linux (Enhanced),Capsh Shell Invocation - Linux (Enhanced)
