ID,Command,Log File,Result,All Detected Rules
1,"crontab -l > /tmp/.discovery_cron && cat /tmp/.""discovery""_cron",Crontab_Enumeration_attack1.log,Bypass All,None
2,"crontab -l > /tmp/.dis""covery""_cron && cat /tmp/.dis""covery""_cron",Crontab_Enumeration_attack2.log,Bypass All,None
3,"crontab -l > /tmp/.discovery""_""cron && cat /tmp/.discovery""_""cron",Crontab_Enumeration_attack3.log,Bypass All,None
4,"crontab -l > /tmp/.disc""overy_cron"" && cat /tmp/.disc""overy_cron""",Crontab_Enumeration_attack4.log,Bypass All,None
5,"crontab -l > /tmp/.d""iscovery_cron"" && cat /tmp/.d""iscovery_cron""",Crontab_Enumeration_attack5.log,Bypass All,None
6,"crontab -l > /tmp/.discov""ery_cron"" && cat /tmp/.discov""ery_cron""",Crontab_Enumeration_attack6.log,Bypass All,None
7,"crontab -l > /tmp/.disco""very_cron"" && cat /tmp/.disco""very_cron""",Crontab_Enumeration_attack7.log,Bypass All,None
8,"crontab -l > /tmp/.""discovery_cron"" && cat /tmp/.""discovery_cron""",Crontab_Enumeration_attack8.log,Bypass All,None
9,"crontab -l > /tmp/.discovery_cr""on"" && cat /tmp/.discovery_cr""on""",Crontab_Enumeration_attack9.log,Bypass All,None
10,"crontab -l > /tmp/.discovery_c""ron"" && cat /tmp/.discovery_c""ron""",Crontab_Enumeration_attack10.log,Bypass All,None
11,"crontab -l > /tmp/.disc""ov""ery_cron && cat /tmp/.disc""ov""ery_cron",Crontab_Enumeration_attack11.log,Bypass All,None
12,"crontab -l > /tmp/.dis""co""very_cron && cat /tmp/.dis""co""very_cron",Crontab_Enumeration_attack12.log,Bypass All,None
13,"crontab -l > /tmp/.di""scovery""cron && cat /tmp/.di""scovery""cron",Crontab_Enumeration_attack13.log,Trigger: Crontab Enumeration (Enhanced),Crontab Enumeration (Enhanced)
14,"crontab -l > /tmp/.discovery_cron && cat /tmp/.dis""covery""_cron",Crontab_Enumeration_attack14.log,Bypass All,None
15,"crontab -l > /tmp/.discov""ery""_cron && cat /tmp/.discov""ery""_cron",Crontab_Enumeration_attack15.log,Bypass All,None
16,"crontab -l > /tmp/.discovery_cron && cat /tmp/.discovery""_""cron",Crontab_Enumeration_attack16.log,Bypass All,None
17,"crontab -l > /tmp/.discov""ery_cron"" && cat /tmp/.discov""ery_cron""",Crontab_Enumeration_attack17.log,Bypass All,None
18,"crontab -l > /tmp/.d""i""scovery_cron && cat /tmp/.d""i""scovery_cron",Crontab_Enumeration_attack18.log,Bypass All,None
19,"crontab -l > /tmp/.discovery_cron && cat /tmp/.dis""covery""cron",Crontab_Enumeration_attack19.log,Bypass All,None
20,"crontab -l > /tmp/.discovery""_""cron && cat /tmp/.discovery""_""cron",Crontab_Enumeration_attack20.log,Bypass All,None
21,"crontab -l > /tmp/.""disc""overy_cron && cat /tmp/.""disc""overy_cron",Crontab_Enumeration_attack21.log,Bypass All,None
22,"crontab -l > /tmp/.d""isc""overy_cron && cat /tmp/.d""isc""overy_cron",Crontab_Enumeration_attack22.log,Bypass All,None
23,"crontab -l > /tmp/.disco""v""ery_cron && cat /tmp/.disco""v""ery_cron",Crontab_Enumeration_attack23.log,Bypass All,None
24,"crontab -l > /tmp/.di""sc""overy_cron && cat /tmp/.di""sc""overy_cron",Crontab_Enumeration_attack24.log,Bypass All,None
25,"crontab -l > /tmp/.dis""co""v""ery_cron && cat /tmp/.dis""co""v""ery_cron",Crontab_Enumeration_attack25.log,Bypass All,None
26,"crontab -l > /tmp/.discov""e""ry_cron && cat /tmp/.discov""e""ry_cron",Crontab_Enumeration_attack26.log,Bypass All,None
27,"crontab -l > /tmp/.discovery_c""r""on && cat /tmp/.discovery_c""r""on",Crontab_Enumeration_attack27.log,Bypass All,None
28,"crontab -l > /tmp/.discovery_""c""ron && cat /tmp/.discovery_""c""ron",Crontab_Enumeration_attack28.log,Bypass All,None
29,"crontab -l > /tmp/.discov""ery_cron"" && cat /tmp/.discov""ery_cron""",Crontab_Enumeration_attack29.log,Bypass All,None
30,"crontab -l > /tmp/.d""iscov""ery_cron && cat /tmp/.d""iscov""ery_cron",Crontab_Enumeration_attack30.log,Bypass All,None
31,"crontab -l > /tmp/.disc""o""very_cron && cat /tmp/.disc""o""very_cron",Crontab_Enumeration_attack31.log,Bypass All,None
32,"crontab -l > /tmp/.discov""er""y_cron && cat /tmp/.discov""er""y_cron",Crontab_Enumeration_attack32.log,Bypass All,None
33,"crontab -l > /tmp/.d""i""sc""overy_cron"" && cat /tmp/.d""i""sc""overy_cron""",Crontab_Enumeration_attack33.log,Bypass All,None
34,"crontab -l > /tmp/.disco""very""_cron && cat /tmp/.disco""very""_cron",Crontab_Enumeration_attack34.log,Bypass All,None
35,"crontab -l > /tmp/.dis""cov""ery_cron && cat /tmp/.dis""cov""ery_cron",Crontab_Enumeration_attack35.log,Bypass All,None
36,"crontab -l > /tmp/.discov""ery""_""cron"" && cat /tmp/.discov""ery""_""cron""",Crontab_Enumeration_attack36.log,Bypass All,None
37,"crontab -l > /tmp/.d""iscove""ry_cron && cat /tmp/.d""iscove""ry_cron",Crontab_Enumeration_attack37.log,Bypass All,None
38,"crontab -l > /tmp/.di""scov""ery_cron && cat /tmp/.di""scov""ery_cron",Crontab_Enumeration_attack38.log,Bypass All,None
39,"crontab -l > /tmp/.discovery_cron && cat /tmp/.disco""very_c""ron",Crontab_Enumeration_attack39.log,Bypass All,None
40,"crontab -l > /tmp/.discovery_cron && cat /tmp/.disc""overy_cr""on",Crontab_Enumeration_attack40.log,Bypass All,None
41,"crontab -l > /tmp/.dis""c""overy_cron && cat /tmp/.dis""c""overy_cron",Crontab_Enumeration_attack41.log,Bypass All,None
42,"crontab -l > /tmp/.disc""ov""ery_cron && cat /tmp/.disc""ov""ery_cron",Crontab_Enumeration_attack42.log,Bypass All,None
43,"crontab -l > /tmp/.disc""overy_cron"" && cat /tmp/.disc""overy_cron""",Crontab_Enumeration_attack43.log,Bypass All,None
44,"crontab -l > /tmp/.discovery_cron && cat /tmp/.disco""very_c""ron",Crontab_Enumeration_attack44.log,Bypass All,None
45,"crontab -l > /tmp/.discovery_cron && cat /tmp/.d""i""scovery""_""cron",Crontab_Enumeration_attack45.log,Bypass All,None
46,"crontab -l > /tmp/.d""isc""ov""ery_cron"" && cat /tmp/.d""isc""ov""ery_cron""",Crontab_Enumeration_attack46.log,Bypass All,None
47,"crontab -l > /tmp/.dis""cove""ry_cron && cat /tmp/.dis""cove""ry_cron",Crontab_Enumeration_attack47.log,Bypass All,None
48,"crontab -l > /tmp/.discove""ry""cron && cat /tmp/.discove""ry""cron",Crontab_Enumeration_attack48.log,Trigger: Crontab Enumeration (Enhanced),Crontab Enumeration (Enhanced)
49,"crontab -l > /tmp/.dis""covery_cron"" && cat /tmp/.dis""covery_cron""",Crontab_Enumeration_attack49.log,Bypass All,None
50,"crontab -l > /tmp/.d""iscov""ery_cron && cat /tmp/.d""iscov""ery_cron",Crontab_Enumeration_attack50.log,Bypass All,None
51,"crontab -l > /tmp/.d""i""sco""v""ery_cron && cat /tmp/.d""i""sco""v""ery_cron",Crontab_Enumeration_attack51.log,Bypass All,None
52,"crontab -l > /tmp/.dis""cov""ery""_""cron && cat /tmp/.dis""cov""ery""_""cron",Crontab_Enumeration_attack52.log,Bypass All,None
53,"crontab -l > /tmp/.dis""covery""c""ron && cat /tmp/.dis""covery""c""ron",Crontab_Enumeration_attack53.log,Bypass All,None
54,"crontab -l > /tmp/.d""isco""very_cron && cat /tmp/.d""isco""very_cron",Crontab_Enumeration_attack54.log,Bypass All,None
