ID,Command,Log File,Result,All Detected Rules
1,"sudo sh -c '/sbin/modprobe ""msr"" allow_writes=on'",Linux_Crypto_Mining_Indicators_attack1.log,Trigger: Linux Crypto Mining Indicators (Enhanced),Linux Crypto Mining Indicators (Enhanced)
2,"sudo sh -c '/sbin/modprobe ms""r"" allow_writes=on'",Linux_Crypto_Mining_Indicators_attack2.log,Trigger: Linux Crypto Mining Indicators (Enhanced),Linux Crypto Mining Indicators (Enhanced)
3,"sudo sh -c '/sbin/modprobe m""sr"" allow_writes=on'",Linux_Crypto_Mining_Indicators_attack3.log,Trigger: Linux Crypto Mining Indicators (Enhanced),Linux Crypto Mining Indicators (Enhanced)
4,"sudo sh -c '/sbin/modprobe msr allow_""writes""=on'",Linux_Crypto_Mining_Indicators_attack4.log,Trigger: Linux Crypto Mining Indicators (Enhanced),Linux Crypto Mining Indicators (Enhanced)
5,"sudo sh -c '/sbin/modprobe msr ""allow""_writes=on'",Linux_Crypto_Mining_Indicators_attack5.log,Trigger: Linux Crypto Mining Indicators (Enhanced),Linux Crypto Mining Indicators (Enhanced)
6,"sudo sh -c '/sbin/modprobe msr allow_writes=""on""'",Linux_Crypto_Mining_Indicators_attack6.log,Trigger: Linux Crypto Mining Indicators (Enhanced),Linux Crypto Mining Indicators (Enhanced)
7,"sudo sh -c '/sbin/modprobe msr allo""w""_writes=on'",Linux_Crypto_Mining_Indicators_attack7.log,Trigger: Linux Crypto Mining Indicators (Enhanced),Linux Crypto Mining Indicators (Enhanced)
8,"sudo sh -c '/sbin/modprobe msr allow_wri""t""es=on'",Linux_Crypto_Mining_Indicators_attack8.log,Trigger: Linux Crypto Mining Indicators (Enhanced),Linux Crypto Mining Indicators (Enhanced)
9,sudo sh -c '/sbin/modprobe msr allo--w_writes=on',Linux_Crypto_Mining_Indicators_attack9.log,Bypass All,None
10,"sudo sh -c '/sbin/modprobe ""m""""s""""r"" allow_writes=on'",Linux_Crypto_Mining_Indicators_attack10.log,Trigger: Linux Crypto Mining Indicators (Enhanced),Linux Crypto Mining Indicators (Enhanced)
11,sudo sh -c '/sbin/modprobe $(echo msr) allow_writes=on',Linux_Crypto_Mining_Indicators_attack11.log,Trigger: Linux Crypto Mining Indicators (Enhanced),Linux Crypto Mining Indicators (Enhanced)
12,"sudo sh -c ""/sbin/modprobe 'msr' allow_writes=on""",Linux_Crypto_Mining_Indicators_attack12.log,Trigger: Linux Crypto Mining Indicators (Enhanced),Linux Crypto Mining Indicators (Enhanced)
13,"sudo sh -c '/sbin/modprobe msr al""""low_writes=on'",Linux_Crypto_Mining_Indicators_attack13.log,Trigger: Linux Crypto Mining Indicators (Enhanced),Linux Crypto Mining Indicators (Enhanced)
14,"sudo sh -c '/sbin/modprobe msr allow_writes=o""""n'",Linux_Crypto_Mining_Indicators_attack14.log,Trigger: Linux Crypto Mining Indicators (Enhanced),Linux Crypto Mining Indicators (Enhanced)
15,sudo sh -c '/sbin/modprobe m\sr allow_writes=on',Linux_Crypto_Mining_Indicators_attack15.log,Trigger: Linux Crypto Mining Indicators (Enhanced),Linux Crypto Mining Indicators (Enhanced)
16,sudo sh -c '/sbin/modprobe msr allow=write:s on',Linux_Crypto_Mining_Indicators_attack16.log,Bypass All,None
