ID,Command,Log File,Result,All Detected Rules
1,flock -u / /bin/'sh',Shell_Execution_via_Flock_attack1.log,Trigger: Shell Execution via Flock - Linux (Hardened),Shell Execution via Flock - Linux (Hardened)
2,"flock -u / /bin/s""h""",Shell_Execution_via_Flock_attack2.log,Trigger: Shell Execution via Flock - Linux (Hardened),Shell Execution via Flock - Linux (Hardened)
3,flock -u / /b'in'/sh,Shell_Execution_via_Flock_attack3.log,Trigger: Shell Execution via Flock - Linux (Hardened),Shell Execution via Flock - Linux (Hardened)
4,flock -u / /bin//sh,Shell_Execution_via_Flock_attack4.log,Bypass All,None
5,flock -u / //bin/sh,Shell_Execution_via_Flock_attack5.log,Bypass All,None
6,"flock -u / /b""i""n/sh",Shell_Execution_via_Flock_attack6.log,Trigger: Shell Execution via Flock - Linux (Hardened),Shell Execution via Flock - Linux (Hardened)
7,flock -u / /bin/s'h',Shell_Execution_via_Flock_attack7.log,Trigger: Shell Execution via Flock - Linux (Hardened),Shell Execution via Flock - Linux (Hardened)
8,"flock -u / ""/bin/sh""",Shell_Execution_via_Flock_attack8.log,Trigger: Shell Execution via Flock - Linux (Hardened),Shell Execution via Flock - Linux (Hardened)
9,flock -u / '/bin/sh',Shell_Execution_via_Flock_attack9.log,Trigger: Shell Execution via Flock - Linux (Hardened),Shell Execution via Flock - Linux (Hardened)
10,"flock -u / /bin/s""h""",Shell_Execution_via_Flock_attack10.log,Trigger: Shell Execution via Flock - Linux (Hardened),Shell Execution via Flock - Linux (Hardened)
11,flock -u / /bi'n'/sh,Shell_Execution_via_Flock_attack11.log,Trigger: Shell Execution via Flock - Linux (Hardened),Shell Execution via Flock - Linux (Hardened)
12,"flock -u / /b""i""n//sh",Shell_Execution_via_Flock_attack12.log,Bypass All,None
13,flock -u / //b'in'/sh,Shell_Execution_via_Flock_attack13.log,Bypass All,None
14,flock -u / /b\in/sh,Shell_Execution_via_Flock_attack14.log,Trigger: Shell Execution via Flock - Linux (Hardened),Shell Execution via Flock - Linux (Hardened)
16,flock -u / /bin/s\h,Shell_Execution_via_Flock_attack16.log,Trigger: Shell Execution via Flock - Linux (Hardened),Shell Execution via Flock - Linux (Hardened)
17,flock -u / /bin/sh\,Shell_Execution_via_Flock_attack17.log,Trigger: Shell Execution via Flock - Linux (Hardened),Shell Execution via Flock - Linux (Hardened)
18,flock -u / /bin/sh/,Shell_Execution_via_Flock_attack18.log,Trigger: Shell Execution via Flock - Linux (Hardened),Shell Execution via Flock - Linux (Hardened)
19,flock -u / /bin/sh/.,Shell_Execution_via_Flock_attack19.log,Trigger: Shell Execution via Flock - Linux (Hardened),Shell Execution via Flock - Linux (Hardened)
20,flock -u / /bin/.sh,Shell_Execution_via_Flock_attack20.log,Bypass All,None
21,flock -u / /bi\n/sh,Shell_Execution_via_Flock_attack21.log,Trigger: Shell Execution via Flock - Linux (Hardened),Shell Execution via Flock - Linux (Hardened)
22,flock -u / /b\i\n/s\h,Shell_Execution_via_Flock_attack22.log,Trigger: Shell Execution via Flock - Linux (Hardened),Shell Execution via Flock - Linux (Hardened)
23,flock -u / /bin/'s''h',Shell_Execution_via_Flock_attack23.log,Trigger: Shell Execution via Flock - Linux (Hardened),Shell Execution via Flock - Linux (Hardened)
24,"flock -u / /bin/s""""h",Shell_Execution_via_Flock_attack24.log,Trigger: Shell Execution via Flock - Linux (Hardened),Shell Execution via Flock - Linux (Hardened)
25,"flock -u / /bi""n""/s""h""",Shell_Execution_via_Flock_attack25.log,Trigger: Shell Execution via Flock - Linux (Hardened),Shell Execution via Flock - Linux (Hardened)
27,flock -u / /b'in'//sh,Shell_Execution_via_Flock_attack27.log,Bypass All,None
28,flock -u / //bin//sh,Shell_Execution_via_Flock_attack28.log,Bypass All,None
29,flock -u / /bin////sh,Shell_Execution_via_Flock_attack29.log,Bypass All,None
30,flock -u / /b'i'n/s'h',Shell_Execution_via_Flock_attack30.log,Trigger: Shell Execution via Flock - Linux (Hardened),Shell Execution via Flock - Linux (Hardened)
31,"flock -u / /b""""in/sh",Shell_Execution_via_Flock_attack31.log,Trigger: Shell Execution via Flock - Linux (Hardened),Shell Execution via Flock - Linux (Hardened)
32,flock -u / /bi'n'/'sh',Shell_Execution_via_Flock_attack32.log,Trigger: Shell Execution via Flock - Linux (Hardened),Shell Execution via Flock - Linux (Hardened)
33,"flock -u / /bin/s""h""'",Shell_Execution_via_Flock_attack33.log,Bypass All,None
34,"flock -u / /bin/'s""h""'",Shell_Execution_via_Flock_attack34.log,Bypass All,None
35,"flock -u / /""bin""/""sh""",Shell_Execution_via_Flock_attack35.log,Trigger: Shell Execution via Flock - Linux (Hardened),Shell Execution via Flock - Linux (Hardened)
37,"flock -u / /b""in/""sh""",Shell_Execution_via_Flock_attack37.log,Bypass All,None
38,"flock -u / /bin///""sh""",Shell_Execution_via_Flock_attack38.log,Bypass All,None
39,flock -u / /bin/./sh,Shell_Execution_via_Flock_attack39.log,Bypass All,None
40,flock -u / /b''in/sh,Shell_Execution_via_Flock_attack40.log,Trigger: Shell Execution via Flock - Linux (Hardened),Shell Execution via Flock - Linux (Hardened)
41,flock -u / /bi''n/sh,Shell_Execution_via_Flock_attack41.log,Trigger: Shell Execution via Flock - Linux (Hardened),Shell Execution via Flock - Linux (Hardened)
42,flock -u / /bin/s'h',Shell_Execution_via_Flock_attack42.log,Trigger: Shell Execution via Flock - Linux (Hardened),Shell Execution via Flock - Linux (Hardened)
43,"flock -u / /bin/s""h""'",Shell_Execution_via_Flock_attack43.log,Bypass All,None
44,flock -u / /bin//s'h',Shell_Execution_via_Flock_attack44.log,Bypass All,None
45,"flock -u / /b""in/sh""",Shell_Execution_via_Flock_attack45.log,Trigger: Shell Execution via Flock - Linux (Hardened),Shell Execution via Flock - Linux (Hardened)
46,flock -u / /b'in/sh',Shell_Execution_via_Flock_attack46.log,Trigger: Shell Execution via Flock - Linux (Hardened),Shell Execution via Flock - Linux (Hardened)
48,"flock -u / /bin/s""h\",Shell_Execution_via_Flock_attack48.log,Bypass All,None
49,"flock -u / /bin\s""h""",Shell_Execution_via_Flock_attack49.log,Bypass All,None
50,flock -u / /bin\s\h,Shell_Execution_via_Flock_attack50.log,Bypass All,None
51,flock -u / /b\in\sh,Shell_Execution_via_Flock_attack51.log,Bypass All,None
52,flock -u / /bin/s\h\,Shell_Execution_via_Flock_attack52.log,Trigger: Shell Execution via Flock - Linux (Hardened),Shell Execution via Flock - Linux (Hardened)
53,"flock -u / /bi""n""/s'h'",Shell_Execution_via_Flock_attack53.log,Trigger: Shell Execution via Flock - Linux (Hardened),Shell Execution via Flock - Linux (Hardened)
54,"flock -u / /bin/s""h""\",Shell_Execution_via_Flock_attack54.log,Trigger: Shell Execution via Flock - Linux (Hardened),Shell Execution via Flock - Linux (Hardened)
55,"flock -u / /bin/s""h""",Shell_Execution_via_Flock_attack55.log,Trigger: Shell Execution via Flock - Linux (Hardened),Shell Execution via Flock - Linux (Hardened)
